"","면적당가격","전용면적...","층","노후정도","총인구밀도","성비","고령화정도","건물위생관리업","목욕장업","미용업","세탁업","숙박업","이용업","대부업","단란주점","유흥주점","지식산업센터","총센터면적","총유치업체수","연립주택동수","연립주택가구수","공연장","대규모점포","도서관","도서관총자료","도시공원","도시공원총면적","의료기관","의료유사업소","자동차대여업","전통시장여부","영화상영관수","여행업","어린이보호구역","약국","문화유통업","전기차충전기"
"1",388.282709132016,101.73,14,25,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
"2",297.08853238265,134.64,14,21,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
"3",333.615840973881,129.79,1,8,1647.00075930144,0.977301731996354,0.176755336314601,5,1,29,8,0,2,3,0,0,0,0,0,84,6724,0,0,1,66396,7,92537,11,0,4,"Y",8,11,5,6,17,2
"4",220.38567493113,58.9875,10,22,1235.90255591054,1.0132058287796,0.243093030019065,3,3,55,11,9,8,0,3,4,0,0,0,119,8999,0,0,3,55856,7,43802,29,0,0,"N",0,2,5,11,28,0
"5",548.344317870259,84.9831,13,6,1875.82417582418,0.934277620396601,0.187212319022512,1,1,46,4,0,1,2,0,0,0,0,0,86,7963,0,0,1,52017,5,223146,19,0,0,"N",0,10,3,8,23,0
"6",429.567925281073,84.9691,24,8,1647.00075930144,0.977301731996354,0.176755336314601,5,1,29,8,0,2,3,0,0,0,0,0,84,6724,0,0,1,66396,7,92537,11,0,4,"Y",8,11,5,6,17,2
"7",682.513532595905,84.98,17,5,2506.61608270727,0.96343045589385,0.197919806005051,1,0,46,4,0,3,2,0,0,0,0,0,48,4181,0,1,1,43496,6,335121,28,0,0,"N",0,6,3,10,5,0
"8",400.432212546876,157.33,16,25,9232.50242366242,0.943572177630284,0.189731630225957,29,3,278,21,4,7,72,28,5,0,0,0,61,5289,3,6,1,8330,7,1197139,103,6,5,"N",17,85,2,30,183,0
"9",364.748793975762,84.99,13,25,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
"10",387.967052644145,83.77,8,25,33070.4847896006,0.955775967430041,0.192504419794133,6,4,182,38,17,25,2,6,9,0,0,0,367,25564,0,0,1,144228,5,62723,83,1,0,"Y",0,12,7,26,68,0
