시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201811,16,23800 ,4,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201812,14,23800 ,7,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201902,1,24800 ,22,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,59.89,201902,27,18600 ,4,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,59.99,201903,4,20450 ,10,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201903,11,26500 ,12,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201903,16,23500 ,7,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,59.99,201903,27,20000 ,5,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201904,15,24300 ,13,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201904,26,20000 ,13,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201906,5,26000 ,15,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201907,24,24500 ,14,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201908,19,25500 ,19,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201909,5,23000 ,3,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201910,7,24900 ,8,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,201910,25,23300 ,10,2007,읍내로 25
경기도 고양덕양구 고양동,197,197,0,삼성,59.886,201812,3,15000 ,2,1998,혜음로 30
경기도 고양덕양구 고양동,197,197,0,삼성,59.886,201812,13,17500 ,2,1998,혜음로 30
경기도 고양덕양구 고양동,197,197,0,삼성,59.886,201902,22,17500 ,2,1998,혜음로 30
경기도 고양덕양구 고양동,197,197,0,삼성,84.996,201903,12,22300 ,11,1998,혜음로 30
경기도 고양덕양구 고양동,197,197,0,삼성,84.9,201904,5,19000 ,9,1998,혜음로 30
경기도 고양덕양구 고양동,197,197,0,삼성,84.996,201910,17,23500 ,6,1998,혜음로 30
경기도 고양덕양구 고양동,414-1,414,1,윤창,84.96,201901,22,18300 ,18,1997,동헌로 398-17
경기도 고양덕양구 고양동,414-1,414,1,윤창,58.9875,201902,13,13000 ,10,1997,동헌로 398-17
경기도 고양덕양구 고양동,414-1,414,1,윤창,58.9875,201904,26,13000 ,2,1997,동헌로 398-17
경기도 고양덕양구 고양동,414-1,414,1,윤창,59.706,201909,22,15500 ,2,1997,동헌로 398-17
경기도 고양덕양구 고양동,1121,1121,0,푸른마을 10단지,84.4997,201811,22,26000 ,4,2009,푸른마을로120번길 34
경기도 고양덕양구 고양동,1121,1121,0,푸른마을 10단지,84.4997,201811,30,26000 ,14,2009,푸른마을로120번길 34
경기도 고양덕양구 고양동,1121,1121,0,푸른마을 10단지,115.6625,201902,20,33000 ,10,2009,푸른마을로120번길 34
경기도 고양덕양구 고양동,1121,1121,0,푸른마을 10단지,84.4997,201903,3,26000 ,11,2009,푸른마을로120번길 34
경기도 고양덕양구 고양동,1121,1121,0,푸른마을 10단지,84.7394,201903,18,27000 ,14,2009,푸른마을로120번길 34
경기도 고양덕양구 고양동,1121,1121,0,푸른마을 10단지,84.8767,201904,6,24400 ,1,2009,푸른마을로120번길 34
경기도 고양덕양구 고양동,1121,1121,0,푸른마을 10단지,84.4997,201904,17,25200 ,3,2009,푸른마을로120번길 34
