업종명,업소명,업소소재지(도로명),업소소재지(지번),소재지전화
이용업,상고머리,경기도 고양시 일산동구 백마로502번길 13 (풍동),경기도 고양시 일산동구 풍동 126번지   ,070 -8957-0659
이용업,이브미(eveme),"경기도 고양시 일산동구 호수로430번길 66-2, 1층 일부호 (백석동)",경기도 고양시 일산동구 백석동 1426번지   ,070 -4806-9820
이용업,빅토리아,"경기도 고양시 일산동구 마골1길 14-9, Horse Valley golf club 1층 일부호 (성석동)",경기도 고양시 일산동구 성석동 532번지 1호   ,0319-7512-00
이용업,태후사랑,"경기도 고양시 덕양구 화정로 26, 306호 (화정동, 별빛마을상가동)",경기도 고양시 덕양구 화정동 953번지  별빛마을상가동 306호 ,031 -979 -5373
이용업,승진이용원,"경기도 고양시 일산서구 일중로 33 (일산동,1층일부)",경기도 고양시 일산서구 일산동 543번지 4호  1층일부 ,031 -977 -6885
이용업,대흥,경기도 고양시 일산서구 일청로 5 (일산동),경기도 고양시 일산서구 일산동 612번지 12호   ,031 -976 -2923
이용업,우리이용원,"경기도 고양시 덕양구 지도로115번길 19-16 (토당동,1층)",경기도 고양시 덕양구 토당동 838번지 3호  1층 ,031 -973 -1453
이용업,행신이용원,"경기도 고양시 덕양구 행신로143번길 28-34 (행신동,신영상가 104호 일부)",경기도 고양시 덕양구 행신동 620번지 2호  신영상가 104호 일부 ,031 -972 -5363
이용업,이브미,"경기도 고양시 덕양구 화중로152번길 38-2 (화정동, 1층 일부)",경기도 고양시 덕양구 화정동 886번지 8호  1층 일부 ,031 -969 -9221
이용업,클럽클럽,"경기도 고양시 덕양구 호국로789번길 6 (주교동,중앙빌딩 104호)",경기도 고양시 덕양구 주교동 615번지 6호  중앙빌딩 104호 ,031 -969 -5435
이용업,오땡큐머리염색전문점,"경기도 고양시 덕양구 마상로114번길 58 (주교동, 1층일부)",경기도 고양시 덕양구 주교동 586번지 9호   ,031 -968 -8882
