순번,시군구명,등록신청사업,등록증번호,상호,소재지(도로명),등록일자,유효기간만료일자
1,경기도 고양시,대부중개업,2019-경기고양-546,주식회사 마스터대부중개,"경기도 고양시 일산동구 정발산로 19, 지평프라자 802-A219호 (장항동)",2019-10-16,2022-10-16
2,경기도 고양시,대부업,2019-경기고양-1911,지에스대부,"경기도 고양시 일산동구 정발산로 15, 드림월드빌딩 415-C17호 (장항동)",2019-10-14,2022-10-14
3,경기도 고양시,대부중개업,2019-경기고양-545,제일론대부중개,"경기도 고양시 일산동구 중앙로 1233, 현대타운빌 1025호 (장항동)",2019-10-08,2022-10-08
4,경기도 고양시,대부업,2019-경기고양-1910,(주)럭키론대부,"경기도 고양시 일산동구 정발산로 24, 웨스턴돔2 6층 티3-623호 (장항동)",2018-07-03,2021-07-02
5,경기도 고양시,대부중개업,2019-경기고양-544,제일캐피탈대부중개,"경기도 고양시 일산동구 중앙로 1233, 현대타운빌 1317호 (장항동)",2019-09-27,2022-09-27
6,경기도 고양시,대부중개업,2019-경기고양-543,대한캐피탈대부중개,"경기도 고양시 덕양구 화중로104번길 8, 장원프라자 405호 (화정동)",2019-09-20,2022-09-20
7,경기도 고양시,대부업,2019-경기고양-1909,이데아대부,"경기도 고양시 일산동구 정발산로 11, 일호골든타워 401-2호 (장항동)",2019-09-20,2022-09-20
8,경기도 고양시,대부중개업,2019-경기고양-542,FOF대부중개,"경기도 고양시 일산동구 정발산로 24, 웨스턴돔2 티4-609호 (장항동)",2019-09-18,2022-09-18
9,경기도 고양시,대부중개업,2019-경기고양-541,고일대부중개,"경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 701호 (장항동)",2019-09-16,2022-09-16
10,경기도 고양시,대부업,2019-경기고양-1908,주식회사 서원인베스트먼트대부,"경기도 고양시 덕양구 통일로 343, 803호 (신원동)",2019-09-16,2022-09-16
11,경기도 고양시,대부중개업,2019-경기고양-540,주식회사 정아파이낸스대부중개,"경기도 고양시 일산동구 무궁화로 18, 남정 씨티프라자 1 603-20호 (장항동)",2019-09-10,2022-09-10
12,경기도 고양시,대부업,2019-경기고양-1906,주식회사 정아파이낸스대부,"경기도 고양시 일산동구 무궁화로 18, 남정 씨티프라자 1 603-20호 (장항동)",2019-09-10,2022-09-10
13,경기도 고양시,대부업,2019-경기고양-1907,제이에스위드대부,"경기도 고양시 일산동구 정발산로 15, 드림월드빌딩 407-C33호 (장항동)",2019-09-10,2022-09-10
14,경기도 고양시,대부중개업,2019-경기고양-539,나눔에프앤에이대부중개,"경기도 고양시 덕양구 화중로130번길 32, 파스텔프라자 504호 (화정동)",2019-09-09,2022-09-09
15,경기도 고양시,대부업,2019-경기고양-1905,나눔에프앤에이대부,"경기도 고양시 덕양구 화중로130번길 32, 파스텔프라자 504호 (화정동)",2019-09-09,2022-09-09
16,경기도 고양시,대부업,2019-경기고양-1904,사랑드림대부,"경기도 고양시 일산동구 강석로 145, 축협빌딩 203호 (마두동)",2019-08-01,2022-08-01
17,경기도 고양시,대부중개업,2019-경기고양-538,사랑드림대부중개,"경기도 고양시 일산동구 강석로 145, 축협빌딩 203호 (마두동)",2019-08-01,2022-08-01
18,경기도 고양시,대부업,2019-경기고양-1903,케이탑론대부,"경기도 고양시 덕양구 화신로260번길 36, 뉴밀레니엄타워, MBSC 4층 60-9호 (화정동)",2018-10-11,2021-10-11
19,경기도 고양시,대부중개업,2019-경기고양-537,케이탑론대부중개,"경기도 고양시 덕양구 화신로260번길 36, 뉴밀레니엄타워, MBSC 4층 60-9호 (화정동)",2018-10-11,2021-10-11
20,경기도 고양시,대부업,2019-경기고양-1902,(주)머니멘토대부,"경기도 고양시 덕양구 통일로 140, 삼송테크노밸리 A동 356호 (동산동)",2019-07-29,2022-07-29
21,경기도 고양시,대부업,2019-경기고양-1901,THE바른대부,"경기도 고양시 일산동구 대산로11번길 14-4, 1층 (정발산동)",2019-07-24,2022-07-24
22,경기도 고양시,대부업,2019-경기고양-1900,OK콜대부,"경기도 고양시 덕양구 고양대로1384번길 7-24, 신원당마을 동문상가 106호 (성사동)",2019-07-22,2022-07-22
23,경기도 고양시,대부업,2019-경기고양-1899,라온대부,"경기도 고양시 덕양구 중앙로557번길 7-23, 202호 (행신동)",2019-07-22,2022-07-22
24,경기도 고양시,대부중개업,2019-경기고양-536,더쎈대부중개,"경기도 고양시 덕양구 화신로260번길 66, 한빛 하이죤 402호 (화정동)",2019-07-16,2022-07-16
25,경기도 고양시,대부중개업,2019-경기고양-535,플렉스대부중개,"경기도 고양시 일산동구 중앙로1261번길 59, 로얄프라자3 405호 (장항동)",2019-07-04,2022-07-04
26,경기도 고양시,대부업,2019-경기고양-1897,더원캐쉬대부,"경기도 고양시 일산서구 중앙로 1443, 가람상가 302-328호 (주엽동)",2019-07-04,2022-07-04
27,경기도 고양시,대부업,2019-경기고양-1896,유니콘대부,"경기도 고양시 일산동구 중앙로 1192, 월드프라자 601호 (마두동)",2019-07-01,2022-07-01
28,경기도 고양시,대부중개업,2019-경기고양-534,삼풍대부중개,"경기도 고양시 일산동구 정발산로 15, 드림월드빌딩 407호 (장항동)",2018-09-27,2021-09-27
29,경기도 고양시,대부중개업,2019-경기고양-533,올포유대부중개,"경기도 고양시 일산동구 탄중로 429, 성지프라자 5층 501-2호 (중산동)",2019-06-25,2022-06-25
30,경기도 고양시,대부업,2019-경기고양-1895,노마진대부,"경기도 고양시 일산서구 킨텍스로 217-21, 힐스테이트 일산 103동 3104호 (대화동)",2019-06-24,2022-06-24
31,경기도 고양시,대부중개업,2019-경기고양-532,인셋대부중개,"경기도 고양시 일산동구 백마로 195, 일산방송컴플레스방송관련시설 12010호 (장항동)",2019-06-18,2022-06-18
32,경기도 고양시,대부중개업,2019-경기고양-530,굿프렌즈 대부중개,"경기도 고양시 일산동구 정발산로 11, 일호골든타워 501호 (장항동)",2019-06-13,2022-06-13
33,경기도 고양시,대부업,2019-경기고양-1893,영서대부,"경기도 고양시 일산동구 문원길 91-4, 1동 (설문동)",2019-06-17,2022-06-17
34,경기도 고양시,대부중개업,2019-경기고양-529,주식회사 에이스대부중개,"경기도 고양시 덕양구 화중로130번길 14, 아성프라자 604호 (화정동)",2018-05-21,2021-05-21
35,경기도 고양시,대부업,2019-경기고양-1892,주식회사 에이스대부,"경기도 고양시 덕양구 화중로130번길 14, 아성프라자 604호 (화정동)",2018-05-21,2021-05-21
36,경기도 고양시,대부업,2019-경기고양-1891,가나할부금대부,"경기도 고양시 일산동구 무궁화로 20-18, 507-30호 (장항동)",2019-05-13,2022-05-13
37,경기도 고양시,대부중개업,2019-경기고양-528,에이치에스대부중개,"경기도 고양시 덕양구 원흥5로 8, 301호 (삼송동)",2019-05-10,2022-05-10
38,경기도 고양시,대부업,2019-경기고양-1889,모바일뱅크대부,"경기도 고양시 일산서구 중앙로 1443, 가람상가 302-314호 (주엽동)",2019-05-02,2022-05-02
39,경기도 고양시,대부업,2019-경기고양-1890,마니대부,"경기도 고양시 덕양구 고양대로1369번길 11-2, 지하1층 (성사동)",2019-05-02,2022-05-02
40,경기도 고양시,대부업,2019-경기고양-1887,레드전당포대부,"경기도 고양시 일산동구 백마로 195, 일산방송컴플렉스 2층 2-2149호 (장항동)",2019-04-29,2022-04-29
41,경기도 고양시,대부업,2017-경기고양-1888,믿음기획대부,"경기도 고양시 일산동구 고봉로 32-9, 양우로데오시티 529호 (장항동)",2017-08-14,2020-08-14
42,경기도 고양시,대부중개업,2019-경기고양-527,KAISER대부중개,"경기도 고양시 일산동구 중산로 247, 중산프라자 304-2호 (중산동)",2019-04-18,2022-04-18
43,경기도 고양시,대부업,2019-경기고양-1886,대양할부금대부,"경기도 고양시 일산동구 호수로 662, 삼성라끄빌 418호 (장항동)",2019-04-16,2022-04-16
44,경기도 고양시,대부중개업,2019-경기고양-526,엠앤엠대부중개,"경기도 고양시 일산서구 중앙로 1449, 효원빌딩 10층 701호 (주엽동)",2019-04-04,2022-04-04
45,경기도 고양시,대부업,2019-경기고양-1885,한빛대부,"경기도 고양시 일산동구 탄중로 429, 성지프라자 504/1호 (중산동)",2019-04-03,2022-04-03
46,경기도 고양시,대부중개업,2019-경기고양-525,한빛대부중개,"경기도 고양시 일산동구 탄중로 429, 성지프라자 504/1호 (중산동)",2019-04-03,2022-04-03
47,경기도 고양시,대부업,2019-경기고양-1884,가인대부,"경기도 고양시 일산동구 정발산로 11, 일호골든타워 504호-17호 (장항동)",2019-03-28,2022-03-28
48,경기도 고양시,대부중개업,2019-경기고양-523,가인대부중개,"경기도 고양시 일산동구 정발산로 11, 일호골든타워 504호-17호 (장항동)",2019-03-28,2022-03-28
49,경기도 고양시,대부중개업,2019-경기고양-524,국민서울대부중개,"경기도 고양시 일산동구 장백로 56, 크리스탈빌딩 501-5,6호 (백석동)",2019-03-28,2022-03-28
50,경기도 고양시,대부중개업,2019-경기고양-522,대출인대부중개,"경기도 고양시 덕양구 용현로 9, 대경티앤에스빌딩 303호 (행신동)",2019-03-20,2022-03-20
51,경기도 고양시,대부업,2019-경기고양-1883,오성머니대부,"경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 303호 (장항동)",2019-01-09,2022-01-09
52,경기도 고양시,대부중개업,2019-경기고양-521,채무줄임 대부중개,"경기도 고양시 일산동구 정발산로 24, 웨스턴돔1 5층 T1-512호 (장항동)",2019-03-15,2022-03-15
53,경기도 고양시,대부중개업,2019-경기고양-520,파이낸스 솔루션 대부중개,"경기도 고양시 일산서구 주엽로 150, 자유프라자 B6호 (주엽동)",2019-03-07,2022-03-07
54,경기도 고양시,대부업,2019-경기고양-1882,TOP대부,"경기도 고양시 일산동구 호수로 336, 브라운스톤 102동 811호 (백석동)",2019-02-28,2022-02-28
55,경기도 고양시,대부업,2019-경기고양-1881,WITH대부,"경기도 고양시 일산동구 탄중로 429, 5층 502/5호 (중산동)",2019-02-28,2022-02-28
56,경기도 고양시,대부중개업,2019-경기고양-519,주식회사머니멘토대부중개,"경기도 고양시 덕양구 통일로 140, 삼송테크노밸리 A동 356호2층1호 (동산동)",2019-02-25,2022-02-25
57,경기도 고양시,대부업,2019-경기고양-1880,행복맞춤대부사업부문,"경기도 고양시 일산동구 정발산로 43-7, 메리트 윈 801호 (장항동)",2019-02-19,2022-02-19
58,경기도 고양시,대부업,2019-경기고양-1879,365일희망대부,"경기도 고양시 일산서구 중앙로 1560, 다산스카이빌 303호10호실호 (대화동)",2019-02-15,2022-02-15
59,경기도 고양시,대부중개업,2019-경기고양-517,대출모아 대부중개,"경기도 고양시 일산동구 중앙로1261번길 19, 호수광장빌딩 204호 (장항동)",2019-02-11,2022-02-11
60,경기도 고양시,대부업,2019-경기고양-1877,대출모아,"경기도 고양시 일산동구 중앙로1261번길 19, 호수광장빌딩 (장항동)",2019-01-29,2022-01-29
61,경기도 고양시,대부중개업,2019-경기고양-516,TH파이낸셜대부중개,"경기도 고양시 일산동구 중앙로 1192, 월드프라자 601호 (마두동)",2019-01-29,2022-01-29
62,경기도 고양시,대부업,2019-경기고양-1876,올포유대부,"경기도 고양시 일산동구 탄중로 429, 성지프라자 5층 501-2호 (중산동)",2019-01-10,2022-01-10
63,경기도 고양시,대부중개업,2019-경기고양-515,(주)아르콘대부중개,"경기도 고양시 일산서구 중앙로 1542, 일산서구청 736호 (대화동)",2019-04-26,2022-04-26
64,경기도 고양시,대부업,2019-경기고양-1875,(주)아르콘대부,"경기도 고양시 일산서구 중앙로 1542, 일산서구청 736호 (대화동)",2019-04-26,2022-04-26
65,경기도 고양시,대부업,2018-경기고양-1874,더함드림대부,"경기도 고양시 덕양구 백양로 59, 화정대우마이빌 10층 1002호 (화정동)",2018-04-03,2021-04-02
66,경기도 고양시,대부업,2018-경기고양-1873,이룸대부,"경기도 고양시 덕양구 은빛로 39, 세은빌딩 401호 (화정동)",2017-10-13,2020-10-13
67,경기도 고양시,대부중개업,2018-경기고양-514,투개더론대부중개,경기도 고양시 덕양구 무원로36번길 6 (행신동),2018-11-28,2021-11-28
68,경기도 고양시,대부업,2018-경기고양-1872,명성캐피탈대부,"경기도 고양시 덕양구 통일로 140, 삼송테크노밸리 A436-6호 (동산동)",2018-11-22,2021-11-22
69,경기도 고양시,대부중개업,2018-경기고양-513,(주)퍼팩트대부중개,"경기도 고양시 덕양구 삼송로 12, 612호 (원흥동)",2016-12-19,2019-12-19
70,경기도 고양시,대부중개업,2018-경기고양-511,에이스대부중개,"경기도 고양시 일산동구 중앙로 1192, 월드프라자 601호 (마두동)",2018-11-19,2021-11-19
71,경기도 고양시,대부중개업,2018-경기고양-510,365헬프론대부중개,"경기도 고양시 일산서구 중앙로 1542, 411-3호 (대화동)",2018-11-16,2021-11-16
72,경기도 고양시,대부중개업,2018-경기고양-509,(주)제이에이치대부중개,"경기도 고양시 일산동구 호수로 358-25, 동문타워II 619~620호 (백석동)",2018-11-10,2021-11-10
73,경기도 고양시,대부업,2018-경기고양-1870,SJ기획대부,"경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 301호 (장항동)",2018-11-09,2021-11-09
74,경기도 고양시,대부업,2018-경기고양-1869,리셋론대부,경기도 고양시 일산동구 마골1길 14-7 (성석동),2018-10-31,2021-10-31
75,경기도 고양시,대부중개업,2018-경기고양-508,리셋론대부중개,경기도 고양시 일산동구 마골1길 14-7 (성석동),2018-10-31,2021-10-31
76,경기도 고양시,대부중개업,2018-경기고양-507,위드파이낸스대부중개,"경기도 고양시 일산동구 정발산로 24, 웨스턴돔B, 웨스턴타워4차 620호 (장항동)",2018-10-30,2021-10-30
77,경기도 고양시,대부중개업,2018-경기고양-506,디바인컴퍼니 대부중개,"경기도 고양시 일산동구 일산로 30, 효성레제스오피스텔 244호 (백석동)",2018-10-30,2021-10-30
78,경기도 고양시,대부업,2018-경기고양-1868,스피드 대출 대부,"경기도 고양시 일산동구 무궁화로 34, 남정씨티프라자 7층 703호 (장항동)",2018-10-30,2021-10-30
79,경기도 고양시,대부중개업,2018-경기고양-505,대환박사대부중개,"경기도 고양시 덕양구 신원로2길 60, 101호 (신원동)",2018-10-22,2021-10-22
80,경기도 고양시,대부중개업,2018-경기고양-504,Top 대부중개,"경기도 고양시 일산동구 호수로 358-25, 동문타워II 811호 (백석동)",2018-10-16,2021-10-16
81,경기도 고양시,대부업,2018-경기고양-1867,믿음CST대부,"경기도 고양시 일산동구 정발산로 15, 드림월드빌딩 714호 (장항동)",2018-10-10,2021-10-10
82,경기도 고양시,대부업,2018-경기고양-1866,한별카대부,경기도 고양시 덕양구 통일로1031번길 366-6 (내유동),2018-09-28,2021-09-28
83,경기도 고양시,대부업,2018-경기고양-1865,IBN크레딧대부,"경기도 고양시 일산동구 호수로 646-24, 위너스21 II 208-225호 (장항동)",2018-06-01,2021-06-01
84,경기도 고양시,대부중개업,2018-경기고양-502,금융시티재무컨설팅 대부중개,"경기도 고양시 덕양구 호국로777번길 17, 제103-1호 (주교동, 삼혜그린뷰)",2018-05-21,2021-05-21
85,경기도 고양시,대부중개업,2018-경기고양-499,OMJ대부,"경기도 고양시 일산서구 송산로 388, 4층 (가좌동)",2018-08-13,2021-08-13
86,경기도 고양시,대부업,2018-경기고양-1863,OMJ대부,"경기도 고양시 일산서구 송산로 388, 4층 (가좌동)",2018-08-13,2021-08-13
87,경기도 고양시,대부업,2018-경기고양-1862,SC대부,"경기도 고양시 덕양구 고양대로1384번길 7-24, 어울림마을1단지 동문상가동 지하층 19호 (성사동)",2018-08-10,2021-08-10
88,경기도 고양시,대부업,2018-경기고양-1861,드림캐시대부,"경기도 고양시 일산동구 정발산로 24, 웨스턴돔B, 웨스턴타워4차 620호 (장항동)",2018-07-25,2021-07-25
89,경기도 고양시,대부업,2018-경기고양-1860,희망나눔대부,"경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 301호 (장항동)",2018-07-19,2021-07-19
