업종명,업소명,소재지(도로명),소재지(지번),소재지전화
단란주점,호반단란주점,"경기도 고양시 일산동구 무궁화로 31-2 (장항동,번지 풍성빌딩 307호)",경기도 고양시 일산동구 장항동 734번지 2호 번지 풍성빌딩 307호 , 031- 811-6005
단란주점,폴로,"경기도 고양시 일산동구 정발산로 31-10 (장항동,파크프라자 405호,406호(일부))","경기도 고양시 일산동구 장항동 856번지 2호 파크프라자 405호,406호(일부) ", 031- 902-0111
단란주점,버디노래광장,경기도 고양시 일산동구 일산로 280 (마두동),경기도 고양시 일산동구 마두동 908번지 3호  , 031- 904-9599
단란주점,그린필드,"경기도 고양시 일산동구 장백로 38 (백석동,번지 2층)",경기도 고양시 일산동구 백석동 1306번지 1호 번지 2층 , 031- 905-3275
단란주점,마두노래타운,"경기도 고양시 일산동구 중앙로 1172, 지하1층 비115호~비117호 (마두동, 일산그랜드프라자빌딩)",경기도 고양시 일산동구 마두동 802번지 1호 일산그랜드프라자빌딩 지하1층 비115호~비117호 , 031- 915-0556
단란주점,립스틱라이브,"경기도 고양시 일산서구 대산로 117 (주엽동, 강선프라자 지하1층)",경기도 고양시 일산서구 주엽동 51번지 강선프라자 지하1층 , 031- 917-8256
단란주점,우주선노래뱅크단란주점,"경기도 고양시 일산서구 강성로 101 (주엽동,번지 제일프라자 302호)",경기도 고양시 일산서구 주엽동 72번지 번지 제일프라자 302호 , 031- 918-8890
단란주점,전국노래자랑,"경기도 고양시 일산동구 대산로 28, 지하1층 전체호 (정발산동)",경기도 고양시 일산동구 정발산동 1175번지 1호  B1층 전체호, 031- 919-1853
단란주점,일번지가요주점,"경기도 고양시 일산서구 중앙로 1567 (대화동,번지 대화프라자 지하1층)",경기도 고양시 일산서구 대화동 2222번지 번지 대화프라자 지하1층 , 031- 919-7557
단란주점,따르릉,경기도 고양시 덕양구 고양대로1369번길 20 (성사동),경기도 고양시 덕양구 성사동 702번지 17호  , 031- 962-1162
단란주점,쎄시봉,"경기도 고양시 덕양구 보광로 6, 지층 (고양동)",경기도 고양시 덕양구 고양동 968번지 지층 , 031- 962-4857
단란주점,여우밤,"경기도 고양시 덕양구 고양대로1369번길 43 (성사동,지하1층)",경기도 고양시 덕양구 성사동 697번지 13호 지하1층 , 031- 963-0713
단란주점,대박,경기도 고양시 덕양구 고양대로 1359-24 (성사동),경기도 고양시 덕양구 성사동 701번지 10호  , 031- 963-1540
단란주점,둥지노래방,경기도 고양시 덕양구 혜음로 38 (고양동),경기도 고양시 덕양구 고양동 139번지  , 031- 963-8693
