"순번","관할관청","운행업체","노선번호","기점","종점","주중배차간격","주말배차간격","상행첫차","상행막차","하행첫차","하행막차"
"79"," 고양시","서현운수","85","고양동종점","송정역(중)","8분~18분","10분~20분","05:00","22:20","06:11","23:20"
"80"," 고양시","서현운수","85-1","고양동종점","송정역(중)","35분~45분","40분~60분","05:01","22:15","06:01","23:15"
"81"," 고양시","고양교통","97","김포대학차고지(경유)","행신역","10분~15분","15분~20분","04:50","00:10","04:50","00:10"
"82"," 고양시","고양교통","1001","고양공영차고지(경유)","부천소방서.부천대학사거리","7분~15분","15분~20분","04:40","23:20","05:40","00:25"
"83"," 고양시","명성운수","1500","교하차고지","영등포소방서.타임스퀘어","8분~11분","10분~14분","04:40","22:40","05:50","23:55"
"84"," 고양시","명성운수","1100","고양공영차고지","숭례문","20분~25분","25분~33분","04:55","22:40","05:55","23:55"
"85"," 고양시","가온누리엠","M7106","대화역","숭례문","6분~10분","13분~15분","05:30","00:00","06:20","00:50"
"86"," 고양시","가온누리엠","M7106","대화역","숭례문","6분~10분","13분~15분","05:30","00:30","06:20","01:20"
"87"," 고양시","선진버스","M7119","위시티3.4단지","숭례문","7분~10분","10분~15분","04:30","23:30","05:20","00:30"
"88"," 고양시","선진버스","M7119","위시티3.4단지","숭례문","7분~10분","10분~15분","04:30",,"05:20",
"89"," 고양시","고양교통","88A","고양공영차고지(경유)","고양공영차고지","3분~10분","5분~10분","05:00","00:20",,
"90"," 고양시","고양교통","88A","고양공영차고지(경유)","고양공영차고지","3분~10분","5분~10분","05:00","00:50",,
"91"," 고양시","고양교통","88B","고양공영차고지(경유)","고양공영차고지","3분~10분","5분~10분","05:00","00:20",,
"92"," 고양시","고양교통","88B","고양공영차고지(경유)","고양공영차고지","3분~10분","5분~10분","05:00","00:50",,
"93"," 고양시","명성운수","M7129","능곡초등학교","숭례문","20분~30분","25분~45분","05:30","23:00","06:05","23:40"
"94"," 고양시","가온누리엠","M7731","하이파크시티3.5단지","공덕역1번출구","15분~20분","20분~25분","05:30","00:00","06:30","01:00"
"95"," 고양시","가온누리엠","M7731","하이파크시티3.5단지","공덕역1번출구","15분~20분","20분~25분","05:30","00:30","06:30","01:30"
"96"," 고양시","선진버스","60","이전마을회관","일산역","60분~100분","120분~200분","06:00","20:00","06:50","20:50"
"97"," 고양시","서현운수","733","진관공영차고지","홍대입구역(중)","15분~20분","20분~30분","05:00","22:50","06:00","23:50"
"98"," 고양시","명성운수","11","성석동","행신역","4분~8분","9분~11분","04:40","22:40","05:45","23:55"
"99"," 고양시","명성운수","871","성석동","신세계백화점","26분~46분","36분~45분","04:45","22:40","05:50","23:50"
"100"," 고양시","명성운수","800","내유동종점","신촌오거리.현대백화점(중)","12분~15분","20분~24분","05:00","22:30","06:00","23:40"
"101"," 고양시","명성운수","1082","내유동종점","CM충무병원","4분~6분","6분~9분","05:00","22:30","05:55","23:30"
"102"," 고양시","명성운수","108","일산터미널","여의도역","40분~50분","45분~60분","05:20","22:40","06:20","23:40"
"103"," 고양시","서현운수","55","킨텍스제2전시장","양광교회","40분~70분","60분~100분","05:20","23:05","05:15","23:05"
"104"," 고양시","명성운수","1000","대화동","숭례문","4분~5분","6분~8분","04:30","00:00","05:20","00:50"
"105"," 고양시","명성운수","1000","대화동","숭례문","4분~5분","6분~8분","04:30","00:40","05:20","01:30"
"106"," 고양시","명성운수","770","고양공영차고지","신촌기차역","40분~50분","60분~70분","04:40","22:45","05:30","23:50"
"107"," 고양시","명성운수","921","탄현동종점","신촌오거리.현대백화점(중)","11분~12분","17분~18분","05:00","23:00","06:10","00:15"
"108"," 고양시","명성운수","1200","탄현동종점","숭례문","6분~9분","8분~10분","04:50","22:50","05:50","23:50"
"109"," 고양시","명성운수","1200","탄현동종점","숭례문","6분~9분","8분~10분","04:50","23:30","05:50","00:30"
"110"," 고양시","명성운수","72","대화동","현대백화점","22분~26분","27분~29분","04:30","22:50","05:20","23:50"
"111"," 고양시","명성운수","870","대화동","CM충무병원","18분~26분","31분~33분","04:40","22:40","05:25","23:40"
"112"," 고양시","명성운수","3300","대화동","인천공항3층출국장(T2)","15분~17분","15분~17분","04:15","21:45","05:45","23:15"
