시군명,지식산업센터명칭,소재지지번주소,용도지역,부지면적(㎡),건축연면적(㎡),공장시설면적(㎡),유치가능업체수,입주업체수,공사진행상황,준공연도,데이터기준일
고양시,대방트리플라온비즈니스타워1,경기도 고양시 일산동구 중산동 1681,제3종일반주거,3925,14227,12147,71,47,준공,2012,2020-02-28
고양시,대방트리플라온비즈니스타워2,경기도 고양시 일산동구 중산동 1682,제3종일반주거,8720,35661,30169,147,92,준공,2012,2020-02-28
고양시,루트로닉센터,경기도 고양시 덕양구 행신동 1098,제2종일반주거,5556,7956,6973,6,1,준공,2013,2020-02-28
고양시,삼송테크노밸리,경기도 고양시 덕양구 동산동 376,준주거,47636,188137,173753,795,777,준공,2015,2020-02-28
고양시,유니테크빌벤처타운,경기도 고양시 일산동구 백석동 1141-2,준주거,16739,133153,105927,300,300,준공,1999,2020-02-28
고양시,일산테크노타운,경기도 고양시 일산동구 백석동 1141-1,준주거,19834,95499,89116,159,150,준공,1999,2020-02-28
고양시,포스콤타워,경기도 고양시 덕양구 행신동 1099,제2종일반주거,3061,11785,4756,6,4,준공,2017,2020-02-28
고양시,지벤컴퍼니타워,경기도 고양시 덕양구 원흥동 703,준주거,2887,12582,8308,6,1,준공,2019,2020-02-28
고양시,원흥줌하이필드,경기도 고양시 덕양구 원흥동 702,준주거,3049,16279,11946,150,,건축중,2020,2020-02-28
고양시,고양아크비즈,경기도 고양시 덕양구 원흥동 704,준주거,5972,38636,35629,433,,건축중,2021,2020-02-28
고양시,윈스타,경기도 고양시 덕양구 원흥동 705,준주거,6048,38905,17805,312,,건축중,2021,2020-02-28
고양시,광양프런티어밸리,"경기도 고양시 덕양구 원흥동 706, 707",준주거,7217,46025,20906,387,,건축중,2021,2020-02-28
