연번,사업장명,소재지,종별
1,㈜이수씨엔피,고양시 덕양구 덕은로 110(덕은동),4
2,정광유리,고양시 덕양구 호원길 76(현천동),5
3,삼훈산업,고양시 덕양구 대덕산로27번길 14(덕은동),5
4,서울교통공사,고양시 덕양구 삼송로 300(지축동),4
5,㈜뉴덕흥기업,고양시 일산동구 공릉천로 126(사리현동),4
6,㈜르노삼성 동아정비센터,고양시 덕양구 마상로114번길 25(주교동),5
7,보성자동차정비공업사,고양시 일산서구 덕이로 229(덕이동),4
8,신성콘크리트공업㈜,고양시 일산동구 동국로 230(식사동),4
9,명성운수㈜,고양시 일산서구 대화로 97(대화동),5
10,자일일산서비스 주식회사,고양시 일산서구 경의로 848(덕이동),4
11,㈜한일카독크,고양시 일산서구 덕이로 48(덕이동),4
12,경기모터스,고양시 덕양구 호국로 1859(벽제동),5
13,북부현대내유검사소,고양시 덕양구 통일로1031번길 494(내유동),4
14,에이스정비사업소,고양시 일산서구 경의로 832(덕이동),5
15,장항자동차공업사,고양시 일산동구 장대길105번길 138(장항동),5
16,고양모터스,고양시 일산서구 덕산로 196-51(가좌동),5
17,일산모터스,고양시 일산서구 고양대로 110(법곳동),4
18,형제자동차공업사,고양시 일산서구 경의로 944(덕이동),5
19,㈜고양현대자동차공업,고양시 덕양구 호국로 1721(벽제동),4
20,㈜신도시카독크,고양시 일산동구 장대길 160-54(장항동),5
21,두산오토서비스㈜,고양시 일산서구 송산로 506(덕이동),5
22,(주)금성강철,고양시 일산동구 견달산로225번길 74(식사동),4
23,㈜CBM영진애드,고양시 일산동구 견달산로 245(식사동),5
24,AMC모터스,고양시 일산서구 멱절길 11(법곳동),4
25,가은현대서비스,고양시 일산동구 견달산로225번길 21-12(식사동),4
26,강촌자동차정비공업사,고양시 일산동구 장대길 145-5(장항동),5
27,㈜천우,고양시 일산동구 견달산로225번길 81(식사동),5
28,㈜제이제이모터스,고양시 일산서구 대화2로 17-49(법곳동),4
29,아이템플인쇄,고양시 일산동구 장항로225번길 217(장항동),5
30,블루현대자동차공업사,고양시 덕양구 고골길 116번길 36-51(관산동),4
31,두원산업,고양시 일산서구 경의로 896(덕이동),4
32,주식회사 일산자동차서비스,고양시 일산서구 송산로 499(덕이동),4
33,백마자동차정비공업㈜,고양시 일산동구 고일로 136(풍동),5
34,Y.B Motors,고양시 일산서구 송산로 511(덕이동),5
35,현대덕이공업사,고양시 일산서구 탄중로 125-1(덕이동),5
36,제니스오토,고양시 일산동구 성현로 49(성석동),5
37,이산포자동차공업사,고양시 일산서구 멱절길 12(법곳동),5
38,㈜삼표산업 서부공장,고양시 덕양구 흥도로 113(도내동),4
39,㈜성일공업사,고양시 일산동구 성석로 365(성석동),5
40,에이스카모터스,고양시 일산동구 견달산로225번길 21-37(식사동),4
41,㈜BD테크,고양시 일산서구 덕산로 305-19(덕이동),4
42,그린엔텍콤 주식회사,고양시 일산동구 은마길63번길 25-16(설문동),4
43,유진기업㈜서서울,고양시 덕양구 통일로493번길 35(대자동),4
44,SPEED공업사,고양시 일산서구 고양대로112번길 54-29(법곳동),4
45,주식회사 엔에이모터스,고양시 일산동구 성현로 518(사리현동),5
46,㈜장원C&S,고양시 덕양구 통일로1031번길 412(내유동),4
47,동주모터스,고양시 일산동구 성현로135번안길 93(성석동),5
48,㈜번영테이프,고양시 일산동구 지영로194번길 103(지영동),5
49,㈜오토킹,고양시 덕양구 충장로 208(화정동),4
50,㈜코지백,고양시 덕양구 통일로1031번길 450(내유동),5
51,㈜케이디씨앤피,고양시 일산동구 장대길 42-113(장항동),5
52,세기상운㈜,고양시 일산동구 지영로194번길 4(지영동),5
53,㈜에이치디 글로벌,고양시 일산동구 지영로 170(지영동),4
54,아주산업㈜상암공장,고양시 덕양구 흥도로 111(도내동),4
55,㈜PMC오토존,고양시 일산서구 경의로789번길 26(덕이동),4
56,북부일산자동차서비스㈜,고양시 일산서구 경의로 939(덕이동),5
57,송포농협 경제사업소,고양시 일산서구 송산로266번길 354(법곳동),4
58,중앙현대써비스,고양시 일산서구 신덕로24번길 26(덕이동),4
59,SH모터스,고양시 일산서구 고양대로 110-5(법곳동),5
60,올리브자동차공업사,고양시 일산동구 고양대로 1072(식사동),5
61,태성자동차공업사,고양시 일산동구 은마길 31-24(성석동),5
62,유진기업㈜구파발,고양시 덕양구 통일로493번길 35(대자동),5
63,㈜서울리싸이클링,고양시 일산동구 은마길63번길 25-33(성석동),5
64,굿모닝자동차서비스,고양시 일산동구 고봉로 466(성석동),5
65,(주)에스씨알,고양시 덕양구 동헌로 127-13(관산동),4
66,경기자동차공업사,고양시 일산동구 견달산로 185(식사동),5
67,한국지엠동일산서비스㈜,고양시 일산동구 성현로 195(성석동),5
68,고양시쌀연구회영농조합 법인,고양시 일산서구 법곳길 420(구산동),4
69,㈜한국토미,고양시 일산동구 장항로 313-18(장항동),5
70,일산그린자동차공업사,고양시 일산서구 송산로 528(덕이동),4
71,㈜현대일산자동차정비센타,고양시 일산동구 성석로 40(중산동),4
72,프라임모터스,고양시 덕양구 통일로 1031번길 366-6(내유동),5
73,미창섬유,고양시 덕양구 통일로 1161-97(내유동),4
74,고양낙우영농조합법인㈜,고양시 일산동구 성현로 228-27(성석동),5
75,양지자동차공업사,고양시 일산동구 멱절길 368-30(장항동),5
76,세진 SI,고양시 일산동구 장진천길46번길 16(설문동),5
77,주식회사 한양하이켐,고양시 일산동구 은마길 143-20(설문동),5
78,㈜기흥인쇄,고양시 일산동구 장항로 203-129(장항동),5
79,코엑스운수㈜,고양시 일산서구 덕산로195번길 107(가좌동),5
80,신영자동차공업사,고양시 덕양구 통일로1108번길 165(내유동),5
81,(주)행신지정서비스,고양시 덕양구 무원로 6번길 25(행신동),5
82,부강자원,고양시 일산동구 은마길79번길 54-11(설문동),5
83,㈜태광마텍스,고양시 일산동구 공릉천로 209-59(사리현동),5
84,미광모터스,고양시 일산서구 송산로 524(덕이동),5
85,ICEPIA,고양시 일산서구 멱절길86번길 61-19(대화동),5
86,㈜명진특수고무,고양시 일산동구 견달산로225번길 21-42(식사동),5
87,지성기계공업,고양시 일산동구 견달산로225번길 26-88(식사동),5
88,신흥자동차정비검사㈜,"고양시 일산동구 견달산로 400, 400-1, 400-2(문봉동)",5
89,서진1급자동차서비스,고양시 일산서구 장자길 100-9(덕이동),4
90,이화모터스,고양시 일산동구 은마길 75(설문동),4
91,㈜성도모터스,고양시 일산동구 백마로 488(풍동),5
92,한솔그라스칼라,"고양시 일산동구 문봉길 6-64, 가동(문봉동)",5
93,OK1급자동차정비공업사,고양시 일산서구 송포로447번길 46(가좌동),5
94,1급양지모터스㈜,고양시 일산동구 고봉로 618-18(성석동),5
95,케이씨씨모터스㈜일산지점,고양시 일산서구 멱절길 3(법곳동),5
96,주식회사 오토데이,고양시 일산동구 일산로 74-23(백석동),5
97,성원공업㈜,고양시 덕양구 내유길131번길 23(내유동),5
98,주식회사 오토프라임,고양시 덕양구 무원로6번길 10(행신동),5
99,쌍용자동차일산사업소㈜,고양시 일산서구 덕이로 50-16(덕이동),5
100,㈜우리모터스로엠카일산점(성석동부),고양시 일산동구 성석로 174(성석동),5
101,서현대자동차정비공업사,고양시 일산서구 덕이로 255(덕이동),4
102,㈜제이엘모터스,"고양시 일산서구 경의로 886, C동 1층(덕이동)",5
103,엠 모터스,고양시 일산동구 견달산로225번길 66(식사동),5
104,㈜르노삼성일산정비사업소,고양시 일산서구 법곳길115번길 82-25(법곳동),5
105,신한기계공업㈜,고양시 일산동구 사리현로 203-14(사리현동),5
106,오복운수,고양시 일산서구 송포로447번길 54(가좌동),5
107,퍼스트서비스 주식회사,고양시 일산서구 송산로 581(덕이동),5
108,오토그린 모터스,고양시 일산서구 신덕로 110(덕이동),5
109,우리자동차공업사,고양시 일산서구 덕산로 292(덕이동),5
110,MK Motors,고양시 일산동구 성현로135번안길 117-32(성석동),5
111,골드모터스,고양시 일산서구 멱절길35번길 168-154(법곳동),5
112,㈜세형공업사,고양시 일산동구 지영로 190(지영동),5
113,서부현대공업사㈜,"고양시 일산동구 성석로 148(성석동, 나,다동)",5
114,유경준설기산업㈜,고양시 덕양구 동헌로235번길 129-38(대자동),5
115,미래아이디,"고양시 일산동구 고봉로678번길 111, 나동, 다동(성석동)",5
116,성석현대자동차공업사,고양시 일산동구 고봉로578번길 65(성석동),5
117,㈜마일레오토모빌,고양시 일산동구 성석로 188(성석동),5
118,더월드모터스,고양시 일산서구 경의로789번길 34(덕이동),5
119,에쓰씨모터스,고양시 일산동구 성석로 44(중산동),5
120,대림클래식가구,"고양시 일산동구 은마길63번길 57-20, 가동(설문동)",5
121,㈜플러스오토,고양시 일산동구 백마로 34(장항동),5
122,씨제이대한통운㈜,고양시 일산동구 성현로 615(사리현동),5
123,㈜유진모터스,고양시 일산서구 멱절길35번길 168-139(법곳동),5
124,㈜서울메타텍,고양시 덕양구 고골길116번길 39-45(관산동),5
125,포이에마,고양시 일산동구 은마길63번길 68(설문동),5
126,㈜뱀브앤라이프,"고양시 일산동구 장대길 42-89, 가동(장항동)",5
127,채널샵,고양시 일산동구 동국로223번길 5(성석동),5
128,21세기일산현대자동차회사,고양시 일산동구 고양대로 900-28(풍동),5
129,도깨비공업사,고양시 일산동구 고봉로 739(설문동),5
130,㈜세븐그램스,고양시 일산서구 덕이로 193(덕이동),5
131,체리데코,"고양시 일산동구 은마길63번길 57-20, 아동(설문동)",4
132,마찌갤러리,고양시 일산동구 은마길 91-1(설문동),5
133,㈜오미산오토랜드,고양시 일산동구 성현로 15(성석동),4
134,상암현대자동차서비스㈜,고양시 덕양구 서오릉로532번길 33(용두동),5
135,문화택시㈜,고양시 일산동구 성현로135번길 112(성석동),5
136,제일풍력기계,"고양시 일산동구 문봉길 6-37, C동(문봉동)",5
137,MTS KOREA,고양시 일산동구 지영로 54(지영동),5
138,주영공업사,"고양시 일산동구 장항로225번길 25, 나동(장항동)",5
139,㈜알엠에스,고양시 일산동구 공릉천로 209-75(사리현동),5
140,㈜베스트토요타 일산서비스,고양시 일산동구 동국로 112(식사동),5
141,주식회사 에스클래스,고양시 일산서구 송산로 361-2(가좌동),5
142,주식회사 햄스토리,고양시 일산동구 공릉천로 473번길 62(설문동),5
143,텔미자동차정비,고양시 일산동구 견달산로 333(문봉동),5
144,㈜레드베어스,고양시 일산동구 견달산로 230-1(식사동),5
145,붕붕모터스,고양시 일산동구 성현로 532-35(사리현동),5
146,㈜월드그린공업사,고양시 일산동구 견달산로 287(식사동),4
147,해동광고기획,고양시 덕양구 고골길 116번길 39-42(관산동),5
148,뉴나인모터스,"고양시 일산동구 은마길63번길 16, 나동(설문동)",5
149,동해운수㈜,고양시 일산서구 경의로 772(대화동),5
150,인토스,고양시 덕양구 내유동 141-16,5
151,현대1급일산동부공업사,고양시 일산동구 공릉천로 239(사리현동),5
152,㈜삼보,고양시 일산동구 장진천길 14-61(설문동),5
153,한미모터스,고양시 일산동구 문봉길62번길 21(문봉동),5
154,세진실리콘㈜,고양시 일산동구 장진천길46번길 20(설문동),5
155,JS모터스,고양시 일산동구 성현로 153(성석동),5
156,㈜바바리안모터스,고양시 일산동구 무궁화로 383(식사동),5
157,㈜모터원,고양시 일산서구 법곳길 82(대화동),4
158,모토니티자동차공업사,고양시 일산서구 덕산로 277번길 51-48(덕이동),5
159,라이프인스타일,고양시 일산동구 일산로 429(정발산동),5
160,㈜양지테크,"고양시 일산동구 장진천길82번길 26, 나,다동(설문동)",5
161,한성모터스,고양시 일산서구 덕이로 209-13(덕이동),5
162,일진현대정비공장,고양시 덕양구 보광로 260(벽제동),5
163,진흥기업,고양시 일산동구 문봉길 44-80(문봉동),5
164,오대양공업사,고양시 일산동구 성현로431번길 73-17(문봉동),5
165,삼마모터스,고양시 일산동구 성현로135번길 78(성석동),5
166,신성케미칼㈜,고양시 일산동구 고봉로678번길 33(설문동),5
