"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"삼송도서관 다목적실",삼송도서관,다목적실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 덕양구 덕수천1로 73(삼송동),경기도 고양시 덕양구 삼송동 321번지,경기도 고양시청,삼송도서관,031-8075-9355,http://www.goyang.go.kr/kr/facilities/main.do,37.6488851,126.8848538918,2019-01-01
"삼송도서관 시청각실",삼송도서관,다목적실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,81,,,방문+전화,,경기도 고양시 덕양구 호국로790번길 101 (성사동),경기도 고양시 덕양구 성사동 408-1번지,경기도 고양시청,삼송도서관,031-8075-9355,http://www.goyang.go.kr/kr/facilities/main.do,37.6545100488,126.8413606953,2019-01-01
"식사도서관 교양교실",식사도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산동구 위시티 2로 43-6(식사동),경기도 고양시 일산동구 식사동 1234-1번지,경기도 고양시청,식사도서관,031-8075-9182,http://www.goyang.go.kr/kr/facilities/main.do,37.6762120117,126.8159045,2019-01-01
"식사도서관 동아리방",식사도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산동구 위시티 2로 43-6(식사동),경기도 고양시 일산동구 식사동 1234-1번지,경기도 고양시청,식사도서관,031-8075-9182,http://www.goyang.go.kr/kr/facilities/main.do,37.6762120117,126.8159045,2019-01-01
"식사도서관 시청각실",식사도서관,다목적실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,120,,,방문+전화,,경기도 고양시 일산동구 위시티 2로 43-6(식사동),경기도 고양시 일산동구 식사동 1234-1번지,경기도 고양시청,식사도서관,031-8075-9182,http://www.goyang.go.kr/kr/facilities/main.do,37.6762120117,126.8159045,2019-01-01
"신원도서관 갤러리쉼터",신원도서관,전시실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 신원2로 24(신원동),경기도 고양시 덕양구 신원동 607번지,경기도 고양시청,신원도서관,031-8075-9335,http://www.goyang.go.kr/kr/facilities/main.do,37.6663621,126.8863592087,2019-01-01
"신원도서관 시청각실",신원도서관,다목적실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,100,,,방문+전화,,경기도 고양시 덕양구 신원2로 24(신원동),경기도 고양시 덕양구 신원동 607번지,경기도 고양시청,신원도서관,031-8075-9335,http://www.goyang.go.kr/kr/facilities/main.do,37.6663621,126.8863592087,2019-01-01
"원신동행정복지센터 회의실",원신동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 호국로 1261(신원동),경기도 고양시 덕양구 신원동 437-25번지,경기도 고양시청,원신동행정복지센터,031-8075-5673,http://www.goyang.go.kr/kr/facilities/main.do,37.6773401,126.875866,2019-01-01
"일산1동행정복지센터 열린회의실",일산1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,50,,,방문+전화,,경기도 고양시 일산서구 원일로 55(일산동),경기도 고양시 일산서구 일산동 963-6번지,경기도 고양시청,일산1동행정복지센터,031-8075-7703,http://www.goyang.go.kr/kr/facilities/main.do,37.6872393179,126.768521,2019-01-01
"성사1동행정복지센터 2층 회의실",성사1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,50,,,방문+전화,,경기도 고양시 덕양구 호국로790번길 101 (성사동),경기도 고양시 덕양구 성사동 408-1번지,경기도 고양시청,성사1동행정복지센터,031-8075-5708,http://www.goyang.go.kr/kr/facilities/main.do,37.6545100488,126.8413606953,2019-01-01
"성사2동행정복지센터 대회의실",성사2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 호국로742번길 6-6(성사동),경기도 고양시 덕양구 성사동 734-1번지,경기도 고양시청,성사2동행정복지센터,031-8075-5722,http://www.goyang.go.kr/kr/facilities/main.do,37.6529123,126.832906,2019-01-01
"성사1동행정복지센터 지하 문화강좌실",성사1동행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,40,,,방문+전화,,경기도 고양시 덕양구 호국로790번길 101 (성사동),경기도 고양시 덕양구 성사동 408-1번지,경기도 고양시청,성사1동행정복지센터,031-8075-5708,http://www.goyang.go.kr/kr/facilities/main.do,37.6545100488,126.8413606953,2019-01-01
"성사2동행정복지센터 소회의실",성사2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,15,,,방문+전화,,경기도 고양시 덕양구 호국로790번길 101 (성사동),경기도 고양시 덕양구 성사동 408-1번지,경기도 고양시청,성사2동행정복지센터,031-8075-5722,http://www.goyang.go.kr/kr/facilities/main.do,37.6545100488,126.8413606953,2019-01-01
"송산동행정복지센터",송산동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,50,,,방문+전화,,경기도 고양시 일산서구 덕이로 50-7(덕이동),경기도 고양시 일산서구 덕이동 446-9번지,경기도 고양시청,송산동행정복지센터,031-8075-7945,http://www.goyang.go.kr/kr/facilities/main.do,37.6909080782,126.754292,2019-01-01
"덕양구청 갤러리 ''''''''''''''''''''''''''''''''꿈''''''''''''''''''''''''''''''''",덕양구 산업위생과,전시실,주말,09:00,18:00,00:00,00:00,N,,,,,100,,,방문+전화,,경기도 고양시 덕양구 화중로 104번길 13(화정동),경기도 고양시 덕양구 화정동 955번지,경기도 고양시청,덕양구 산업위생과,031-8075-5443,http://www.goyang.go.kr/kr/facilities/main.do,37.6374653264,126.8322923526,2019-01-01
"덕양구청 대회의실",덕양구 자치행정과,회의실,주말,09:00,21:00,00:00,00:00,N,,,,,200,,,방문+전화,,경기도 고양시 덕양구 화중로 104번길 13(화정동),경기도 고양시 덕양구 화정동 955번지,경기도 고양시청,덕양구 자치행정과,031-8075-5039,http://www.goyang.go.kr/kr/facilities/main.do,37.6374653264,126.8322923526,2019-01-01
"덕이도서관 교양교실",덕이도서관,회의실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,16,,,방문+전화,,경기도 고양시 일산서구 하이파크로 128(덕이동),경기도 고양시 일산서구 덕이동 1533번지,경기도 고양시청,덕이도서관,031-8075-9312,http://www.goyang.go.kr/kr/facilities/main.do,37.7029492432,126.7545541259,2019-01-01
"덕이도서관 시청각실",덕이도서관,다목적실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,122,,,방문+전화,,경기도 고양시 일산서구 하이파크로 128(덕이동),경기도 고양시 일산서구 덕이동 1533번지,경기도 고양시청,덕이도서관,031-8075-9312,http://www.goyang.go.kr/kr/facilities/main.do,37.7029492432,126.7545541259,2019-01-01
"마두1동행정복지센터 2층 문화광좌실",마두1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 일산로 218(마두동),경기도 고양시 일산동구 마두동 727번지,경기도 고양시청,마두1동행정복지센터,031-8075-6881,http://www.goyang.go.kr/kr/facilities/main.do,37.6558169356,126.7897781,2019-01-01
"마두1동행정복지센터 3층 회의실",마두1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 일산로 218(마두동),경기도 고양시 일산동구 마두동 727번지,경기도 고양시청,마두1동행정복지센터,031-8075-6881,http://www.goyang.go.kr/kr/facilities/main.do,37.6558169356,126.7897781,2019-01-01
"마두2동행정복지센터 2층 회의실",마두2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 강송로 166(마두동),경기도 고양시 일산동구 마두동 782번지,경기도 고양시청,마두2동행정복지센터,031-8075-6895,http://www.goyang.go.kr/kr/facilities/main.do,37.6535482,126.7844426,2019-01-01
"마두도서관 교양교실",마두도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 일산로 355(마두동),경기도 고양시 일산동구 마두동 1112번지,경기도 고양시청,마두도서관,031-8075-9068,http://www.goyang.go.kr/kr/facilities/main.do,37.6667155683,126.7820568878,2019-01-01
"마두도서관 시청각실",마두도서관,다목적실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,80,,,방문+전화,,경기도 고양시 일산동구 일산로 355(마두동),경기도 고양시 일산동구 마두동 1112번지,경기도 고양시청,마두도서관,031-8075-9068,http://www.goyang.go.kr/kr/facilities/main.do,37.6667155683,126.7820568878,2019-01-01
"백석1동행정복지센터 인터넷방",백석1동행정복지센터,기타,주말,09:00,18:00,00:00,00:00,N,,,,,8,,,방문+전화,,경기도 고양시 일산동구 일산로 145(백석동),경기도 고양시 일산동구 백석동 1147번지,경기도 고양시청,백석1동행정복지센터,031-8075-6813,http://www.goyang.go.kr/kr/facilities/main.do,37.649602,126.792435,2019-01-01
"백석1동행정복지센터 주민사랑방",백석1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산동구 일산로 145(백석동),경기도 고양시 일산동구 백석동 1147번지,경기도 고양시청,백석1동행정복지센터,031-8075-6813,http://www.goyang.go.kr/kr/facilities/main.do,37.649602,126.792435,2019-01-01
