구분,단지명,지번,도로명주소,사업승인일,사용검사일,건물유형,층수,동수,세대수,관리소전화,fax,연면적(㎡),승강기
비의무,삼천리연립,토당동 43-4,"경기도 고양시 덕양구 지도로103번길 25-18  (토당동, 삼천리연립)  ",1980-03-14,1981-05-06,연립주택,2,3,20,,,1097.32,0
비의무,대당연립주택,토당동 434-3,경기도 고양시 덕양구 토당로32번길 6  (토당동)  ,1981-06-29,1981-12-08,연립주택,3,3,36,,,2855.01,0
비의무,로얄연립주택,토당동 292-34,"경기도 고양시 덕양구 능곡로13번길 43  (토당동, 로얄맨션주택)  ",1981-07-08,1981-12-15,연립주택,3,2,36,,,2317.69,0
비의무,삼화주택,토당동 392-1,"경기도 고양시 덕양구 지도로52번길 2  (토당동, 삼화연립)  ",1981-07-23,1982-03-03,연립주택,3,4,63,,,2790.54,0
비의무,경원연립주택,행신동 618-1,"경기도 고양시 덕양구 행신로143번길 14-17  (행신동, 경원주택)  ",1980-12-26,1982-03-18,연립주택,2,4,24,,,2071.14,0
비의무,삼진연립,행신동 173-1,"경기도 고양시 덕양구 행신로 281  (행신동, 삼진연립)  ",1981-05-26,1982-05-24,연립주택,3,4,74,,,6111.88,0
비의무,제민연립,행신동 235-1,"경기도 고양시 덕양구 중앙로468번길 49  (행신동, 제민연립) ",1981-02-14,1982-05-25,연립주택,3,2,27,,,1897.78,0
비의무,제민연립,행신동 235-3,"경기도 고양시 덕양구 중앙로468번길 50  (행신동, 신제민연립)  ",1981-08-17,1982-05-25,연립주택,3,2,30,,,2214.15,0
비의무,삼화주택,토당동 399-0,"경기도 고양시 덕양구 지도로26번길 9  (토당동, 삼화그린빌라)  ",1982-10-08,1983-09-19,연립주택,3,3,51,,,4070.44,0
비의무,성산주택,주교동 597-12,"경기도 고양시 덕양구 원당로59번길 35-14  (주교동, 성산빌라)  ",1983-02-26,1983-11-23,주택,4,2,48,,,2722.68,0
비의무,허스(가),성사동 407-20,"경기도 고양시 덕양구 고양대로1407번길 45-4  (성사동, 허스연립)  ",1983-03-15,1983-11-25,주택,3,3,72,,,4579.2,0
비의무,허스(나~라),성사동 407-21,"경기도 고양시 덕양구 고양대로1407번길 31 (성사동, 허스연립)  ",1983-09-15,1983-11-25,주택,3,1,24,,,1526.4,0
비의무,세인연립,토당동 385-7,"경기도 고양시 덕양구 토당로32번길 41  (토당동, 세인빌라)  ",1983-05-24,1983-12-13,연립주택,3,4,90,,,6863.4,0
