시군명,사업장명,인허가일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,X좌표값,Y좌표값,문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,건물용도명,지상층수,지하층수
고양시,터 시어터,20160113,13,영업중,,070-4190-7766,"경기도 고양시 일산동구 정발산로 127, 지하1층 (마두동, 대한불교조계종 여래사)","경기도 고양시 일산동구 마두동 810번지 지하1층,대한불교조계종 여래사",10408,37.6593497,126.782128,180709.956,461916.8282,공연장,공연장,,1,,,,
고양시,나가수공연장,20120222,13,영업중,,031-922-9448,"경기도 고양시 일산동구 고봉로 32-36, 정안프라자 303호 (장항동)",경기도 고양시 일산동구 장항동 736-6번지 정안프라자,10364,37.663437,126.7666003,179342.8927,462374.2919,공연장,공연장,상업지역,1,유흥업소밀집지역,문화시설,,
고양시,노루목야외극장,20070424,13,영업중,,1577-7766,"경기도 고양시 일산동구 중앙로 1286, 고양아람누리 (마두동)",경기도 고양시 일산동구 마두동 816번지 고양아람누리,10409,37.6614346,126.7745965,180046.444,462150.3301,공연장,공연장,,,,,,
고양시,고양시문예회관,20040207,13,영업중,,031-965-2957,경기도 고양시 덕양구 고양시청로 10 (주교동),경기도 고양시 덕양구 주교동 600번지,,37.6580452,126.8321204,185120.947,461764.1706,공연장,공연장,,5,,,4,1
고양시,우경아트홀(k뮤직아카데미),20150128,13,영업중,,,경기도 고양시 덕양구 화신로272번길 11 (화정동),경기도 고양시 덕양구 화정동 984-7번지,,37.6313297,126.8309807,185016.925,458798.77,공연장,공연장,상업지역,1,주택가주변,근린생활시설,1,
고양시,레미어린이극장,20141118,13,영업중,,031-923-5961,"경기도 고양시 일산서구 주엽로 79, 롯데마트빅마켓일산킨텍스점 지하1층 (대화동)",경기도 고양시 일산서구 대화동 1050-171번지 롯데마트빅마켓일산킨텍스점 지하1층호,10391,37.6671045,126.7537358,178207.7985,462784.5877,공연장,공연장,일반상업지역,,기타,근린생활시설,,1
고양시,어울림극장,20040826,13,영업중,,1577-7766,경기도 고양시 덕양구 어울림로 33 (성사동),경기도 고양시 덕양구 성사동 777번지,,37.6488034,126.8336486,185337.8863,460842.4965,공연장,공연장,,,,,,
고양시,활주로7080 공연장,20190320,13,영업중,,,"경기도 고양시 일산동구 무궁화로 31-16, 남정시티프라자 305호 (장항동)",경기도 고양시 일산동구 장항동 733-2번지 남정시티프라자 ,10364,37.6635108,126.7674387,179415.1947,462371.6416,공연장,공연장,,,,근린생활시설,3,
고양시,토당청소년수련관,20031010,13,영업중,,031-970-0031,,경기도 고양시 덕양구 토당동 3-39번지 ,,37.6246658,126.8270993,184738.892,458058.5446,공연장,공연장,자연녹지지역,4,,복지시설,3,1
고양시,통통이소극장(뽀로로파크 킨텍스점),20160830,13,영업중,,1661-6370,"경기도 고양시 일산서구 한류월드로 408 (대화동, 킨텍스 제2전시장 1층)",경기도 고양시 일산서구 대화동 2306번지 킨텍스 제2전시장 1층,10390,37.6705699,126.7438291,177333.8166,463172.2994,공연장,공연장,,1,,,1,
고양시,별모래극장,20040826,13,영업중,,1577-7766,경기도 고양시 덕양구 어울림로 33 (성사동),경기도 고양시 덕양구 성사동 777번지,,37.6488034,126.8336486,185337.8863,460842.4965,공연장,공연장,,,,,,
고양시,아람극장,20070424,13,영업중,,1577-7766,"경기도 고양시 일산동구 중앙로 1286, 고양아람누리 (마두동)",경기도 고양시 일산동구 마두동 816번지 고양아람누리,10409,37.6614346,126.7745965,180046.444,462150.3301,공연장,공연장,,,,,,
고양시,벧엘뮤직홀,20150518,13,영업중,,031-915-4550,경기도 고양시 일산동구 중앙로1261번길 27 (장항동),경기도 고양시 일산동구 장항동 857-2번지,,37.6579345,126.772352,179846.6451,461760.9283,공연장,공연장,근린상업지역,15,기타,문화시설,10,5
고양시,아람음악당,20070424,13,영업중,,1577-7766,"경기도 고양시 일산동구 중앙로 1286, 고양아람누리 (마두동)",경기도 고양시 일산동구 마두동 816번지 고양아람누리,10409,37.6614346,126.7745965,180046.444,462150.3301,공연장,공연장,,,,,,
고양시,새라새극장,20070424,13,영업중,,,"경기도 고양시 일산동구 중앙로 1286, 고양아람누리 (마두동)",경기도 고양시 일산동구 마두동 816번지 고양아람누리,10409,37.6614346,126.7745965,180046.444,462150.3301,공연장,공연장,,,,,,
고양시,꽃메야외극장,20070424,13,영업중,,1577-7766,경기도 고양시 덕양구 어울림로 33 (성사동),경기도 고양시 덕양구 성사동 777번지,,37.6488034,126.8336486,185337.8863,460842.4965,공연장,공연장,,,,,,
고양시,로젠브로이,20050905,35,직권말소,20161109,,"경기도 고양시 일산동구 중앙로1275번길 38-31, A동 301-1호 (장항동,라페스타)",경기도 고양시 일산동구 장항동 766번지 라페스타 A동 301-1호,,37.6604788,126.7696129,179580.3313,462064.2209,공연장,공연장,,,,,,
고양시,하늘소리 소극장,20070807,35,직권말소,20161109,031-902-5021,"경기도 고양시 일산동구 중앙로1261번길 77, 204호 (장항동,한신메트로폴리스)",경기도 고양시 일산동구 장항동 864-2번지 한신메트로폴리스 204호,,37.6571275,126.7697367,179617.3696,461673.3757,공연장,공연장,근린상업지역,,기타,근린생활시설,10,
고양시,리캐스트 공연장,20101118,3,폐업,20140210,,"경기도 고양시 일산동구 중앙로1275번길 38-31, A동 301호 (장항동,라페스타)",경기도 고양시 일산동구 장항동 766번지 라페스타 A동 301호,,37.6604788,126.7696129,179580.3313,462064.2209,공연장,공연장,중심상업지역,6,유흥업소밀집지역,식품위생시설,5,1
고양시,고양시 민방위교육장,20030326,3,폐업,20050418,,경기도 고양시 덕양구 화신로 214  (행신동),경기도 고양시 덕양구 행신동 892번지,,37.6302759,126.8374517,185587.8571,458679.155,공연장,공연장,,,,,,
고양시,롯데시네마 일산14,20070702,3,폐업,20090731,,,"경기도 고양시 일산동구 장항동 771,784,784-1번지",,37.6665641,126.766953,,,공연장,공연장,,,,,,
