"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",백석레저타운,경기도 고양시 일산동구 일산로 46,경기도 고양시 일산동구 백석동 1308,N,10,15,0,0,0,0,10,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6423564,126.787884,2019-01-02
"공중화장실",백석동 대우 IAAN,경기도 고양시 일산동구 강석로 33 (백석동),경기도 고양시 일산동구 백석동 1288,N,2,3,0,0,0,0,2,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.64587684,126.7855262,2019-01-02
"공중화장실",백석도서관,경기도 고양시 일산동구 일산로 118 (백석동),경기도 고양시 일산동구 백석동 1231,N,10,10,0,0,1,0,10,0,1,경기도 고양시 일산동구청,,09:00~18:00,,37.6472752,126.7936579,2019-01-02
"공중화장실",백석배드민턴장,경기도 고양시 일산동구일산로 136,경기도 고양시 일산동구 백석동 1233,N,2,3,0,0,0,0,3,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.64871522,126.7948819,2019-01-02
"공중화장실",백석교통공원,경기도 고양시 일산동구일산로 136,경기도 고양시 일산동구 백석동 1233,Y,0,0,0,0,0,0,0,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.64871522,126.7948819,2019-01-02
"공중화장실",보림빌딩,경기도 고양시 일산동구 장백로 204 (장항동),경기도 고양시 일산동구 장항동 891-4,N,16,8,0,0,0,0,16,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6528619,126.7762137,2019-01-02
"공중화장실",벽제초등학교,경기도 고양시 일산동구 공릉천로 23,경기도 고양시 일산동구 사리현동 122-2,N,8,20,1,1,0,0,25,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.69551206,126.8442758,2019-01-02
"공중화장실",벗나무공원,경기도 고양시 일산동구 숲속마을로 50-88,경기도 고양시 일산동구 풍동 1269,N,1,1,0,0,0,0,1,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6677243216,126.7980625646,2019-01-02
"공중화장실",범진빌딩,경기도 고양시 일산동구 무궁화로 42-38 (장항동),경기도 고양시 일산동구 장항동 775,N,15,10,0,0,0,0,20,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6618132,126.7701348,2019-01-02
"공중화장실",백신초등학교,경기도 고양시 일산동구 강촌로26번길 66 (백석동),경기도 고양시 일산동구 백석동 1428,N,20,27,0,0,7,0,46,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.64426859,126.7811118,2019-01-02
