구분,상호,시/도,시/군,판매업체 주소,대표자,전화번호,등록일
1,미래상사,경기도,고양시,경기도 고양시 덕양구 토담로 162번길 36 제5층 제506호제5층 제506호,정규정,-,2017-05-11
2,그린솔루션,경기도,고양시,경기 고양시 덕양구 서오릉로 855,송정욱,031-968-3693,2013-01-09
3,바우농자재,경기도,고양시,경기 고양시 덕양구 원당로 459번길29-17,손경수,031-965-7789,2008-12-08
4,미성종합자재(주),경기도,고양시,경기 고양시 덕양구 고양대로 1569-1,정종민,031-368-3699,2015-03-12
5,대청그린웍스,경기도,고양시,경기도 고양시 일산서구 산현로 38205호,이효광,031-925-7600,2018-01-16
6,아리유통,경기도,고양시,경기도 고양시 일산서구 구산로135번길 34-30,이승헌,031-923-7243,2017-05-29
7,일산종묘사,경기도,고양시,경기도 고양시 일산서구 고양대로668번길 3일산동,조성훈,031-975-2400,2015-06-26
8,현대조경자재,경기도,고양시,경기도 고양시 덕양구 삼송로 295지축동,석상돈,02-381-3031,2015-02-06
9,태평에이지주식회사,경기도,고양시,경기도 고양시 일산동구 중앙로 1275번길 86-23 청원레이크빌 215호,정준현,031-963-8401,2013-05-10
10,화전농약농자재,경기도,고양시,경기도 고양시 덕양구 화랑로 31,정성윤,02-3158-3800,2012-03-06
11,한아름종묘사,경기도,고양시,경기도 고양시 일산서구 일청로 19-1,여일동,031-976-6843,2012-03-06
12,잔디마당,경기도,고양시,경기도 고양시 일산동구 성현로 659 102호 영진빌딩,정혜경,031-815-5512,2008-06-05
13,벽제농협성석지점,경기도,고양시,경기도 고양시 일산동구 고봉로 620,박영선,031-975-4631,2007-09-06
14,벽제농협고봉지점,경기도,고양시,경기도 고양시 일산동구 성현로 299,박영선,031-964-5921,2012-03-26
15,경기아그로,경기도,고양시,경기도 고양시 일산서구 고양대로662번길 19 1층 103호,정본옥,-,2005-03-24
16,우림종묘사,경기도,고양시,경기도 고양시 일산서구 원일로 85,백진기,031-975-0420,2012-02-21
17,자유로농약농자재,경기도,고양시,경기도 고양시 일산동구 장항로 329 가동 2호,윤영일,031-905-7171,2016-01-18
18,청운온실농자재산업(주),경기도,고양시,경기도 고양시 덕양구 토당로 44,이정희,031-972-1324,2014-07-24
19,현대농약사,경기도,고양시,경기도 고양시 일산동구 장항로 50,유용희,031-908-2187,2014-02-19
20,모범농자재,경기도,고양시,경기도 고양시 덕양구 토당로 66-29,신우철,031-972-7070,2012-06-04
21,벽제농약사,경기도,고양시,경기도 고양시 덕양구 통일로 771번길 16-6,황임선,031-962-8210,2012-02-21
22,경농사,경기도,고양시,경기도 고양시  덕양구 유산길 5,김현기,031-963-1665,2016-01-18
23,고양농자재상사,경기도,고양시,경기도 고양시  덕양구 토당로 8,김승빈,031-971-0172,1996-02-12
24,벽제농협고양지점,경기도,고양시,경기도 고양시  덕양구 혜음로 44,박영선,031-964-1496,2014-03-10
25,벽제농협경제사업소,경기도,고양시,경기도 고양시  덕양구 성현로 682,박영선,031-964-2314,2007-11-21
26,송포농협경제사업소,경기도,고양시,경기도 고양시  일산서구 송산로266번길 350,임용식,031-919-9780,2015-03-05
27,신도농협경제사업소,경기도,고양시,경기도 고양시  덕양구 용두로121번길 179,김한모,02-388-1438,2010-04-30
28,신도농협화전지점,경기도,고양시,경기도 고양시  덕양구 화랑로 22-1,원명복,02-3158-3191,2005-03-10
29,원당농협원당역지점,경기도,고양시,경기도 고양시  덕양구 고양대로 1445-15,강효희,031-965-5973,2015-04-22
30,일산농협영농지원센터,경기도,고양시,경기도 고양시  일산동구 호수로 256-169,김진의,031-907-0252,2015-04-27
31,지도농업협동조합,경기도,고양시,경기도 고양시 덕양구 토당로 75지도농업협동조합,장순복,031-974-7591,2015-04-20
32,원당상회,경기도,고양시,경기도 고양시  덕양구 원당로 51,박춘근,031-962-6483,2014-03-26
33,영광종묘농약사,경기도,고양시,경기도 고양시  덕양구 삼송로205번길 30-9,장덕수,02-381-9440,2011-05-13
34,농민상회,경기도,고양시,경기도 고양시  덕양구 화랑로 47,최순옥,02-3158-4177,2015-02-11
35,중앙종묘사,경기도,고양시,경기도 고양시 덕양구 삼송로 168,조규원,02-381-7932,2012-02-21
