도서관명,동,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
가좌도서관,가좌동,고양시 일산서구,공공도서관,2+4번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,122,41375,117,685,7,14,경기도 고양시 일산서구 가좌3로 16(가좌동),경기도 고양시청,031-8075-9380,1622,4159.54,http://www.goyanglib.or.kr,37.687034,126.719851,2019-11-05
강촌공원작은도서관,마두동,고양시 일산동구,작은도서관,월요일+일요일+법정공휴일,10:00,19:00,10:00,19:00,0:00,0:00,0,5118,0,0,3,14,경기도 고양시 일산동구 강석로 132-1,경기도 고양시청,031-901-6957,21,21,http://www.goyanglib.or.kr,37.653332,126.781081,2019-11-05
고양 포돌이 안전도서관,화정동,고양시 덕양구,작은도서관,월요일+일요일+법정공휴일,10:00,19:00,10:00,19:00,0:00,0:00,0,7521,0,75,3,14,경기도 고양시 덕양구 화중로 12,경기도 고양시청,031-971-2589,137,137,http://www.goyanglib.or.kr,37.628636,126.827599,2019-11-05
고양윤창작은도서관,고양동,고양시 덕양구,작은도서관,1+3+5주 토요일+일요일+법정공휴일+매월 첫째주 월요일,9:30,17:30,9:30,14:00,0:00,0:00,0,11540,0,0,5,14,경기도 고양시 덕양구 동헌로 398-17,경기도 고양시 고양동 윤창아파트 입주자대표회의,070-8843-9633,110,110,http://www.goyanglib.or.kr,37.705803,126.894709,2019-11-05
고양작은도서관,고양동,고양시 덕양구,작은도서관,2+4+5주 토요일+일요일+법정공휴일+매월 둘째주 월요일,10:00,18:00,10:00,18:00,0:00,0:00,0,23992,0,55,3,14,경기도 고양시 덕양구 혜음로 19-11,경기도 고양시 고양동 주민자치위원회,031-963-4321,172,172,http://www.goyanglib.or.kr,37.702518,126.901195,2019-11-05
관산작은도서관,관산동,고양시 덕양구,작은도서관,토요일+일요일+법정공휴일+매월 셋째주 월요일,9:00,18:00,0:00,0:00,0:00,0:00,0,26818,0,17,3,14,경기도 고양시 덕양구 통일로 789,경기도 고양시 관산동 주민자치위원회,031-962-1969,198,198,http://www.goyanglib.or.kr,37.688013,126.862536,2019-11-05
대덕작은도서관,대덕동,고양시 덕양구,작은도서관,토요일+일요일+법정공휴일,9:00,18:00,0:00,0:00,0:00,0:00,0,8603,0,109,4,14,경기도 고양시 덕양구 덕은로 34,경기도 고양시 대덕동 주민자치위원회,070-4260-8805,118,118,http://www.goyanglib.or.kr,37.587101,126.876666,2019-11-05
대화도서관,대화동,고양시 일산서구,공공도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,190,138412,148,2017,7,14,경기도 고양시 일산서구 일산로 689,경기도 고양시청,031-8075-9130,3944,3901.82,http://www.goyanglib.or.kr,37.681022,126.753942,2019-11-05
대화마을작은도서관,대화동,고양시 일산서구,작은도서관,월요일+일요일+법정공휴일,10:00,19:00,10:00,18:00,0:00,0:00,0,18448,0,85,3,14,경기도 고양시 일산서구 대화1로 61,경기도 고양시 일신건영휴먼빌 입주자대표회의,031-924-0467,99,99,http://www.goyanglib.or.kr,37.672884,126.735397,2019-11-05
덕이도서관,덕이동,고양시 일산서구,공공도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,168,64790,121,1485,7,14,경기도 고양시 일산서구 하이파크로 128,경기도 고양시청,031-8075-9320,45821.6,2956.88,http://www.goyanglib.or.kr,37.702949,126.754554,2019-11-05
