"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41281-00001,벽제,어린이공원,경기도 고양시 덕양구 고양동 1131,경기도 고양시 덕양구 고양동 1131,37.7149340445,126.9031087459,2039,,조합놀이대 등,,,,1998-09-18,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00002,수변공원(고양2일단),수변공원,경기도 고양시 덕양구 고양동 1-5,경기도 고양시 덕양구 고양동 1-5,37.70743661,126.9033373,2516,,,,,,2013-02-26,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00003,고양,근린공원,경기도 고양시 덕양구 고양동 30,경기도 고양시 덕양구 고양동 30,37.7053095184,126.9003604552,33344,다목적운동장+실내배드민턴장+체력단련시설,,,,,1977-01-27,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00004,고양제1,어린이공원,경기도 고양시 덕양구 고양동 328,경기도 고양시 덕양구 고양동 328,37.70462893,126.8968093,2234,,그네 등,,,,1988-04-06,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00005,소공원338,소공원,경기도 고양시 덕양구 동헌로 473,경기도 고양시 덕양구 고양동 527,37.7071807055,126.9044233811,800,,,,,,2015-07-21,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00006,소공원337,소공원,경기도 고양시 덕양구 고양동 557,경기도 고양시 덕양구 고양동 557,37.70885253,126.9050251,408,,,,,,2012-02-26,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00007,벽제2,어린이공원,경기도 고양시 덕양구 고양동 729,경기도 고양시 덕양구 고양동 729,37.7112675465,126.9035549104,2461,,조합놀이대 등,,,,2001-04-09,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00008,어린이공원2(도담)(원흥보금자리),어린이공원,경기도 고양시 덕양구 도내동 1038,경기도 고양시 덕양구 도내동 1038,37.6299122417,126.8718459,2633,,조합놀이대 등,,,,2010-12-21,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00001,가좌,근린공원,경기도 고양시 일산서구 송산로 387-7,경기도 고양시 일산서구 가좌동 1098,37.6861974108,126.7216817417,50155,게이트볼장+실내배드민턴장+체력단련시설,조합놀이대 등 4종 6개,,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00047,강선,근린공원,경기도 고양시 일산서구 강성로 124,경기도 고양시 일산서구 주엽동 78,37.6711710099,126.7620627599,34384,다목적운동장+체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
