연번,시설명,위 치,연면적(㎡),이용현황,비 고
1,관산14통 마을회관,경기도 고양시 덕양구 통일로966번길 56,,,
2,관산19통 마을회관,경기도 고양시 덕양구 고골길11번길 19,,,
3,관산20통 마을회관,경기도 고양시 덕양구 통일로1154번길 23-5,,,
4,관산21통 마을회관,경기도 고양시 덕양구 내유길83번길 3,,,
5,관산30통 마을회관,경기도 고양시 덕양구 유산길37번길 41,,,
6,관산24통 마을회관,경기도 고양시 덕양구 고골길264번길3-8,,,
7,관산25통 마을회관,경기도 고양시 덕양구 성령길5,,,
8,창릉1통 마을회관,경기도 고양시 덕양구 고양대로1978번길12,,,
9,창릉2통 마을회관,경기도 고양시 덕양구 고양대로1940번길62,,,
10,창릉5통 마을회관,경기도 고양시 덕양구 화랑로332번길16-4,,,
11,창릉6통 마을회관,경기도 고양시 덕양구 용두로47번길36,,,
12,창릉7통 마을회관,경기도 고양시 덕양구 용두로47번안길79,,,
13,화전5통 마을회관,경기도 고양시 덕양구 중앙로176번길12,,,
14,화전6~8통 마을회관,경기도 고양시 덕양구 화랑로90-2,,,
15,화전9통 마을회관,경기도 고양시 덕양구 화랑로165번길51-7,,,
16,화전12통 마을회관,경기도 고양시 덕양구 중앙로46번길14,,,
17,화전13통마을회관,경기도 고양시 덕양구 중앙로 62번길 68-10,198.4,"덕양행신복지관 거점센터, 경로당",
18,신도1통 마을회관,경기도 고양시 덕양구 삼송로 221번길 34,,,
19,신도3통 마을회관,경기도 고양시 덕양구 큰골길107-1,,,
20,"신도4,5통 마을회관",경기도 고양시 덕양구 삼송로205번길32,,,
21,"신도6,7통 마을회관",경기도 고양시 덕양구 삼송로136번길76,,,
22,행주1통 마을회관,경기도 고양시 덕양구 토당로104번길59-6,,,
23,"행주3,4,5통 마을회관",경기도 고양시 덕양구 지도로35번길16,,,
24,행주내동14통 마을회관,경기도 고양시 덕양구 행주로15번길49,,,
25,행주내동15통 마을회관,경기도 고양시 덕양구 행주로99번길46-24,,,
26,행주외동16통 마을회관,경기도 고양시 덕양구 행주산성로144번길36,,,
27,행주외동17통 마을회관,경기도 고양시 덕양구 행주산성로116번길51-15,,,
28,행신6통 마을회관,경기도 고양시 덕양구 행신로131-5,,,
29,행신25통 마을회관,경기도 고양시 덕양구 행신로291번길5,,,
30,행신27통 마을회관,경기도 고양시 덕양구 강매로254-3,,,
31,행신28통 마을회관,경기도 고양시 덕양구 강매로124-10,,,
32,효자2통 마을회관,경기도 고양시 덕양구 북한산로618번길8-5,,,
33,효자1통 마을회관,경기도 고양시 덕양구 북한산로387번길1,,,
34,효자4통 마을회관,경기도 고양시 덕양구 흥국사길24,,,
35,성사8통 마을회관,경기도 고양시 덕양구 호국로916-11,,,
36,흥도1통 마을회관,경기도 고양시 덕양구 흥도로417번길27-12,,,
37,흥도2통 마을회관,경기도 고양시 덕양구 흥도로454번길25,,,
38,흥도4통 마을회관,경기도 고양시 덕양구 고양대로1730번길77-3,,,
39,흥도9통 마을회관,경기도 고양시 덕양구 흥도로178번길114,,,
40,흥도10통 마을회관,경기도 고양시 덕양구 서정로80-1,,,
41,"능곡1,2,3,6통 마을회관",경기도 고양시 덕양구 토당로 104번길 18,255.6,"고양노인보호센터, 고양시카네이션하우스",
42,능곡11통 마을회관,경기도 고양시 덕양구 양곡1길353,,,
43,능곡13통 마을회관,경기도 고양시 덕양구 내곡길70번길3,,,
44,능곡14통 마을회관,경기도 고양시 덕양구 내곡길139-9,,,
45,능곡15통 마을회관,경기도 고양시 덕양구 대장길78-9,,,
46,능곡16통 마을회관,경기도 고양시 덕양구 대장길50번길57-3,,,
47,능곡17통 마을회관,경기도 고양시 덕양구 대주로107번길2,,,
48,능곡18통 마을회관,경기도 고양시 덕양구 신평길166,,,
49,능곡21통 마을회관,경기도 고양시 덕양구 호수로223-8,,,
