"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"고봉동주민센터",민원실+2층 북카페 및 회의실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 성현로 397-18,경기도 고양시 일산동구 문봉동 57-4,경기도 고양시 일산동구청,031-8075-6062,37.70191039,126.827135,2019-11-12
"고양동주민센터","민원실+2층 복도 (문화관람실,소모임방 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 벽제관로 5,경기도 고양시 덕양구 고양동 195-1,경기도 고양시 덕양구청,031-8075-5062,37.703353,126.903748,2019-11-12
"관산동주민센터","민원실+2층 복도 (작은도서관, 회의실 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 통일로 789,경기도 고양시 덕양구 관산동 238-1,경기도 고양시 덕양구청,031-8075-5062,37.68801341,126.862508,2019-11-12
"능곡동주민센터","민원실+3층 복도 (영어교실, 마음쉼터 등) + 4층",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 덕양구 토당로 83,경기도 고양시 덕양구 토당동 335-4,경기도 고양시 덕양구청,031-8075-5062,37.622621,126.8180348,2019-11-12
"대덕동주민센터",민원실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 덕은로 60-22,경기도 고양시 덕양구 덕은동 191-5,경기도 고양시 덕양구청,031-8075-5062,37.58555307,126.875138,2019-11-12
"대화동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산서구 일산로 668,경기도 고양시 일산서구 대화동 2035,경기도 고양시 일산서구청,031-8075-7062,37.682952,126.7551233,2019-11-12
"마두1동주민센터",민원실+2층 주민자치위원회실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 일산로 218,경기도 고양시 일산동구 마두동 727,경기도 고양시 일산동구청,031-8075-6062,37.65581694,126.789718,2019-11-12
"마두2동주민센터",민원실+2층 문화강좌실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 강송로 166,경기도 고양시 일산동구 마두동 782,경기도 고양시 일산동구청,031-8075-6062,37.653576,126.784421,2019-11-12
"백석1동주민센터",민원실+2층 문화관람실 및 주민사랑방,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 일산로 145,경기도 고양시 일산동구 백석동 1147,경기도 고양시 일산동구청,031-8075-6062,37.649673,126.792491,2019-11-12
"백석2동주민센터",민원실+4층 주민자치실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 장백로 72,경기도 고양시 일산동구 백석동 1331-1,경기도 고양시 일산동구청,031-8075-6062,37.64391264,126.7854956,2019-11-12
"성사1동주민센터",민원실+2층 회의실 + 1층 복도,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 덕양구 호국로790번길 101,경기도 고양시 덕양구 성사동 408-1,경기도 고양시 덕양구청,031-8075-5062,37.65451005,126.8413607,2019-11-12
"성사2동주민센터",민원실+2층 대회의 및 소회의실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 호국로742번길 6-6,경기도 고양시 덕양구 성사동 734-1,경기도 고양시 덕양구청,031-8075-5062,37.652921,126.832924,2019-11-12
"송산동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산서구 덕이로 50-7,경기도 고양시 일산서구 덕이동 446-9,경기도 고양시 일산서구청,031-8075-7062,37.69090808,126.7542899637,2019-11-12
"송포동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산서구 대화로 143,경기도 고양시 일산서구 대화동 767-2,경기도 고양시 일산서구청,031-8075-7062,37.67142426,126.7354521,2019-11-12
"식사동주민센터",민원실+1층 주민커뮤니티실 및 북카페 + 3층 + 4층,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 일산동구 위시티2로11번길 22-21,경기도 고양시 일산동구 식사동 1536,경기도 고양시 일산동구청,031-8075-6062,37.677341,126.813707,2019-11-12
"삼송동주민센터",민원실+주민자치커뮤니티룸,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 신도길 8-5,경기도 고양시 덕양구 삼송동 143-1,경기도 고양시 덕양구청,031-8075-5062,37.6523886918,126.8939729951,2019-11-12
"원신동주민센터",민원실+2층 대회의실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 호국로 1261,경기도 고양시 덕양구 신원동 437-25,경기도 고양시 덕양구청,031-8075-5062,37.677353,126.8758545,2019-11-12
