업종,상호명,영업소도로명소재지,전화번호
노래연습장업,팡팡노래연습장,경기도 고양시 일산서구 일청로36번길 5-4 (일산동),031-907-7131
노래연습장업,호노래연습장,경기도 고양시 일산서구 원일로 82-1 (일산동),
노래연습장업,허브,경기도 고양시 덕양구 통일로770번길 5 (관산동),031-962-0550
노래연습장업,갈채,"경기도 고양시 덕양구 원당로59번길 3-5, 2층 (주교동)",031-968-4154
노래연습장업,스타,경기도 고양시 덕양구 통일로770번길 9  (관산동),031-962-3684
노래연습장업,원당,"경기도 고양시 덕양구 고양시청로 24, 지층호 (주교동)",031-966-6630
노래연습장업,상하이 노래연습장,"경기도 고양시 일산서구 원일로74번길 14, 2층 (일산동)",975-3542
노래연습장업,돌노래연습장,경기도 고양시 일산동구 고양대로1037번길 11-1  (식사동),
노래연습장업,싸이,"경기도 고양시 덕양구 마상로154번길 14, 2층호 (성사동, 동일빌딩)",031-968-7668
노래연습장업,토당,"경기도 고양시 덕양구 지도로14번길 4,  지층호 (토당동)",031-973-0723
노래연습장업,SBS,"경기도 고양시 덕양구 통일로 765, 지하층 (관산동)",031-962-8036
노래연습장업,쟁반 노래연습장,경기도 고양시 일산서구 일중로 90-1 (일산동),
노래연습장업,훼미리 노래연습장,"경기도 고양시 일산서구 중앙로 1391 (주엽동, 강선마을상가동 지하1층 제에스111호,112호,113호)",
노래연습장업,K2 노래연습장,"경기도 고양시 일산동구 강송로 169, 한주프라자 지하23호 (마두동)",
노래연습장업,백마노래방,경기도 고양시 일산동구 일산로 207  (마두동),
노래연습장업,밀레니엄 노래연습장,경기도 고양시 일산동구 일산로 213  (마두동),
노래연습장업,현대식,"경기도 고양시 덕양구 지도로104번길 10 (토당동,지하1층)",031-971-0669
노래연습장업,팝콘,경기도 고양시 덕양구 호국로790번길 42-4 (성사동),031-965-2784
노래연습장업,훈이네,"경기도 고양시 덕양구 마상로134번길 72, 지층호 (주교동)",031-913-1591
노래연습장업,동네방네,"경기도 고양시 덕양구 고양대로1369번길 25, 지층호 (성사동)",031-965-8121
노래연습장업,엑스포,경기도 고양시 덕양구 호국로790번길 42-8  (성사동),031-966-7747
노래연습장업,두꺼비,"경기도 고양시 덕양구 고양시청로 6, 지층 (주교동)",031-967-9613
노래연습장업,춘향,"경기도 고양시 덕양구 호국로790번길 27  (성사동,지층)",031-965-2341
노래연습장업,오빠노래연습장,"경기도 고양시 덕양구 행신로 155-9, 지층 (행신동, 대덕빌딩)",031-972-2300
노래연습장업,따봉,"경기도 고양시 덕양구 고양대로1369번길 12-11 (성사동,지층)",031-965-0898
노래연습장업,필,"경기도 고양시 덕양구 지도로 56,  지층호 (토당동)",031-971-1834
노래연습장업,화전,"경기도 고양시 덕양구 화랑로 43-1,  지층호 (화전동)",02-3158-3939
노래연습장업,싸이노래연습장,"경기도 고양시 덕양구 혜음로 40 (고양동, 지층)",
노래연습장업,리치노래연습장,경기도 고양시 일산서구 일청로 41 (일산동),976-7242
노래연습장업,핑크 노래연습장,"경기도 고양시 일산서구 일산로 542, 용신프라자 지하1층 05호 (일산동)",031-919-1317
노래연습장업,와 노래연습장,"경기도 고양시 일산서구 탄현로 18, 지층 (탄현동)",921-0272
노래연습장업,썬노래연습장,"경기도 고양시 일산서구 강선로 152 (일산동, 두레빌딩)",
노래연습장업,채플린 노래연습장,"경기도 고양시 일산서구 대산로 117, 비104호 (주엽동, 강선프라자)",031-917-3182
노래연습장업,큐 노래연습장,경기도 고양시 일산서구 일중로 66-2 (일산동),
노래연습장업,세븐 노래연습장,경기도 고양시 일산동구 백석로108번길 11  (백석동),
노래연습장업,동큐 노래연습장,"경기도 고양시 일산동구 탄중로425번길 3, 지층호 (중산동)",
노래연습장업,오렌지노래연습장,경기도 고양시 일산서구 강성로232번길 8-10 (대화동),
노래연습장업,황금노래방,경기도 고양시 일산동구 무궁화로181번길 28 (정발산동),
노래연습장업,오렌지 노래연습장,"경기도 고양시 일산동구 무궁화로75번길 42, 지층 (정발산동)",
노래연습장업,그린,경기도 고양시 덕양구 지도로 113  (토당동),031-974-9861
노래연습장업,떳다,"경기도 고양시 덕양구 고양시청로 24-8 (주교동,지층)",031-965-8848
노래연습장업,꼭지노래연습장,"경기도 고양시 덕양구 충경로 49 (행신동,지층)",031-970-3971
노래연습장업,투투,"경기도 고양시 덕양구 화중로152번길 6-8, 지층호 (화정동)",031-967-2279
노래연습장업,비타민 노래연습장,"경기도 고양시 일산동구 중산로 249, 1,2호 (중산동,지하)",
노래연습장업,초가집노래방,경기도 고양시 일산동구 일산로394번길 5-1  (정발산동),
노래연습장업,둘리노래연습장,"경기도 고양시 일산서구 강선로 59, 비101호 (주엽동, 동신파크)",
노래연습장업,쿵쿵따 노래연습장,경기도 고양시 일산서구 대산로212번길 8-2 (대화동),915-3331
노래연습장업,박하 노래연습장,"경기도 고양시 일산서구 대산로211번길 16-8, 지층 (대화동)",
노래연습장업,특급노래방,"경기도 고양시 일산동구 약산길 1 (중산동,동양빌딩 지층)",975-0030
노래연습장업,세븐스타코인노래연습장 일산탄현점,"경기도 고양시 일산서구 일현로 119, 지층 (탄현동)",
노래연습장업,킹노래연습장,"경기도 고양시 일산서구 주화로 70 (주엽동, 일산우신프라자빌딩 비102,103호)",
