지역,월,일시,시간,승차,하차,전체
경기도 고양시 덕양구 주교동,1,평일,05시~06시,83 ,22 ,105 
경기도 고양시 덕양구 주교동,1,평일,06시~07시,269 ,76 ,345 
경기도 고양시 덕양구 주교동,1,평일,07시~08시,592 ,137 ,729 
경기도 고양시 덕양구 주교동,1,평일,08시~09시,603 ,290 ,893 
경기도 고양시 덕양구 주교동,1,평일,09시~10시,403 ,164 ,567 
경기도 고양시 덕양구 주교동,1,평일,10시~11시,268 ,172 ,440 
경기도 고양시 덕양구 주교동,1,평일,11시~12시,308 ,157 ,465 
경기도 고양시 덕양구 주교동,1,평일,12시~13시,249 ,181 ,430 
경기도 고양시 덕양구 주교동,1,평일,13시~14시,278 ,221 ,499 
경기도 고양시 덕양구 주교동,1,평일,14시~15시,256 ,204 ,460 
경기도 고양시 덕양구 주교동,1,평일,15시~16시,243 ,300 ,543 
경기도 고양시 덕양구 주교동,1,평일,16시~17시,226 ,307 ,533 
경기도 고양시 덕양구 주교동,1,평일,17시~18시,234 ,369 ,603 
경기도 고양시 덕양구 주교동,1,평일,18시~19시,323 ,406 ,729 
경기도 고양시 덕양구 주교동,1,평일,19시~20시,124 ,411 ,535 
경기도 고양시 덕양구 주교동,1,평일,20시~21시,90 ,257 ,347 
경기도 고양시 덕양구 주교동,1,평일,21시~22시,94 ,209 ,303 
경기도 고양시 덕양구 주교동,1,평일,22시~23시,37 ,197 ,234 
경기도 고양시 덕양구 주교동,1,평일,23시~24시,31 ,116 ,147 
경기도 고양시 덕양구 주교동,1,평일,00시~01시,2 ,7 ,9 
경기도 고양시 덕양구 주교동,1,평일,주간,3983 ,2908 ,6891 
경기도 고양시 덕양구 주교동,1,평일,전일,4713 ,4203 ,8916 
경기도 고양시 덕양구 주교동,1,주말,05시~06시,71 ,18 ,89 
경기도 고양시 덕양구 주교동,1,주말,06시~07시,125 ,65 ,190 
경기도 고양시 덕양구 주교동,1,주말,07시~08시,206 ,72 ,278 
경기도 고양시 덕양구 주교동,1,주말,08시~09시,299 ,117 ,416 
경기도 고양시 덕양구 주교동,1,주말,09시~10시,381 ,116 ,497 
경기도 고양시 덕양구 주교동,1,주말,10시~11시,305 ,109 ,414 
경기도 고양시 덕양구 주교동,1,주말,11시~12시,312 ,152 ,464 
경기도 고양시 덕양구 주교동,1,주말,12시~13시,292 ,162 ,454 
경기도 고양시 덕양구 주교동,1,주말,13시~14시,265 ,185 ,450 
경기도 고양시 덕양구 주교동,1,주말,14시~15시,246 ,198 ,444 
경기도 고양시 덕양구 주교동,1,주말,15시~16시,187 ,219 ,406 
경기도 고양시 덕양구 주교동,1,주말,16시~17시,204 ,232 ,436 
경기도 고양시 덕양구 주교동,1,주말,17시~18시,206 ,275 ,481 
경기도 고양시 덕양구 주교동,1,주말,18시~19시,186 ,295 ,481 
경기도 고양시 덕양구 주교동,1,주말,19시~20시,130 ,253 ,383 
경기도 고양시 덕양구 주교동,1,주말,20시~21시,62 ,235 ,297 
경기도 고양시 덕양구 주교동,1,주말,21시~22시,105 ,198 ,303 
경기도 고양시 덕양구 주교동,1,주말,22시~23시,55 ,191 ,246 
경기도 고양시 덕양구 주교동,1,주말,23시~24시,12 ,95 ,107 
경기도 고양시 덕양구 주교동,1,주말,00시~01시,6 ,4 ,10 
경기도 고양시 덕양구 주교동,1,주말,주간,3089 ,2132 ,5221 
경기도 고양시 덕양구 주교동,1,주말,전일,3655 ,3191 ,6846 
경기도 고양시 덕양구 원신동,1,평일,01시~02시,1 ,9 ,10 
경기도 고양시 덕양구 원신동,1,평일,04시~05시,15 ,4 ,19 
경기도 고양시 덕양구 원신동,1,평일,05시~06시,85 ,15 ,100 
경기도 고양시 덕양구 원신동,1,평일,06시~07시,286 ,87 ,373 
경기도 고양시 덕양구 원신동,1,평일,07시~08시,760 ,163 ,923 
경기도 고양시 덕양구 원신동,1,평일,08시~09시,734 ,293 ,1027 
경기도 고양시 덕양구 원신동,1,평일,09시~10시,395 ,261 ,656 
경기도 고양시 덕양구 원신동,1,평일,10시~11시,284 ,171 ,455 
경기도 고양시 덕양구 원신동,1,평일,11시~12시,240 ,161 ,401 
경기도 고양시 덕양구 원신동,1,평일,12시~13시,266 ,193 ,459 
경기도 고양시 덕양구 원신동,1,평일,13시~14시,250 ,217 ,467 
경기도 고양시 덕양구 원신동,1,평일,14시~15시,216 ,222 ,438 
경기도 고양시 덕양구 원신동,1,평일,15시~16시,240 ,281 ,521 
경기도 고양시 덕양구 원신동,1,평일,16시~17시,293 ,342 ,635 
경기도 고양시 덕양구 원신동,1,평일,17시~18시,286 ,362 ,648 
경기도 고양시 덕양구 원신동,1,평일,18시~19시,336 ,603 ,939 
경기도 고양시 덕양구 원신동,1,평일,19시~20시,257 ,647 ,904 
경기도 고양시 덕양구 원신동,1,평일,20시~21시,198 ,425 ,623 
경기도 고양시 덕양구 원신동,1,평일,21시~22시,184 ,329 ,513 
경기도 고양시 덕양구 원신동,1,평일,22시~23시,160 ,337 ,497 
경기도 고양시 덕양구 원신동,1,평일,23시~24시,65 ,214 ,279 
경기도 고양시 덕양구 원신동,1,평일,00시~01시,21 ,56 ,77 
경기도 고양시 덕양구 원신동,1,평일,주간,4300 ,3269 ,7569 
경기도 고양시 덕양구 원신동,1,평일,전일,5572 ,5392 ,10964 
경기도 고양시 덕양구 원신동,1,주말,01시~02시,5 ,9 ,14 
경기도 고양시 덕양구 원신동,1,주말,04시~05시,12 ,3 ,15 
경기도 고양시 덕양구 원신동,1,주말,05시~06시,48 ,6 ,54 
경기도 고양시 덕양구 원신동,1,주말,06시~07시,108 ,57 ,165 
경기도 고양시 덕양구 원신동,1,주말,07시~08시,198 ,100 ,298 
경기도 고양시 덕양구 원신동,1,주말,08시~09시,315 ,217 ,532 
경기도 고양시 덕양구 원신동,1,주말,09시~10시,308 ,195 ,503 
경기도 고양시 덕양구 원신동,1,주말,10시~11시,278 ,172 ,450 
경기도 고양시 덕양구 원신동,1,주말,11시~12시,312 ,171 ,483 
경기도 고양시 덕양구 원신동,1,주말,12시~13시,393 ,201 ,594 
경기도 고양시 덕양구 원신동,1,주말,13시~14시,297 ,225 ,522 
경기도 고양시 덕양구 원신동,1,주말,14시~15시,309 ,232 ,541 
경기도 고양시 덕양구 원신동,1,주말,15시~16시,288 ,236 ,524 
경기도 고양시 덕양구 원신동,1,주말,16시~17시,277 ,281 ,558 
경기도 고양시 덕양구 원신동,1,주말,17시~18시,285 ,356 ,641 
경기도 고양시 덕양구 원신동,1,주말,18시~19시,269 ,360 ,629 
