연번,버스정류장표준ID,정류소번호,정류장명,경유노선
1,218000001,19309,고개,"313(시내),313-1(시내),333(시내)"
2,218000002,19307,고개,"313(시내),313-1(시내),333(시내)"
3,218000003,19057,양조장입구,"11(시내),567(시내),999(시내),097(마을),098(마을),099(마을),771(서울),7728(서울),9703(서울)"
4,218000004,19030,원당중학교,"11(시내),567(시내),999(시내),097(마을),098(마을),099(마을),771(서울),7728(서울),9703(서울)"
5,218000005,19031,원당중학교,"11(시내),567(시내),999(시내),097(마을),098(마을),099(마을),771(서울),7728(서울),9703(서울)"
6,218000006,19032,맨돌,"108(시내),1082(시내),85-1(시내),870(시내),921(시내),011(마을),9707(서울)"
7,218000007,19028,능곡화원,"108(시내),1082(시내),150(시내),85(시내),85-1(시내),870(시내),921(시내),011(마을),9707(서울)"
8,218000008,19044,행주동행정복지센터.능곡전화국,"108(시내),85-1(시내),921(시내),9600(시내),060(마을)"
9,218000009,19042,능곡고교,"108(시내),82(시내),85-1(시내),921(시내),011(마을),065(마을)"
10,218000010,19045,별빛공원,"108(시내),921(시내),072(마을)"
11,218000011,19060,은빛마을6단지,"108(시내),921(시내),072(마을)"
12,218000012,19007,대곡역(중),"108(시내),2000(시내),56(시내),66(시내),72(시내),77(시내),871(시내),921(시내),95(시내),97(시내),9700(시내),700(서울),7727(서울),773(서울),9701(서울)"
13,218000013,19061,고양경찰서앞.고양어린이박물관,"108(시내),3200(시내),82(시내),850(시내),85-1(시내),921(시내),95(시내),9600(시내),011(마을),029B(마을),030(마을),031(마을),060(마을),065(마을),771(서울),773(서울),9701(서울)"
14,218000014,19067,별빛마을8단지.롯데마트,"108(시내),1082(시내),11(시내),1900(시내),3200(시내),82(시내),850(시내),85-1(시내),921(시내),95(시내),9600(시내),011(마을),029B(마을),030(마을),031(마을),060(마을),065(마을),771(서울),773(서울),9701(서울)"
15,218000015,57107,고양아쿠아스튜디오,094(마을)
16,218000016,19047,능곡중학교,"108(시내),82(시내),85-1(시내),921(시내),9600(시내),065(마을)"
17,218000017,19048,능곡중학교,"108(시내),82(시내),85-1(시내),921(시내),9600(시내),065(마을)"
18,218000018,19035,능곡병원,"108(시내),82(시내),85-1(시내),921(시내),9600(시내),011(마을),065(마을)"
19,218000019,19064,화정역.롯데마트,"108(시내),1082(시내),11(시내),1900(시내),3200(시내),82(시내),850(시내),85-1(시내),921(시내),95(시내),9600(시내),011(마을),020(마을),021(마을),023(마을),029B(마을),030(마을),031(마을),032(마을),060(마을),065(마을),771(서울),773(서울),9701(서울)"
20,218000020,19063,고양경찰서앞.고양어린이박물관,"108(시내),3200(시내),82(시내),850(시내),85-1(시내),921(시내),95(시내),9600(시내),011(마을),029B(마을),030(마을),060(마을),065(마을),771(서울),773(서울),9701(서울)"
21,218000021,19133,내유동,"17(시내),30(시내),31(시내),38(시내),799(시내),9710(시내),9710-1(시내),9709(서울)"
22,218000022,19143,윗내유동.희망양로원,"100(시내),1082(시내),17(시내),30(시내),31(시내),38(시내),799(시내),82(시내),9710(시내),9710-1(시내),026(마을),036(마을),088(마을),N005(마을),9709(서울)"
23,218000023,19150,내유초등학교앞,"100(시내),1082(시내),17(시내),30(시내),31(시내),38(시내),799(시내),82(시내),9710(시내),9710-1(시내),026(마을),036(마을),088(마을),N005(마을),9709(서울)"
24,218000024,19156,서울시립고양병원입구,"100(시내),1082(시내),17(시내),30(시내),31(시내),38(시내),799(시내),82(시내),9710(시내),9710-1(시내),026(마을),036(마을),088(마을),N005(마을),9709(서울)"
25,218000025,19162,고골입구,"100(시내),1082(시내),17(시내),30(시내),31(시내),38(시내),799(시내),82(시내),9710(시내),9710-1(시내),025(마을),026(마을),036(마을),088(마을),N005(마을),9709(서울)"
26,218000026,19170,가장동,"100(시내),1082(시내),17(시내),30(시내),31(시내),38(시내),799(시내),82(시내),9710(시내),9710-1(시내),025(마을),026(마을),036(마을),088(마을),N005(마을),9709(서울)"
27,218000027,19171,두포동.관산동성당,"100(시내),1082(시내),17(시내),30(시내),31(시내),38(시내),799(시내),82(시내),9710(시내),9710-1(시내),025(마을),026(마을),036(마을),054(마을),088(마을),9709(서울)"
28,218000028,19169,관산삼거리,"100(시내),1082(시내),17(시내),30(시내),31(시내),38(시내),799(시내),82(시내),9710(시내),9710-1(시내),025(마을),026(마을),036(마을),054(마을),088(마을),9709(서울)"
29,218000029,19174,고양외고.고양제일중학교,"100(시내),17(시내),30(시내),31(시내),38(시내),52(시내),55(시내),799(시내),82(시내),85(시내),85-1(시내),9710(시내),9710-1(시내),025(마을),026(마을),036(마을),037(마을),050(마을),054(마을),088(마을),9709(서울)"
