순번,구분,등록일,사무소명칭,관할구역
1,개설,1989-10-20,삼화부동산중개사무소,덕양구
2,개설,1987-07-16,고려 공인중개사사무소,덕양구
3,개설,1990-07-13,자연 공인중개사사무소,덕양구
4,개설,1991-06-10,송죽 중개인사무소,덕양구
5,개설,1993-07-10,서정 공인중개사사무소,덕양구
6,개설,1996-03-18,국토 공인중개사사무소,덕양구
7,개설,1996-07-08,대림 공인중개사사무소,덕양구
8,개설,1997-05-12,부동산랜드다물 공인중개사사무소,덕양구
9,개설,1998-05-28,옥빛 공인중개사사무소,덕양구
10,개설,1998-05-29,서울e편한 공인중개사사무소,덕양구
11,개설,1998-08-10,아파트랜드 공인중개사사무소,덕양구
12,개설,1999-07-03,부동산나라 공인중개사사무소,덕양구
13,개설,1999-07-09,동네 공인중개사사무소,덕양구
14,개설,1999-07-12,현대(김건중) 공인중개사사무소,덕양구
15,개설,1999-08-31,선진 공인중개사사무소,덕양구
16,개설,1999-11-18,삼성 공인중개사사무소,덕양구
17,개설,2000-02-16,부영 공인중개사사무소,덕양구
18,개설,2000-03-02,태영부동산랜드 공인중개사사무소,덕양구
19,개설,2000-05-16,LG 공인중개사사무소,덕양구
20,개설,2000-10-02,정원 공인중개사사무소,덕양구
21,개설,2000-12-11,금강 공인중개사사무소,덕양구
22,개설,2001-02-23,가나 공인중개사사무소,덕양구
23,개설,2001-05-29,샘터 공인중개사사무소,덕양구
24,개설,2001-06-20,평화 공인중개사사무소,덕양구
25,개설,2001-07-02,벤처 공인중개사사무소,덕양구
26,개설,2001-08-25,가나 공인중개사사무소,덕양구
27,개설,2001-11-06,석사 공인중개사사무소,덕양구
28,개설,2001-12-13,대우 공인중개사사무소,덕양구
29,개설,2001-12-20,하나부동산컨설팅 공인중개사사무소,덕양구
30,개설,2001-12-27,LG 공인중개사사무소,덕양구
31,개설,2001-12-28,은빛부동산 공인중개사사무소,덕양구
32,개설,2002-01-03,대지부동산(유정균) 공인중개사사무소,덕양구
33,개설,2002-01-08,하나로 공인중개사사무소,덕양구
34,개설,2002-01-16,한양 공인중개사사무소,덕양구
35,개설,2002-02-16,원당e편한 공인중개사사무소,덕양구
36,개설,2002-04-02,주공랜드 공인중개사사무소,덕양구
37,개설,2002-05-06,천지 공인중개사사무소,덕양구
38,개설,2002-07-09,금탑 공인중개사사무소,덕양구
39,개설,2002-12-31,대덕정인식 공인중개사사무소,덕양구
40,개설,2003-02-04,한마음공인중개사사무소,덕양구
41,개설,2003-03-05,신현대 공인중개사사무소,덕양구
42,개설,2003-03-26,한국 공인중개사사무소,덕양구
43,개설,2003-04-10,현대 공인중개사사무소,덕양구
44,개설,2003-04-17,성일 공인중개사사무소,덕양구
45,개설,2003-04-21,스마일부동산 공인중개사사무소,덕양구
46,개설,2003-06-20,양지 공인중개사사무소,덕양구
47,개설,2003-06-26,라이프 공인중개사사무소,덕양구
48,개설,2003-07-07,청구 공인중개사사무소,덕양구
49,개설,2003-09-03,푸른마을 공인중개사사무소,덕양구
50,개설,2003-09-17,명문 공인중개사사무소,덕양구
51,개설,2003-10-16,한샘래미안 공인중개사사무소,덕양구
52,개설,2003-10-20,중앙 공인중개사사무소,덕양구
53,개설,2003-11-06,금맥 공인중개사사무소,덕양구
54,개설,2003-11-06,행주 공인중개사사무소,덕양구
55,개설,2003-11-08,탑 공인중개사사무소,덕양구
56,개설,2000-03-30,신화부동산 공인중개사사무소,덕양구
57,개설,2000-07-21,한솔 공인중개사사무소,덕양구
58,개설,2000-11-24,대한부동산 공인중개사사무소,덕양구
59,개설,2000-12-01,구육 공인중개사사무소,덕양구
