연번,품목별,기준단위,하나로마트(삼송점),세이브존(화정점),원당전통시장,능곡전통시장, 이마트(백석점),뉴코아아울렛,롯데백화점,그랜드백화점,이마트(킨텍스점),현대백화점
1,쌀 (국내산),10kg,"31,000","39,900","36,000","38,000","38,700","29,950","66,100","37,800","36,000","46,000"
2,찹쌀(국내산),1kg.,"5,790","5,600","5,000","5,000","6,460","3,730","9,000",680,"6,460","6,250"
3,보리쌀(국내산),100g,399,300,250,300,454,624,590,199,163,580
4,서리태(국내산 ),100g,"2,279","2,100","2,100","1,800","1,776","1,665","3,690",840,"1,776",
5,"참깨(국내산,수입)",100g,"2,759","2,400","2,800","2,100","4,570","1,645",,"1,630","2,140","8,730"
6,양파(까지않은 것),1kg,80,"1,780","1,900","1,000","1,320","1,330","2,000","2,680","1,320","1,910"
7,대파,1단,"1,990","1,980","1,280","1,500","2,780","2,890","3,490","2,810","2,980","5,000"
8,쪽파,1단,"2,990","2,980","2,000","3,500","3,580","3,290","2,990","2,980","3,280","2,000"
9,무(잎 없는것),1포기,"2,490","2,480","1,700","3,000","2,580","2,490","2,990","2,980","2,580","3,800"
10,배추(중간크기),1포기,"6,590","4,980","3,980","4,000","4,980","7,990","8,990","4,980","4,980","8,000"
11,미나리,1단,"5,390",,"2,000","6,000","2,980","2,590","1,663","3,980","2,980","6,900"
12,알타리,1단,"3,590",,"3,500","4,000",,,"3,490","4,980",,
13,마늘(깐마늘),100g,549,373,711,750,793,599,"2,000","1,320",776,"1,212"
14,상추(적상추),100g,"1,800",,400,"1,800","1,740","1,990","2,490","2,780","2,980","2,580"
15,오이(다다기오이),1개,"1,195",330,750,700,"1,093",650,"1,000","1,320","1,093","1,180"
16,호박(인큐애호박),1개,"1,390",740,"1,500","1,000","1,680","1,190","1,990","1,640","1,680","1,000"
17,생강(국내산),100g,690,598,780,"1,300",698,799,"1,490",796,"1,400","2,000"
18,풋고추,100g,"1,593","1,980",650,"1,000","1,400","1,991","2,990","1,980","1,680","2,500"
19,두부(대),1모,"1,950","1,980","2,000","3,700","3,900","2,000","2,300","1,950","1,100","4,050"
20,콩나물,100g,"2,290",420,400,526,647,430,732,526,642,880
21,감자(국내산),100g,199,148,150,300,228,339,266,156,228,320
22,배(신고),1개(대),"1,300","3,980","2,000","2,000","4,250","2,475","6,990","4,900","4,250","8,333"
23,딸기,100g,,,,800,,,,,,
24,참외,100g,,,316,830,,,,,,
25,수박,1개(대),,,"17,500","20,000","9,900",,"3,990","25,000",,
26,방울토마토,100g,850,796,600,660,797,"1,198","1,237",707,797,"2,200"
27,바나나,100g,659,248,125,500,212,329,599,332,"4,480",550
28,사과(부사),1개,980,"2,980","1,000","1,000","2,245",990,"2,000","2,660","2,245","2,200"
29,쇠고기(한우등심 1등급),100g,"9,780","7,980","9,000","13,000","11,800","9,900","2,990","13,800","6,650","17,500"
30,돼지고기(국내산 생삼겹살),100g,"2,290","1,650","1,940","2,467","1,780","1,790","2,990","1,980","1,650","4,100"
31,"생닭(백숙용, 9호)",1마리,"4,980","4,980","4,800","3,380","6,980","5,990","5,940","9,850","6,900","8,500"
32,달걀,10개(대),"3,290","3,900","2,300","2,000","2,650","2,990","5,490","2,580","2,653","5,233"
33,"고등어(생고등어, 중)",1손,"9,900","5,980","8,000","3,000","6,560","3,990","7,900","7,800","2,000","10,000"
34,동태포(수입산),1마리,"3,490","4,980","1,000","4,000","7,850","5,990",,"6,800","7,850","1,875"
35,생물오징어(국내산),1마리,"5,450","3,990","5,000","2,500","3,600","2,500","3,500","2,640",,"6,600"
36,"마른멸치(국내산,볶음용)",100g,"3,127","4,450","1,450","1,970","4,577","2,225","3,644","4,900","3,736","2,400"
37,"갈치(국내산, 중)",1마리,"9,900","1,745","3,300","6,000","5,600","7,950","9,900","29,800","4,950","28,000"
38,재래김,50매,"8,690","6,250","5,500","3,990","7,300","5,990","15,000","29,000","4,380","23,333"
39,비엔나 소시지,1개,"5,980","1,000","1,400","1,000","3,490","1,290",,"1,000","3,440","1,382"
40,식용유(옥수수)해표,1개(0.5L),"2,400","2,085","2,980",540,"3,980","2,770",,"2,980",,"2,611"
41,참기름(해표),1개(100ml),"2,270","1,712","1,244","2,800","2,500","1,200",,"3,600","1,100","2,218"
42,설탕(흰설탕),1kg,"1,580","1,850","2,200","1,800","1,580","1,690","1,790","1,630","1,580","1,920"
43,밀가루(중력분),1포(3kg),"4,260","3,430","2,850","4,780","3,080","3,990","4,225","3,400","3,080","1,500"
44,소주(참이슬),1병(360ml),"1,300","1,270","1,450","1,380","1,280","1,280","1,360","1,290","1,280","1,450"
45,맥주(하이트),1병(500ml),"1,410","1,450","1,700","1,500","1,410","1,520",,"1,990","1,410","2,300"
46,라면(신라면),1개,676,495,750,690,676,678,676,676,676,710
47,컵라면(육계장사발면),1개,700,497,800,790,700,707,810,750,700,780
48,"분유(임페리얼 xo, 3단계)",1통(800g),"27,590","27,500",,"18,400","18,300","27,500",,"27,500","18,300","36,500"
49,서울우유,1개(1000ml),"2,550","2,600","2,700","2,650","2,540","2,570","2,650","2,600","2,530","3,100"
50,치약,1개,"1,316","1,633","1,200","3,300","2,633","1,363","1,100","1,633","2,633","1,733"
51,세안비누,1개,"1,975","1,150","1,600","1,900","1,587","1,340","1,200","1,000","1,267",987
52,세탁비누,1개,862,"1,225","1,500","2,990","1,725","1,245","1,500","1,700","1,580","1,800"
53,화장지,10m,199,154,160,308,149,136,188,177,254,266
