연번,사업장명,소재지
1,산곡기계공업,고양시 덕양구 흥도로 113(도내동)
2,경태물산㈜,고양시 덕양구 통일로1031번길 484(내유동)
3,㈜이수씨엔피,고양시 덕양구 덕은로 110(덕은동)
4,㈜금구델리스,고양시 덕양구 삼송동 128-17
5,정광유리,고양시 덕양구 호원길 76(현천동)
6,고양식품산업,고양시 일산동구 성현로659번길 11(사리현동)
7,㈜한국포장,고양시 덕양구 원흥동 7-1
8,㈜뉴덕흥기업,고양시 일산동구 공릉천로 126(사리현동)
9,신일석재,고양시 덕양구 대장동 311-2
10,대흥제본,고양시 덕양구 고양대로2002번길 62(동산동)
11,광산콘크리트,고양시 일산동구 견달산로225번길 93(식사동)
12,흥국건철㈜,고양시 일산동구 견달산로225번길 102(식사동)
13,신성콘크리트공업㈜,고양시 일산동구 동국로 230(식사동)
14,현대신문인쇄사,고양시 일산동구 장항로 203-14(장항동)
15,㈜태원메탈,고양시 일산동구 견달산로225번길 82(식사동)
16,동양테크㈜,고양시 덕양구 삼송동 128-15
17,대경산업,고양시 일산동구 장항로225번길 224(장항동)
18,(주)금성강철,고양시 일산동구 견달산로225번길 74(식사동)
19,㈜로얄프로세서,고양시 일산서구 덕산로243번길 58-15(덕이동)
20,㈜림스코,"고양시 일산동구 일산로 142, 유니테크빌 722,723호(백석동)"
21,대원인쇄,고양시 일산동구 장항로 203-38(장항동)
22,평화당인쇄㈜,고양시 일산동구 장항로 203-34(장항동)
23,진우문화인쇄사,고양시 일산동구 장항로 203-183(장항동)
24,아이템플인쇄,고양시 일산동구 장항로225번길 217(장항동)
25,㈜게인,"고양시 일산동구 일산로 142, 유니테크빌 720호(백석동)"
26,엘림몰딩,고양시 덕양구 동헌로 111(관산동)
27,한영문화사,고양시 일산동구 장대길 42-135(장항동)
28,㈜삼표산업 서부공장,고양시 덕양구 흥도로 113(도내동)
29,청아문화사,고양시 일산동구 장대길 160-64(장항동)
30,㈜BD테크,고양시 일산서구 덕산로 305-19(덕이동)
31,(주)대신금속,고양시 일산동구 지영로194번길 40-15(지영동)
32,유진기업㈜서서울,고양시 덕양구 통일로493번길 35(대자동)
33,동원문화,"고양시 일산동구 장항로 381-198, 1층(장항동)"
34,창조인쇄&팩케이지,"고양시 일산동구 장항로 203-68, 2층(장항동)"
35,㈜벨로문구,고양시 일산동구 장대길 128-55(장항동)
36,부광프린팅㈜,고양시 일산동구 고봉로 735(설문동)
37,신오커튼-월,고양시 덕양구 내유길 129(내유동)
38,㈜미광원색사,고양시 일산동구 장항로 189(장항동)
39,㈜번영테이프,고양시 일산동구 지영로194번길 103(지영동)
40,㈜이룸프레스,고양시 일산동구 장대길 64-63(장항동)
41,㈜코지백,고양시 덕양구 통일로1031번길 450(내유동)
42,㈜케이디씨앤피,고양시 일산동구 장대길 42-113(장항동)
43,한진종합인쇄,"고양시 일산동구 장대길 42-113,(다)(장항동)"
44,유신당인쇄㈜일산지점,고양시 일산동구 장대길 64-128(장항동)
45,두림인쇄,"고양시 일산동구 장대길 42-103,(가)(장항동)"
46,백암문화사,고양시 일산서구 멱절길 118(대화동)
47,㈜신화프린팅코아퍼레이션,고양시 일산동구 장대길 86-76(장항동)
48,㈜에이치디 글로벌,고양시 일산동구 지영로 170(지영동)
49, 한교원색,고양시 일산동구 장대길 64-88(장항동)
50,엘림상사㈜,고양시 덕양구 동헌로 113(관산동)
51,아주산업㈜상암공장,고양시 덕양구 흥도로 111(도내동)
52,송포농협 경제사업소,고양시 일산서구 송산로266번길 354(법곳동)
53,㈜삼성프린텍,"고양시 일산동구 장대길 42-95, 나동(장항동)"
54,㈜현대칼라트론,"고양시 일산동구 장대길 42-95, 나동(장항동)"
55,경희정보인쇄㈜,고양시 일산동구 장항로 384-18(장항동)
56,㈜씨엠중앙문화,"고양시 일산동구 장대길 42-76, 다,라동(장항동)"
57,천지문화,"고양시 일산동구 장대길 42-95, 가동(장항동)"
58,색채인㈜,고양시 일산동구 장대길105번길 50(장항동)
59,동아프린팅,"고양시 일산동구 장항로 203-153, 가동(장항동)"
60,㈜효산피앤씨 일산지점,"고양시 일산동구 장대길 106-29, 나동(장항동)"
61,㈜코리아프린테크,고양시 일산동구 장항로 313-19(장항동)
62,오렌지프린텍㈜,"고양시 일산동구 노첨길 81,(-1) 라동(장항동)"
63,유진기업㈜구파발,고양시 덕양구 통일로493번길 35(대자동)
64,㈜미래이포스트,고양시 일산동구 장대길 160-46(장항동)
65,㈜오성피앤에이,고양시 일산서구 송포로 399(가좌동)
66,일산중공업,고양시 일산동구 은마길79번길 54-10(설문동)
67,㈜아룸프레스,고양시 일산동구 노첨길36번길 39(장항동)
68,한교원색,고양시 일산동구 장대길 64-88(장항동)
69,(주)에스씨알,고양시 덕양구 동헌로 127-13(관산동)
70,현프린팅,고양시 일산동구 장대길 16(장항동)
71,고양시쌀연구회영농조합 법인,고양시 일산서구 법곳길 420(구산동)
72,제이케이엔지니어링㈜,고양시 일산동구 성현로135번안길 117-14(성석동)
73,세종산업자원㈜,고양시 일산동구 지영로 36-31(지영동)
74,메들린식품,"고양시 일산동구 일산로 142, 유니테크빌 304호(백석동)"
75,우성프린팅,"고양시 일산동구 장대길 160-80, 1층(장항동)"
76,교육인쇄,고양시 덕양구 대터2로 16(덕은동)
77,고양낙우영농조합법인㈜,고양시 일산동구 성현로 228-27(성석동)
78,㈜동화인쇄공사,"고양시 덕양구 대터2로 16,(가동)(덕은동)"
79,주식회사 한양하이켐,고양시 일산동구 은마길 143-20(설문동)
80,㈜기흥인쇄,고양시 일산동구 장항로 203-129(장항동)
81,이한기업,고양시 일산동구 은마길 31-40(성석동)
82,㈜하이럭스,"고양시 일산동구 일산로 142, 유니테크빌 514호 등9호(백석동)"
83,부강자원,고양시 일산동구 은마길79번길 54-11(설문동)
84,㈜태광마텍스,고양시 일산동구 공릉천로 209-59(사리현동)
85,백왕인쇄,고양시 일산동구 장항로225번길 15(장항동)
86,㈜명진특수고무,고양시 일산동구 견달산로225번길 21-42(식사동)
87,지성기계공업,고양시 일산동구 견달산로225번길 26-88(식사동)
88,대림문화사,고양시 일산동구 장항로 203-133(장항동)
89,㈜뉴디스코리아,고양시 덕양구 동헌로 125-16(관산동)
90,신동원식품,고양시 일산동구 견달산로 264(식사동)
91,㈜동양화공기계,고양시 일산동구 견달산로 334(문봉동)
92,대한글라스텍,"고양시 일산동구 문봉길 6-64, 가동(문봉동)"
93,㈜광인사,고양시 일산동구 장대길 42-143(장항동)
94,대일문화사,고양시 일산서구 이산포길 288(법곳동)
95,㈜함지,고양시 일산동구 문원길 30-12(지영동)
96,㈜정민피앤피,고양시 일산서구 이산포길 256(법곳동)
97,㈜명진리싸이클링,고양시 일산동구 견달산로225번길 45-73(식사동)
98,성원공업㈜,고양시 덕양구 내유길131번길 23(내유동)
99,㈜우전자원개발,고양시 일산동구 장진천길 14-7(설문동)
100,경동포장,고양시 덕양구 통일로1170번길 135-58(내유동)
101,세대산전㈜,고양시 일산동구 멱절길 302-90(장항동)
102,㈜백산하이테크,고양시 덕양구 호원길 3-2(덕은동)
103,㈜청솔인쇄,고양시 일산동구 견달산로225번길 45-56(식사동)
104,㈜청광문화사,고양시 일산동구 장항로 139-19(장항동)
105,대성특수인쇄,"고양시 일산동구 장대길 64-136, 가동(장항동)"
106,㈜여울제지,고양시 일산서구 송포로 399(가좌동)
107,태경인쇄,"고양시 일산동구 노첨길 75, 나동(장항동)"
108,㈜제이에스비아이엔씨,고양시 일산동구 은마길79번길 54-2(설문동)
109,(사)한국장애인유권자연맹,"고양시 일산동구 장대길 42-76, 라동(장항동)"
110,청도석재,고양시 덕양구 통일로1031번길 458(내유동)
111,㈜쓰리원퍼니쳐,고양시 일산동구 설문동 167-34
112,㈜케어손,고양시 일산동구 동국로 325-24(문봉동)
113,신성종합인쇄,고양시 일산동구 장항로 121-10(백석동)
114,창림판지공업㈜,고양시 일산동구 사리현로 203-22(사리현동)
115,에이스메디칼㈜,고양시 덕양구 내유길124번길 33(내유동)
116,(주)대흥사,고양시 일산서구 가좌로50번길 11-47(가좌동)
