연번,안경업소명칭,사업장소재지(도로명),사업장전화번호
1,으뜸플러스안경(고양화정점),"경기도 고양시 덕양구 화신로260번길 66, 한빛 하이죤 304호 일부호 (화정동)",031-978-1002
2,으뜸50안경(화정점),"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 305호 (화정동)",031-972-1882
3,바라보다안경,"경기도 고양시 덕양구 권율대로 900, 103,104호 (신원동)",02-371-3700
4,안경제작소,"경기도 고양시 덕양구 의장로 140, 원흥연세프라자 제1동 1층 107호 (도내동)",031-966-7008
5,포나인안경,"경기도 고양시 덕양구 삼송로 12, 반도유스퀘어 109호 (원흥동)",031-963-9599
6,알로스타필드고양점,"경기도 고양시 덕양구 고양대로 1955, 2층 2337호 (동산동, 스타필드고양)",031-5173-2136
7,알로뷰고양점,"경기도 고양시 덕양구 고양대로 1955, 2층 2293호 (동산동, 스타필드고양)",
8,아프리카안경(스타필드고양),"경기도 고양시 덕양구 고양대로 1955, B148호 (동산동, 스타필드고양)",031-5173-0016
9,씨유옵티컬트레이더스고양점,"경기도 고양시 덕양구 고양대로 1955, 이마트트레이더스 내 안경코너호 (동산동, 스타필드고양)",02-371-0730
10,룩옵티컬고양스타필드점,"경기도 고양시 덕양구 고양대로 1955, 2230호 (동산동, 스타필드고양)",031-5173-2052
11,프랫안경원,"경기도 고양시 덕양구 고양대로 1955, 1층 1166호 (동산동, 스타필드고양)",031-5173-1029
12,오렌즈신세계스타필드고양점,"경기도 고양시 덕양구 고양대로 1955, 2239호 (동산동, 스타필드고양)",031-5173-2059
13,렌즈미고양점,"경기도 고양시 덕양구 혜음로 29-1, 102호 (고양동)",031-964-0075
14,렌즈미화정점,"경기도 고양시 덕양구 화신로272번길 34 (화정동, 미주프라자빌딩)",031-938-0111
15,오아시스153 내유점,"경기도 고양시 덕양구 유산길 12, 내유동 (내유동)",031-968-2044
16,안경디씨90,경기도 고양시 덕양구 읍내로 11 (고양동),031-963-2001
17,강남365치과의원,경기도 고양시 덕양구 읍내로 11 (고양동),031-963-2001
18,다비치안경 원당시장사거리앞점,"경기도 고양시 덕양구 호국로789번길 15, 1층 (주교동)",031-963-1357
19,눈안경콘택트,"경기도 고양시 덕양구 동세로 63, 109,110,111호 (삼송동, 강남프라자)",02-857-1233
20,다비치안경 행신점,"경기도 고양시 덕양구 충장로 140 (행신동, 썬프라자빌딩 103,104,201,202,203호)",031-972-1357
21,아이패밀리안경,"경기도 고양시 덕양구 호국로 804, 101,102호 (성사동, 원당타운)",031-966-8848
22,알로뷰화정점,"경기도 고양시 덕양구 화정로 52, 1층 (화정동, 세이브존)",031-971-5005
23,아이스토리안경원,"경기도 고양시 덕양구 삼송로 88, 106호 (삼송동, 오성프라자)",02-381-8856
24,비춤안경원,"경기도 고양시 덕양구 도래울로 36, 101호 (도내동, 원흥프라자)",031-966-1113
25,밝은눈안경 도내점,"경기도 고양시 덕양구 도래울3로 16, 102호 (도내동)",031-967-4003
26,더리치안경,"경기도 고양시 덕양구 동세로 22, 101호 (동산동, 미르프라자)",02-381-6900
27,하나로르망안경,"경기도 고양시 덕양구 동송로 20, 1층 (동산동, 하나로농협)",02-381-4188
28,안경나라 토당점,"경기도 고양시 덕양구 지도로 100, 108호 (토당동, 파워프자라)",031-974-8119
29,안경창고싸군,"경기도 고양시 덕양구 권율대로 908, 104호 (신원동, 삼송월드타워)",02-381-4002
30,아이러브안경,"경기도 고양시 덕양구 충장로 26, 101~102호 (행신동)",031-970-1030
31,글라스마스터,"경기도 고양시 덕양구 충경로 44, 101-3호 (행신동, 대명프라자)",031-973-1881
32,글라스스토리 삼송점,"경기도 고양시 덕양구 권율대로 885, 103호 (신원동, 태웅프라자)",02-381-6006
33,매니아안경,"경기도 고양시 덕양구 통일로 760, 145,146,176,177호 (관산동, 더퍼스트프라임)",031-963-9959
34,안경마을,"경기도 고양시 덕양구 혜음로 29-1, 101호 (고양동)",031-970-0022
35,오렌즈 화정점,"경기도 고양시 덕양구 화신로260번길 57, 104호 (화정동,요진타워빌딩)",031-972-5334
36,씨채널,경기도 고양시 덕양구 충장로 150 (행신동),031-974-2580
37,가라뫼안경,"경기도 고양시 덕양구 중앙로 440, 1층 103호 (행신동, 센타프라자)",031-938-5001
38,서정안경원,"경기도 고양시 덕양구 중앙로 439, 101,102호 (행신동, 서정프라자)",031-970-8882
39,바라보다화정점,경기도 고양시 덕양구 화정로 65-1 (화정동),031-810-1001
40,시작안경원,"경기도 고양시 덕양구 화중로 72, 1층 101,103호 (화정동)",031-974-2244
41,안경박사원당점,"경기도 고양시 덕양구 호국로 822 (성사동,명지캐럿 108호)",031-963-2233
42,바라보다행신점,"경기도 고양시 덕양구 중앙로 442, 103,104호 (행신동,아성프라자)",031-972-0317
43,다비치안경화정점,"경기도 고양시 덕양구 화중로 100 (화정동,비전타워21 102,103,104,105,106,107호)",031-965-3430
44,닥터아이안경원,"경기도 고양시 덕양구 호국로 790 (성사동,연일빌딩 1 층)",031-967-5352
