약국명칭,약국전화번호,약국소재지(도로명)
내유푸른약국,031-968-7611,"경기도 고양시 덕양구 내유길 27, 1층 (내유동)"
우리들약국,02-371-0052,"경기도 고양시 덕양구 권율대로 900, 105호 (신원동)"
장수약국,031-966-6928,"경기도 고양시 덕양구 도래울로 42-5, 103호 (도내동)"
송약국,031-972-7482,"경기도 고양시 덕양구 무원로6번길 20, M타워 101호 (행신동)"
고양힐약국,031-967-7744,"경기도 고양시 덕양구 보광로 2, 1층 일부호 (고양동)"
별빛약국,02-381-9354,"경기도 고양시 덕양구 삼송로 88, 오성프라자 103호 (삼송동)"
올리브약국,02-381-5570,"경기도 고양시 덕양구 동세로 86, 삼송프라자 103호 (삼송동)"
라인건강약국,02-381-2231,"경기도 고양시 덕양구 권율대로 885, 태웅PLAZA 105호 (신원동)"
도래울약국,031-967-7180,"경기도 고양시 덕양구 도래울로 110, 테마시티 119호 (도내동)"
곰돌이약국,02-381-7792,"경기도 고양시 덕양구 덕수천2로 150, 상가동 2층 28호 (동산동)"
경희행복한약국,031-971-7767,"경기도 고양시 덕양구 중앙로 559, 그랑프리빌딩 105호 (행신동)"
밝은미소약국,031-972-7512,"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 405호 (화정동)"
화정하나로약국,031-968-5113,"경기도 고양시 덕양구 화정로 47, 304호 (화정동, 동원텔)"
푸른솔약국,070-4217-3902,"경기도 고양시 덕양구 충장로 150, 롯데마트 고양점 2층 (행신동)"
더불어약국,02-371-0180,"경기도 고양시 덕양구 삼송로 190-5, 1층 2호 (삼송동)"
나누는기쁨약국,031-962-1270,"경기도 고양시 덕양구 도래울로 104, KB골든타워 108호 (도내동)"
새한솔약국,031-971-1559,"경기도 고양시 덕양구 충경로 87, 대명상가 2층 (행신동)"
1004 약국,02-381-5052,"경기도 고양시 덕양구 동세로 19, 아카메디 105호 (동산동)"
가장약국,031-962-4810,경기도 고양시 덕양구 동헌로1번길 7 (관산동)
미래온누리약국,031-938-0355,"경기도 고양시 덕양구 토당로 115, 금호프라자 1층 119,125,126,127호 (토당동)"
미약국,031-971-2033,"경기도 고양시 덕양구 토당로 54, 충정회관 1층 (토당동)"
참사랑약국,031-979-6133,"경기도 고양시 덕양구 화중로 32-31, 효원빌딩 101호 (화정동)"
삼송역 3번출구 약국,02-381-4532,"경기도 고양시 덕양구 동송로 69, 105호 (삼송동)"
삼송프라자약국,070-7591-3695,"경기도 고양시 덕양구 신원로 40, 삼송시티프라자 107호 (신원동)"
신정문약국,031-962-3035,경기도 고양시 덕양구 화수로14번길 62 (화정동)
봄빛약국,031)979-6544,"경기도 고양시 덕양구 성신로 14, 청한프라자 105,106호 (화정동)"
밝은양지온누리약국,031-964-0396,경기도 고양시 덕양구 읍내로6번길 1-8 (고양동)
메디케어약국,070-7717-8171,"경기도 고양시 덕양구 동송로 20, 삼송농산물종합유통센터 2층 (동산동)"
햇빛가득약국,031-938-8166,"경기도 고양시 덕양구 충장로 14, 401호 (행신동)"
해솔약국,031)979-9465,"경기도 고양시 덕양구 화중로 54, 서일빌딩 110호 (화정동)"
천사약국,031-967-9552,"경기도 고양시 덕양구 의장로 140, 104호 (도내동)"
마이다스수약국,031)978-5557,"경기도 고양시 덕양구 백양로 71, 204호 (화정동)"
덕양메디칼약국,031)938-1726,"경기도 고양시 덕양구 백양로 51, 104호 (화정동)"
삼성약국,,"경기도 고양시 덕양구 중앙로558번길 13, 102호 (행신동, 능곡 삼성프라자)"
햇살약국,031)973-3200,"경기도 고양시 덕양구 행신로 276, 105호 (행신동, 명일프라자)"
세원약국,031-966-0838,경기도 고양시 덕양구 화수로14번길 52 (화정동)
다나온누리약국,,"경기도 고양시 덕양구 화정로 47, 302호 (화정동, 동원텔)"
화정푸른솔약국,,"경기도 고양시 덕양구 성신로 10, 112호 (화정동, 글로버프라자)"
삼송스타약국,02)2063-9100,"경기도 고양시 덕양구 고양대로 1955, 지하2층 (동산동, 스타필드고양)"
지하1층 부츠약국 스타필드고양점,031)5173-0405,"경기도 고양시 덕양구 고양대로 1955, 스타필드 고양 지하1층 142호 (동산동)"
메디스약국,031)979-2277,"경기도 고양시 덕양구 중앙로 452, 104,105호 (행신동, 메디스타워)"
아이맘약국,070-8872-3222,"경기도 고양시 덕양구 중앙로 628, 304호 (화정동, 예일프라자)"
새서울약국,,"경기도 고양시 덕양구 지도로 47, 101호 (토당동, 보림빌딩)"
별약국,031-923-5443,"경기도 고양시 덕양구 삼송로 12, 112호 (원흥동, 반도유스퀘어)"
도토리약국,02-381-8191,"경기도 고양시 덕양구 세솔로 96, 1층 (삼송동)"
한마음약국,031)963-1771,경기도 고양시 덕양구 삼송로 12 (원흥동)
원흥온누리약국,031)967-2265,"경기도 고양시 덕양구 권율대로 672, 311호 (원흥동)"
작은약국,031-973-1717,"경기도 고양시 덕양구 용현로 7 (행신동, 에버그린110호)"
정다운온누리약국,02)381-0975,"경기도 고양시 덕양구 권율대로 889, 103호 (신원동, 파스텔시티2)"
평강약국,031)818-7176,"경기도 고양시 덕양구 호국로 822, 1층 119호 (성사동, 명지캐럿86)"
큰나무약국,031)967-5385,"경기도 고양시 덕양구 고양대로 1361, 11호 (성사동, 신원당빌딩)"
메디팜우일약국,,"경기도 고양시 덕양구 마상로154번길 68, 1층 (성사동, 금강빌딩)"
건강드림약국,,"경기도 고양시 덕양구 도래울로 52, 102호 (도내동, 센터프라자)"
원당시장약국,031-968-5969,"경기도 고양시 덕양구 호국로 803 (주교동, 세창아파트)"
대학약국,031-963-4645,경기도 고양시 덕양구 통일로 774 (관산동)
세솔약국,02-371-2408,"경기도 고양시 덕양구 권율대로 893, 108호 (신원동, 파스텔시티1차)"
미래열린약국,02-371-1371,"경기도 고양시 덕양구 신원로 32, 107,108호 (신원동, 미래메디컬빌딩)"
화정한약국,031-965-1113,"경기도 고양시 덕양구 화중로 96, 우정프라자 303호 (화정동)"
나실약국,031-968-8696,"경기도 고양시 덕양구 통일로 760, 3층 324호 (관산동, 더퍼스트프라임)"
원광한약국,031-972-8005,"경기도 고양시 덕양구 화신로 267, 111호 (화정동, 이프라자)"
화정햇빛약국,031-978-4010,"경기도 고양시 덕양구 충장로152번길 47, 105-1호 (행신동, 햇빛마을20단지)"
화정마더스 약국,031-938-5939,"경기도 고양시 덕양구 화정로 52, 지하2층 (화정동, 세이브존)"
활기찬 약국,070-4133-4846,"경기도 고양시 덕양구 삼송로 94-22, 105호 (삼송동, 신성프라자)"
한빛약국,031-970-6192,"경기도 고양시 덕양구 용현로 27, 104호 (행신동, 행신프라자)"
유스약국,02-381-9475,"경기도 고양시 덕양구 동세로 63, 1층 (삼송동, 강남프라자)"
화정녹십자약국,031-979-8777,"경기도 고양시 덕양구 화중로 60, 109호 (화정동, 화정빌딩)"
다사랑약국,031-815-2088,경기도 고양시 덕양구 도래울로 103 (도내동)
내유동우리약국,031-962-2830,"경기도 고양시 덕양구 유산길 22, 101호 (내유동)"
한울약국,031-973-2335,"경기도 고양시 덕양구 화중로 60, 302호 (화정동, 화정종합상가)"
꿈나무약국,070-4213-7707,"경기도 고양시 덕양구 도래울로 40, 103호 (도내동, 예승골드프라자)"
삼송약국,02-381-2003,"경기도 고양시 덕양구 권율대로 907, 1층 (신원동, 케이엔빌딩)"
메디팜장계약국,031-968-1297,"경기도 고양시 덕양구 화중로 220, 104호 (화정동, 부영상가)"
화정메디칼약국,031-974-5353,"경기도 고양시 덕양구 화중로 72, 105호 (화정동, 케이탑리츠화정빌딩)"
생생약국,031-966-0138,"경기도 고양시 덕양구 은빛로 41, 102호 (화정동, 대경프라자)"
행복드림약국,031-967-2700,"경기도 고양시 덕양구 호국로 819, 1층 (주교동, 신도빌딩)"
소영약국,031-979-6809,"경기도 고양시 덕양구 토당로 52, 205호 (토당동, 능곡역프라자)"
스카이약국,070-4139-3902,"경기도 고양시 덕양구 화중로 66, 1층 (화정동, 롯데마트)"
더건강약국,031-963-3525,"경기도 고양시 덕양구 통일로 760, 148호,179호 (관산동, 더퍼스트프라임상가)"
고양새물약국,031-962-4817,경기도 고양시 덕양구 혜음로 36 (고양동)
경희유원한약국,031-979-6160,"경기도 고양시 덕양구 토당로 52, 102호 (토당동, 능곡프라자)"
삼송제일약국,070-8861-0009,"경기도 고양시 덕양구 권율대로 886, 102호 (신원동, 호평프라자)"
코코온누리약국,02)381-5540,"경기도 고양시 덕양구 동세로 88, 102호 (삼송동, 오케이세솔프라자)"
메디팜행신약국,031-970-4073,"경기도 고양시 덕양구 무원로 63, 103호 (행신동, 무원마을10단지아파트)"
능곡종로약국,031-979-4503,경기도 고양시 덕양구 지도로103번길 34 (토당동)
또바기약국,031-965-1221,"경기도 고양시 덕양구 호국로790번길 17, 404호 (성사동, 영프라자)"
어울림온누리약국,031-968-3773,"경기도 고양시 덕양구 고양대로1384번길 7-5, 105호 (성사동)"
지우약국,031-979-8397,"경기도 고양시 덕양구 무원로6번길 20, M타워 503호 (행신동)"
동부약국,031-974-0656,"경기도 고양시 덕양구 중앙로 547, 1층 (행신동, 비금빌딩)"
메디팜다나약국,031-971-4357,"경기도 고양시 덕양구 중앙로 466, 103호 (행신동, 대광빌딩)"
동원텔약국,031-815-8112,"경기도 고양시 덕양구 화정로 47, 301호 (화정동, 동원텔)"
신성약국,02-582-0011,"경기도 고양시 덕양구 동산2로 1, 104호 (동산동, 현대프라자)"
3층사랑약국,031-979-6991,"경기도 고양시 덕양구 무원로 63, 308호 (행신동, 무원마을10단지서광상가)"
아이사랑약국,031-964-7545,"경기도 고양시 덕양구 통일로 769-2, 1층 (관산동, 소망빌딩)"
사랑인약국,,"경기도 고양시 덕양구 혜음로 30, 202-1호 (고양동, 삼성상가)"
능곡백제약국,031-971-8330,"경기도 고양시 덕양구 행당로 9, 102호 (토당동)"
삼층약국,031-979-4986,"경기도 고양시 덕양구 충경로 52, 306호 (행신동, 남정씨티프라자)"
옵티마2층약국,031-973-8521,"경기도 고양시 덕양구 토당로 115, 223호 (토당동, 금호프라자상가)"
사랑가득무지개약국,031-973-7582,"경기도 고양시 덕양구 중앙로 438, 105호 (행신동, 아름터프라자)"
화진약국,031-966-4628,"경기도 고양시 덕양구 호국로790번길 17, 409호 (성사동, 영프라자)"
호산나약국,031-979-6878,"경기도 고양시 덕양구 중앙로558번길 16-6, 1층 (행신동, 신일빌딩)"
행복가득한약국,031-972-6985,"경기도 고양시 덕양구 무원로 62, 1층 (행신동)"
푸른온누리약국,031-963-3030,경기도 고양시 덕양구 통일로 773 (관산동)
바로팜약국,031-966-0337,"경기도 고양시 덕양구 화정로 53-1, 1층 104호 (화정동, 글로리아프라자)"
하나약국,031-970-3040,"경기도 고양시 덕양구 행신로 266, 1층 103호 (행신동, 월드타워)"
고운맘약국,031-968-1206,"경기도 고양시 덕양구 호국로789번길 3, 108호 (주교동, 중앙빌딩)"
은혜약국,031-962-6459,경기도 고양시 덕양구 혜음로 29-1 (고양동)
큰곰약국,031-962-5685,"경기도 고양시 덕양구 혜음로 9, 정호빌딩 1층 2,3호 (고양동)"
예담약국,031-970-9534,"경기도 고양시 덕양구 행신로 268, 1층 (행신동, 예담메디컬파워)"
믿음약국,031)972-2319,경기도 고양시 덕양구 용현로53번길 52 (행신동)
소만약국,031-970-0905,"경기도 고양시 덕양구 충경로 96, 101호 (행신동, 소만빌딩)"
자미한약국,031)973-3770,"경기도 고양시 덕양구 충장로 140 (행신동,썬프라자 102호)"
꽃우물약국,070-4135-6717,"경기도 고양시 덕양구 화중로 60, 104호 (화정동)"
하나로약국,031-971-9052,"경기도 고양시 덕양구 충장로 134, 106호 (행신동, 아이프라자)"
임약국,031-962-3337,"경기도 고양시 덕양구 보광로 6, 1층 일부호 (고양동)"
원당약국,031-962-5114,경기도 고양시 덕양구 호국로 788 (성사동)
성보온누리약국,031-966-3393,"경기도 고양시 덕양구 호국로 851, 103호 (성사동)"
명보약국,031-938-9600,"경기도 고양시 덕양구 중앙로472번길 73 (행신동,1층)"
서정약국,031-938-3200,"경기도 고양시 덕양구 서정마을로 5, 104호 (행신동)"
새화정약국,031-814-8133,"경기도 고양시 덕양구 화정로 53, 401호 (화정동, 새롬프라자)"
온누리김원철약국,,"경기도 고양시 덕양구 중앙로 450, 108호 (행신동, 명성프라자)"
새한빛약국,031-972-6308,"경기도 고양시 덕양구 화신로272번길 58, 411호 (화정동, 영프라자)"
신중앙약국,031-973-6630,"경기도 고양시 덕양구 중앙로 550, 104호 (행신동, 삼일프라자)"
달빛이화약국,031-966-6111,"경기도 고양시 덕양구 화중로 217, 114호 (화정동, 달빛마을라이프상가)"
선약국,031-968-4265,경기도 고양시 덕양구 은빛로29번길 36 (화정동)
행신약국,031-974-3775,경기도 고양시 덕양구 행당로 35 (행신동)
그린약국,031-962-6819,"경기도 고양시 덕양구 푸른마을로 6, 308호 (고양동, 고양 e PLAZA)"
드림팜 약국,031-979-7210,"경기도 고양시 덕양구 백양로 79 (화정동, 이마트내 1층)"
해인약국,031-970-9734,"경기도 고양시 덕양구 중앙로 550, 303-A호 (행신동, 삼일프라자)"
화수약국,031-969-7724,경기도 고양시 덕양구 화수로14번길 30 (화정동)
사랑약국,031-970-0072,"경기도 고양시 덕양구 토당로 52, 304-2호 (토당동, 능곡프라자)"
영재약국,031-978-2295,"경기도 고양시 덕양구 토당로 115 (토당동, 금호프라자)"
