시설번호,놀이시설명,우편번호,주 소,설치일자,설치장소,운영구분,지역분류,민공구분
9,두루미 어린이공원 놀이터(일산20호),10359,경기 고양시 일산동구 정발산동1159,2008-05-23,도시공원,운영,경기 고양시 일산동구 정발산동,공공
171,숯고개(탄현4호)어린이공원 놀이터,10243,경기 고양시 일산서구 탄현동1486,2008-09-19,도시공원,운영,경기 고양시 일산서구 탄현동,공공
194,사랑어린이집 놀이터,10287,경기 고양시 덕양구 관산동248-6번지,2008-10-22,어린이집,운영,경기 고양시 덕양구 관산동,민간
372,백송마을3단지 한신아파트 제1놀이터,10419,경기 고양시 일산동구 백석1동 백송마을3단지아파트1183,2008-11-27,주택단지,운영,경기 고양시 일산동구 백석동,민간
373,백송마을3단지 한신아파트 제2놀이터,10419,경기 고양시 일산동구 백석1동 백송마을3단지아파트1183,2008-11-27,주택단지,운영,경기 고양시 일산동구 백석동,민간
476,행신3차 SK VIEW 어린이 놀이시설 2,10517,경기 고양시 덕양구 행신동650-8,2009-02-02,주택단지,운영,경기 고양시 덕양구 행신동,민간
477,행신3차 SK VIEW 어린이 놀이시설 1,10517,경기 고양시 덕양구 행신동650-8,2009-02-02,주택단지,운영,경기 고양시 덕양구 행신동,민간
802,흰돌사랑어린이집 놀이터,10448,경기 고양시 일산동구 백석2동1349,2009-06-30,어린이집,운영,경기 고양시 일산동구 백석동,민간
938,햇빛마을 19단지 어린이 놀이시설 3,10483,경기 고양시 덕양구 행신동903,2009-07-30,주택단지,운영,경기 고양시 덕양구 행신동,민간
986,화정17호 어린이공원 놀이터,,경기 고양시 덕양구 화정동954,1994-12-31,도시공원,운영,경기 고양시 덕양구 화정동,공공
1017,탄현 임광진흥 아파트 111동앞 유아놀이터,10239,경기도 고양시 일산서구 탄현동 111-33,2009-08-20,주택단지,운영,경기 고양시 일산서구 탄현동,민간
1018,탄현 임광진흥 아파트 112동앞 어린이놀이터1,10239,경기도 고양시 일산서구 탄현동 111-33,2009-08-20,주택단지,운영,경기 고양시 일산서구 탄현동,민간
1089,일산 탄현 임광진흥아파트 103동 놀이터,10239,경기도 고양시 일산구 탄현동 111-13,2009-08-28,주택단지,운영,경기 고양시 일산서구,민간
1090,일산 탄현 임광진흥아파트 104동 놀이터,10239,경기도 고양시 일산구 탄현동 111-13,2009-08-28,주택단지,운영,경기 고양시 일산서구 탄현동,민간
1188,고양 현대아파트 어린이 놀이시설 3(102동),10275,경기 고양시 덕양구 고양동240-6,2007-11-10,주택단지,운영,경기 고양시 덕양구 고양동,민간
