등록일자,업종,상호,소재지(도로명),
1992-03-27,국내여행업,(주)명진관광여행사,"경기도 고양시 일산동구 탄중로 429, 204호 (중산동, 성지프라자)",
1997-06-17,국내여행업,(주)우리여행,"경기도 고양시 일산동구 중앙로 1130 (마두동,올리브상가 C동 2층 5호)",
1999-03-02,국내여행업,(주)조은여행,"경기도 고양시 일산동구 탄중로 429, 204호 (중산동, 성지프라자)",
1999-03-31,국내여행업,(주) 세연여행사,"경기도 고양시 일산서구 중앙로 1406, 217호 (주엽동, 한솔코아)",
2000-11-13,국내여행업,(주)자유로여행사,"경기도 고양시 일산서구 고양대로 648, 307호 (일산동, 월드메르디앙)",
2000-06-05,국내여행업,(주)한라산가자투어,"경기도 고양시 덕양구 중앙로 440, 303호 (행신동, 센터프라자)",
2002-03-11,국내여행업,(주) 하나팬더여행사,경기도 고양시 일산서구 덕이로 200 (덕이동),
2002-07-03,국내여행업,(주) 에어 네트워크,"경기도 고양시 일산서구 중앙로 1437, 506호 (주엽동,화성프라자)",
2003-05-14,국내여행업,(주)로또투어,"경기도 고양시 일산동구 무궁화로 7-63, 539호 (장항동,우인아크리움2차)",
2005-09-02,국내여행업,일산하나여행사,"경기도 고양시 일산동구 중앙로 1048, 201, 202호 (백석동,일산 르메이에르 프라자 2층)",
2005-12-26,국내여행업,(주) 아름다운여행,"경기도 고양시 일산서구 중앙로 1426, 708호 (주엽동,일송노블레스빌딩)",
2006-04-03,국내여행업,(주) 오이시 여행사,경기도 고양시 일산동구 견달산로225번길 93 (식사동),
2006-04-03,국내여행업,하나 글로벌 여행사,경기도 고양시 일산동구 중앙로 1182 (마두동),
2008-11-21,국내여행업,(주)디엠플러스,"경기도 고양시 일산동구 일산로 142, 511호 (백석동, 유니테크벤처타운)",
2009-04-20,국내여행업,(주)노블레스트랜스포,경기도 고양시 일산동구 은마길 129 (설문동),
2010-02-22,국내여행업,(주)제누인월드,"경기도 고양시 일산동구 중앙로1275번길 60-21, 901호 (장항동, 크리스탈빌딩)",
2010-08-05,국내여행업,(주)진하나여행사,"경기도 고양시 일산서구 덕이로 212, 204호 (덕이동)",
2010-08-17,국내여행업,지니여행사,"경기도 고양시 일산동구 호수로 672, 706호 (장항동,대우메종리브르)",
2004-12-29,국내여행업,우주투어 주식회사,"경기도 고양시 일산서구 고봉로 317, 2층 202호 (일산동, 고봉상가)",
2011-07-21,국내여행업,로또여행사,"경기도 고양시 덕양구 지도로 107, 2층 1호 (토당동)",
2002-06-10,국내여행업,(주)월드투어넷,"경기도 고양시 일산동구 중앙로 1233, 433호 (장항동, 현대타운빌)",
2012-02-27,국내여행업,(주)세한미디어넷,"경기도 고양시 일산동구 정발산로 31-10, 902호 (장항동, 파크프라자)",
2007-09-21,국내여행업,주식회사 유진항공해운,"경기도 고양시 일산동구 중앙로 1011 (백석동, 현대밀라트2차 에이동 323호)",
2012-08-07,국내여행업,(주)내나라관광,"경기도 고양시 덕양구 무원로36번길 54, 205호 (행신동, 예일크리닉빌딩)",
2012-10-14,국내여행업,가온투어(주),"경기도 고양시 덕양구 충장로 7, 204호 (행신동, 미우프라자)",
2013-01-31,국내여행업,주식회사 제이투어,경기도 고양시 일산동구 무궁화로 237 (중산동),
2013-07-01,국내여행업,미도관광여행사,"경기도 고양시 덕양구 중앙로 554, 208호 (행신동, 희성프라자)",
2013-08-05,국내여행업,디케이투어,"경기도 고양시 덕양구 화중로104번길 28 (화정동, 시네마프라자)",
2013-09-30,국내여행업,굿웨이투어(Goodway tour),"경기도 고양시 일산동구 무궁화로 20-18, 하임빌로데오빌딩 508-29호 (장항동)",
2014-03-10,국내여행업,(주)에이투어,"경기도 고양시 덕양구 무원로6번길 61, 지엘리치빌2차 706-1호 (행신동)",
2010-09-17,국내여행업,(주)아이러브투어,"경기도 고양시 덕양구 통일로 343, 삼송메디피아 206호 (신원동)",
2012-09-06,국내여행업,(주)스마일여행사,"경기도 고양시 덕양구 서정마을1로 4-9, 501호 (행신동, 미라클플라자)",
2014-12-04,국내여행업,주식회사 투어이분의 일,"경기도 고양시 덕양구 화정로 65, 106호 (화정동, 한화오벨리스크)",
2015-04-15,국내여행업,와이제이투어(YJ TOUR),"경기도 고양시 덕양구 신원로 35, 103호 (신원동, 현대힐스테이트상가)",
2011-10-31,국내여행업,주식회사 제이디인터내셔널코리아,"경기도 고양시 일산서구 중앙로 1443, 302호 (주엽동, 가람상가)",
2015-08-11,국내여행업,크리에듀,"경기도 고양시 일산동구 백마로 223, 301호 (장항동, 현대 에뜨레보)",
2015-12-08,국내여행업,주식회사 홀리스트,"경기도 고양시 덕양구 통일로 140 (동산동, 삼송테크노밸리)",
2016-02-17,국내여행업,주식회사 이노스닷컴,"경기도 고양시 덕양구 충장로 11, 8층 1,2호 (행신동)",
2012-10-29,국내여행업,주식회사 산책,"경기도 고양시 덕양구 무원로 6, 4층 (행신동, 무원빌딩)",
2011-06-21,국내여행업,우주여행사,"경기도 고양시 덕양구 호국로790번길 93, 1층 (성사동)",
2016-03-21,국내여행업,주식회사 에어비즈투어,"경기도 고양시 덕양구 무원로6번길 12, 151호 (행신동)",
2012-09-26,국내여행업,주식회사 다보여행사,"경기도 고양시 일산동구 호수로 336, 브라운스톤 101동 1511호 (백석동)",
2016-07-07,국내여행업,주식회사 즐거운여행사,"경기도 고양시 일산동구 무궁화로 37, 605호 (장항동, 노블리제)",
2012-11-06,국내여행업,(주)어컴퍼니투어,"경기도 고양시 덕양구 무원로6번길 12, 7층 715호 (행신동, 대흥빌딩)",
2016-09-02,국내여행업,(주)우리동네여행사,"경기도 고양시 일산동구 공릉천로 397, 2층 1호 (지영동)",
2001-12-20,국내여행업,(주)위크엔드여행사,"경기도 고양시 일산서구 중앙로 1388, 3층 319-2호 (주엽동, 태영프라자)",
2017-01-05,국내여행업,주식회사 한석투어,"경기도 고양시 일산서구 고양대로662번길 19, 601호 (일산동)",
2017-02-13,국내여행업,주식회사 엠씨케이(MCK),"경기도 고양시 덕양구 권율대로 894, 7층 703호 (신원동, 새한일프라자)",
2017-02-13,국내여행업,위더스 골프투어,"경기도 고양시 덕양구 충경로 48, 401호 (행신동, 진일프라자2차)",
2013-11-07,국내여행업,(주)프로홍우,"경기도 고양시 덕양구 무원로6번길 12, 204호 (행신동)",
2012-01-04,국내여행업,(주)렛츠고 투어,"경기도 고양시 덕양구 백양로 79, 1층 (화정동, 이마트)",
2010-03-11,국내여행업,(주)명진관광,"경기도 고양시 일산동구 중앙로 1123, 상가동 207호 (백석동, 흰돌마을2단지아파트)",
2015-03-11,국내여행업,여행이 주는 즐거움,"경기도 고양시 덕양구 용현로5번길 24, 203호 (행신동, 백산오피스텔)",
2017-07-03,국내여행업,플라이투어,"경기도 고양시 일산동구 중앙로 1036 (백석동, 베스트 고양터미널)",
2017-07-29,국내여행업,씨엘투어(CL TOUR),"경기도 고양시 덕양구 푸른마을로 6, 1층 123호 (고양동, 고양 e PLAZA)",
2010-11-29,국내여행업,주식회사 내셔널투어시스,"경기도 고양시 덕양구 통일로 345, 유창 프라자 403호 (신원동)",
2017-12-05,국내여행업,(주) 대신해운항공,"경기도 고양시 일산동구 무궁화로 20-38, 406호 (장항동)",
2018-01-02,국내여행업,모드니여행사,"경기도 고양시 일산동구 고봉로770번길 5, 가동 2층 (설문동)",
2018-01-17,국내여행업,좋은 친구들,"경기도 고양시 일산동구 호수로 672, 대우메종리브르 208호 (장항동)",
2012-02-13,국내여행업,모아투어,"경기도 고양시 일산동구 위시티로 81, 풍상트윈시티 2동 202호 (식사동)",
2018-05-15,국내여행업,가자투어,"경기도 고양시 덕양구 중앙로 440, 센타프라자 501호 (행신동)",
2014-02-28,국내여행업,(주)그레이트북스,"경기도 고양시 일산동구 일산로 207, 신현대쇼핑타운 402호 (마두동)",
2018-05-24,국내여행업,민투어(MEAN TOUR),"경기도 고양시 일산동구 중앙로 1305-30, 마이다스 오피스텔 920호 (장항동)",
2018-08-31,국내여행업,주식회사 싱글벙글여행사,"경기도 고양시 일산서구 덕이로 30-20, 양우씨네플렉스 3이-109호호 (덕이동)",
2016-10-24,국내여행업,(주)엔제이티앤알,"경기도 고양시 일산동구 호수로 336, 브라운스톤 103동 1011호 (백석동)",
2019-02-13,국내여행업,안나스투어 주식회사,"경기도 고양시 일산동구 중앙로 1227, 동양메이저빌오피스텔 3층 307호 (장항동)",
2019-02-21,국내여행업,씨유,경기도 고양시 일산동구 백석로71번길 39 (백석동),
2019-03-15,국내여행업,(주)월드원 릴로케이션,"경기도 고양시 일산동구 호수로 672, 대우메종리브르 802호 (장항동)",
2019-04-12,국내여행업,비더비즈,"경기도 고양시 일산동구 무궁화로 43-33, 동하넥서스빌 305호 (장항동)",
2019-04-12,국내여행업,코리아크루즈 여행사,"경기도 고양시 일산동구 호수로 672, 대우메종리브르 1317호 (장항동)",
2019-09-02,국내여행업,(주)두바퀴,경기도 고양시 덕양구 호국로812번길 63 (성사동),
1988-05-05,국외여행업,(합명)고양관광여행사,"경기도 고양시 일산서구 일청로12번길 2-1, 1층 (일산동)",
1998-02-21,국외여행업,(주)나운관광여행사,"경기도 고양시 일산동구 중앙로 1171 (장항동,현대프리켄트빌딩 2층)",
1999-10-13,국외여행업,(주)명진관광여행사,"경기도 고양시 일산동구 탄중로 429, 204호 (중산동, 성지프라자)",
1999-11-02,국외여행업,(주)씨에투어여행사,경기도 고양시 일산동구 중앙로 1171 (장항동),
1999-03-31,국외여행업,(주) 세연여행사,"경기도 고양시 일산서구 중앙로 1406, 217호 (주엽동, 한솔코아)",
2000-11-13,국외여행업,(주)자유로여행사,"경기도 고양시 일산서구 고양대로 648, 307호 (일산동, 월드메르디앙)",
2000-03-07,국외여행업,(주)조은여행,"경기도 고양시 일산동구 탄중로 429, 204호 (중산동, 성지프라자)",
2000-07-10,국외여행업,(주)우리여행,"경기도 고양시 일산동구 중앙로 1130 (마두동,올리브상가 C동 2층 5호)",
2002-07-03,국외여행업,(주) 에어 네트워크,"경기도 고양시 일산서구 중앙로 1437, 506호 (주엽동,화성프라자)",
2002-03-11,국외여행업,(주) 하나팬더여행사,경기도 고양시 일산서구 덕이로 200 (덕이동),
2002-05-15,국외여행업,(주)패밀리월드투어,"경기도 고양시 일산서구 원일로 72, 3층 (일산동)",
2003-03-24,국외여행업,(주)한라산가자투어,"경기도 고양시 덕양구 중앙로 440, 센타프라자 303호 (행신동)",
2003-12-24,국외여행업,(주)투어리더스항공,"경기도 고양시 일산서구 중앙로 1426, 810동 1호 (주엽동,일송노블레스)",
2003-05-14,국외여행업,(주)로또투어,"경기도 고양시 일산동구 무궁화로 7-63, 539호 (장항동,우인아크리움2차)",
2004-01-12,국외여행업,(주) 나들이 국제여행사,경기도 고양시 일산서구 원일로74번길 18 (일산동),
2004-03-12,국외여행업,필 항공 여행사,"경기도 고양시 일산서구 중앙로 1391 (주엽동,레이크타운 3층 S-10)",
2005-04-29,국외여행업,(주) 동방트래블,"경기도 고양시 일산동구 중앙로 1202, 302호 (마두동,3,4 금강프라자빌딩)",
2005-09-02,국외여행업,일산하나여행사,"경기도 고양시 일산동구 중앙로 1048, 201, 202호 (백석동,일산 르메이에르 프라자 2층)",
2005-09-29,국외여행업,(주) 여행세상,"경기도 고양시 일산동구 정발산로 47, 203-1호 (장항동, 웅신프라자)",
2005-11-11,국외여행업,미주랜드,"경기도 고양시 덕양구 충장로 2, 111호 (행신동,외 1필지 센트럴빌딩 1층)",
2005-12-08,국외여행업,(주) 시온여행사,"경기도 고양시 덕양구 화중로 100, 907호 (화정동, 비젼타워21)",
2005-12-26,국외여행업,(주) 아름다운여행,"경기도 고양시 일산서구 중앙로 1426, 708호 (주엽동,일송노블레스빌딩)",
2006-04-03,국외여행업,(주) 오이시 여행사,경기도 고양시 일산동구 견달산로225번길 93 (식사동),
2006-04-03,국외여행업,하나 글로벌 여행사,경기도 고양시 일산동구 중앙로 1182 (마두동),
2007-11-23,국외여행업,(주) 월드탑투어,"경기도 고양시 일산동구 무궁화로 43-15, 204-1호 (장항동, 한강세이프빌)",
2008-01-14,국외여행업,Tour F·C,"경기도 고양시 일산동구 정발산로 24, 2층 제케이-202호 (장항동, 웨스턴돔)",
2008-04-14,국외여행업,비젼 여행사,"경기도 고양시 덕양구 무원로6번길 36, 604호 (행신동, 남정씨티프라자6차)",
2008-07-07,국외여행업,(주)디엠플러스,"경기도 고양시 일산동구 일산로 142, 511호 (백석동, 유니테크벤처타운)",
2008-10-14,국외여행업,(주)쓰리씨투어,"경기도 고양시 일산서구 중앙로 1456, 2층 204호 (주엽동, 서현프라자)",
2008-12-02,국외여행업,(주)망고투어,"경기도 고양시 일산동구 무궁화로 43-33, 404호 (장항동,동하넥서스)",
2009-04-01,국외여행업,(주)여행닷컴,"경기도 고양시 덕양구 화정로 53-1, 글로리아빌딩 405호 (화정동)",
2009-04-15,국외여행업,투어이즈아트(주),"경기도 고양시 일산동구 중앙로 1305-30, 401호 (장항동,삼성마이다스)",
2007-05-17,국외여행업,(주)코라오투어,"경기도 고양시 일산동구 강석로 123, A동 206호 (마두동, 뉴삼창마트)",
2009-11-13,국외여행업,(주)킨덱스투어,"경기도 고양시 일산동구 숲속마을로 40, 201호 (풍동,유진프라자)",
2010-02-22,국외여행업,(주)제누인월드,"경기도 고양시 일산동구 중앙로1275번길 60-21, 901호 (장항동, 크리스탈빌딩)",
2005-12-14,국외여행업,(주)토니여행사,"경기도 고양시 일산동구 장백로 19, 1035호 (백석동, 더루벤스카운티)",
2010-07-19,국외여행업,한중 하이코리아,"경기도 고양시 일산서구 원일로 91-1, 2층 (일산동)",
2010-08-05,국외여행업,(주)진하나여행사,"경기도 고양시 일산서구 덕이로 212, 204호 (덕이동)",
2004-12-29,국외여행업,우주투어 주식회사,"경기도 고양시 일산서구 고봉로 317, 202호 (일산동, 고봉상가)",
2010-10-01,국외여행업,하나여행사,"경기도 고양시 일산서구 대화로 362 (대화동, 농수산물유통센터 1층)",
2011-04-01,국외여행업,(주)주현여행사,경기도 고양시 덕양구 용현로 20 (행신동),
2011-05-23,국외여행업,롯데관광덕양주식회사,"경기도 고양시 덕양구 화정로 53-1, 213호 (화정동,글로리아빌딩)",
2000-01-26,국외여행업,(주)자연여행,"경기도 고양시 일산서구 중앙로 1376 (주엽동,강선마을 제상가동 비동 2층 12호)",
2011-08-26,국외여행업,굿웨이투어(Goodway tour),"경기도 고양시 일산동구 무궁화로 20-18, 하임빌로데오빌딩 508-29호 (장항동)",
2006-09-26,국외여행업,(주)무비투어,"경기도 고양시 덕양구 화신로260번길 57, 2층 233호 (화정동)",
2002-06-10,국외여행업,(주)월드투어넷,"경기도 고양시 일산동구 중앙로 1233, 433호 (장항동, 현대타운빌)",
2011-12-22,국외여행업,롯데티엔에스(주),"경기도 고양시 일산동구 중앙로 1283, 10층 (장항동, 롯데백화점 일산점 )",
2012-04-12,국외여행업,(주)투어세계로,"경기도 고양시 덕양구 지도로 108, 3층 (토당동)",
2012-05-11,국외여행업,스토리투어,"경기도 고양시 일산동구 무궁화로 7-45, 1213호 (장항동, 양우로데오시티플러스)",
2007-09-21,국외여행업,(주)유진항공해운,"경기도 고양시 일산동구 중앙로 1011, 323호 (백석동, 현대밀라트 2차 에이동)",
2012-08-07,국외여행업,(주)내나라관광,"경기도 고양시 덕양구 무원로36번길 54, 205호 (행신동, 예일크리닉빌딩)",
2012-10-23,국외여행업,린투어(주),"경기도 고양시 덕양구 무원로6번길 12, 513호 (행신동, 대흥프라자)",
2005-12-21,국외여행업,(주)상상투어,"경기도 고양시 덕양구 통일로 140, C동 212호 (동산동, 삼송테크노밸리)",
2013-01-31,국외여행업,주식회사 제이투어,경기도 고양시 일산동구 무궁화로 237 (중산동),
2004-03-15,국외여행업,(주)세모여행사,"경기도 고양시 일산동구 호수로 358-25, 동문타워II 624호 (백석동)",
2013-07-01,국외여행업,미도관광여행사,"경기도 고양시 덕양구 중앙로 554, 208호 (행신동, 희성프라자)",
