업종,상영관명,연락처,상영관소재지(도로명)
영화상영관,롯데시네마 라페스타(1관),070-7465-0518,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)"
영화상영관,롯데시네마 라페스타(2관),070-7465-0518,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)"
영화상영관,롯데시네마 라페스타(3관),070-7465-0518,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)"
영화상영관,롯데시네마 라페스타(4관),070-7465-0518,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)"
영화상영관,롯데시네마 라페스타(5관),070-7465-0518,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)"
영화상영관,롯데시네마 라페스타(6관),070-7465-0518,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)"
영화상영관,롯데시네마 라페스타(7관),070-7465-0518,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)"
영화상영관,롯데시네마 라페스타(8관),,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)"
영화상영관,롯데시네마주엽(일산)2관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,롯데시네마주엽(일산)3관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,롯데시네마주엽(일산)4관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,롯데시네마주엽(일산)5관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,롯데시네마주엽(일산)6관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,롯데시네마주엽(일산)1관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,롯데시네마주엽(일산)7관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,롯데시네마주엽(일산)8관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,롯데시네마주엽(일산)9관,,"경기도 고양시 일산서구 중앙로 1436, 9,10층 (주엽동, 그랜드 백화점)"
영화상영관,(주)씨지브이 화정1관,,경기도 고양시 덕양구 화중로104번길 28 (화정동)
영화상영관,(주)씨지브이 화정2관,,"경기도 고양시 덕양구 화중로104번길 28 (화정동,씨네마플러스 4/5/6층)"
영화상영관,(주)씨지브이 화정3관,,"경기도 고양시 덕양구 화중로104번길 28 (화정동,씨네마플러스 4/5/6층)"
영화상영관,(주)씨지브이 화정4관,,"경기도 고양시 덕양구 화중로104번길 28 (화정동,씨네마플러스 4/5/6층)"
