의료기관명,의료기관주소(도로명),의료기관전화번호
세검정한의원,"경기도 고양시 덕양구 동송로 33, 이편한세상시티삼송 1차 상가동 136호 (동산동)",02-381-7550
내유참가정의학과의원,"경기도 고양시 덕양구 내유길 27, 2 층 (내유동)",070-4266-2628
향동한의원,"경기도 고양시 덕양구 향기로 68, 모아프라자 304호 (향동동)",02-3158-1075
원당바른정형외과의원,"경기도 고양시 덕양구 호국로789번길 6, 중앙빌딩 4층 1호 (주교동)",031-962-8275
오슬견한의원,"경기도 고양시 덕양구 화랑로165번길 19-1, 1,2층 (화전동)",02-3158-3619
연세엘치과의원,"경기도 고양시 덕양구 중앙로558번길 16-12, 엘지프라자 201,202호 (행신동)",031-938-2275
채움한의원,"경기도 고양시 덕양구 덕수천2로 150, e편한세상시티삼송2차 상가동 216, 217 호 (동산동)",02-2135-3306
타토아의원,"경기도 고양시 덕양구 고양대로 1955, 스타필드 고양 4층 4200-6호 (동산동)",02-371-0221
행신애플소아청소년과의원,"경기도 고양시 덕양구 무원로6번길 20, M타워 203호 (행신동)",031-972-3119
다나은의원,"경기도 고양시 덕양구 도래울로 42-5, 3층 301,302호 (도내동)",031-812-5001
로즈산부인과의원,"경기도 고양시 덕양구 삼송로 88, 오성프라자 202호 (삼송동)",02-381-9115
봄여성의원,"경기도 고양시 덕양구 중앙로 622, J.S빌딩 3층 (화정동)",031-810-2222
서울행복담은치과의원,"경기도 고양시 덕양구 삼송로 190-5, 외 2필지 2층 일부 (삼송동)",02-381-0300
행신준재활의학과의원,"경기도 고양시 덕양구 무원로6번길 20, M타워 3층,8층 (행신동)",031-972-4777
연세맘스그린여성의원,"경기도 고양시 덕양구 무원로6번길 20, M타워 5층 504,505호 (행신동)",031-938-3070
닥터서울한의원,"경기도 고양시 덕양구 능곡로13번길 15, 1층,2층 101~103호, 207~209호 (토당동, 한강 능곡역 성원상떼빌)",031-819-9900
아란소아청소년과의원,"경기도 고양시 덕양구 덕수천2로 150, e-편한세상시티삼송2차상가동 226,227호 (동산동)",02-371-2422
경희우소한의원,"경기도 고양시 덕양구 삼송로 189-7, 희성플라자201호 (삼송동)",02-386-6101
다섯가지약속치과의원,"경기도 고양시 덕양구 화중로104번길 30, 한성리츠빌 203~204호 (화정동)",031-963-2080
코아이비인후과의원,"경기도 고양시 덕양구 마상로154번길 68, 문덕메디칼빌딩 301호,303호호 (성사동)",031-963-5014
화정본정형외과의원,"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 5층 501~504호 (화정동)",031-974-7587
힘찬걸음한의원,"경기도 고양시 덕양구 화신로260번길 64, 삼진빌딩 4층 401호 (화정동)",031-979-5077
초한의원,"경기도 고양시 덕양구 화신로272번길 3, 대경프라자 II 401호 (화정동)",031-965-3102
