순번,구분,업체명,주소,연락처,비고
1,주사무소,가나렌트카㈜,경기도 고양시 일산동구 고양대로 892(풍동),031-904-4777,
2,주사무소,고릴라렌트카㈜,"경기도 고양시 일산서구 중앙로 1406, 507호(주엽동, 한솔코아)",031-925-8841,031-925-8842
3,주사무소,㈜금마렌터카,"경기도 고양시 일산동구 경의로 25-37, 201동 835호 (백석동, 동문굿모닝힐2차)",031-902-7858,
4,주사무소,(주)금탑렌트카,"경기도 고양시 일산서구 탄중로 114-2, 1층(덕이동)",031-968-5544,
5,주사무소,㈜케이카렌탈,"경기도 고양시 일산서구 탄중로 114-2, 1층(덕이동)",070-4247-4111,
6,주사무소,(주)나인렌터카,"경기도 고양시 일산동구 백마로 195, 2163호(장항동, 일산방송컴플렉스)",031-907-7797,
7,주사무소,뉴삼우렌트카㈜,"경기도 고양시 덕양구 원당로59번길 50-15, 101동 102호(주교동,인정파크뷰)",031-969-0772,
8,주사무소,(주)리베렌트카,"경기도 고양시 덕양구 중앙로 557번길18, 1층 110호(바로주차프라자, 행신동)",031-974-5112,
9,주사무소,(주)브이아이피렌터카,"경기도 고양시 일산서구 강성로 271, 201호(대화동,대화씨티빌)",031-914-7711,
10,주사무소,(주)세연렌트카,"경기도 고양시 일산동구 중산동 1561번지, 대성상가 3층 301호 일부",031-976-7273,
11,주사무소,㈜뉴가나다,"경기도 고양시 일산서구 중앙로 1581, 116호",031-924-9988~9,
12,주사무소,(주)아시아렌터카,"경기도 고양시 덕양구 용현로 3, 508호(행신동,행신프라자)",031-979-8600,
13,주사무소,(주제트렌트카,"경기도 고양시 일산서구 경의로789번길 20, 1층 3호",031-964-7002,
14,주사무소,이엔에이렌탈(주),경기도 고양시 일산동구 고봉로 258(중산동),031-975-5483,
15,주사무소,(주)케이렌트카,"경기도 고양시 일산동구 호수로 672, 905호(장항동, 대우메종리브르)",031-925-1088,
16,주사무소,㈜블루렌트,"경기도 고양시 덕양구 서정마을1로 8, 미래프라자 503호",031-970-9801,
17,주사무소,(주)한미렌트카,"경기도 고양시 일산동구 고양대로 762, 212호(중산동,하늘빌딩)",031-924-5672,
18,주사무소,(주)가온,"경기도 고양시 일산동구 중앙로 1192, (마두동 월드프라자 601호)",1644-7185,
19,주사무소,에이스렌터카㈜,"경기도 고양시 일산서구 주화로 210, 901호",031-911-8272,
