분류,시 설 명,소 재 지,이용인원,연락처,FAX
생활시설,홀트일산복지타운,경기도 고양시 일산서구 탄현로 42 (탄현동 41-1),60,031-914-6632,031-914-1222
생활시설,홀트일산요양원,경기도 고양시 일산서구 탄현로 42 (탄현동 41-1),155,031-914-6632,031-914-1222
생활시설,애덕의집,경기도 고양시 덕양구 혜음로 284 (벽제동 486),55,031-962-4450,031-964-1802
생활시설,벧엘의집,경기도 고양시 일산동구 공릉천로71번길 107-29,29,031-962-2788,031-963-2788
생활시설,꿈나무의집,경기도 고양시 일산동구 은마길79번길 113 (설문동 492),26,031-977-3452,031-977-5860
생활시설,소망복지원,경기도 고양시 덕양구 보광로130 (벽제동 548-1),29,031-962-7674,031-963-3146
생활시설,천사의집,경기도 고양시 덕양구 동헌로 363-18 (고양동 421-1),29,031-963-6506,031-963-8708
생활시설,사랑의동산,경기도 고양시 덕양구 행주산성로116번길 8 (행주외동 178-5),29,031-970-2752,031-971-4741
생활시설,늘사랑의집,경기도 고양시 덕양구 통일로1018번길 112-6 (관산동 551-5),29,031-962-5391,
단기거주시설,우림누리,경기도 고양시 일산동구 성현로 93번길 25-19 101호,10,031-919-3485,031-975-6721
단기거주시설,나너우리센터,경기도 고양시 일산동구 문원길170번길 103-33,10,031-969-4182,031-969-4183
단기거주시설,고양시장애인주간보호센터 부설 단기보호시설,경기도 고양시 일산서구 고양대로672번길 15-7,10,031-977-6723,031-975-6721
공동생활가정,홀트자활의집,"경기도 고양시 일산서구 일현로 140, 103동 704호",4,031-918-9416,031-914-1222
공동생활가정,다움,"경기도 고양시 덕양구 은빛로77번길 39-15 (화정동 881-1,3층)",4,031-962-3009,031-962-3009
공동생활가정,채움늘,"경기도 고양시 덕양구 지도로124번길 79, 101호",4,031-965-4183,031-969-4183
공동생활가정,한사랑의집,경기도 고양시 일산동구 성현로93번길 25-19 102호,4,031-977-7458,031-975-6721
공동생활가정,바울홈,"경기도 고양시 일산서구 일현로 140, 103동 603호",4,031-914-6633,031-914-1222
공동생활가정,한울그룹홈,"경기도 고양시 일산서구 대산로223번길 16-10, 101호",4,031-919-3598,031-925-3596
공동생활가정,한소망의집,경기도 고양시 일산동구 성현로93번길 25-19 2층,4,031-977-7970,031-975-6721
공동생활가정,사랑의집,경기도 고양시 일산동구 일산로316번길 19-6,8,031-907-9795,031-907-9773
공동생활가정,기쁨,경기도 고양시 일산동구 견달산로225번길 21-91 가동 2층,4,070-4250-2990,031-905-6990
공동생활가정,축복,경기도 고양시 일산동구 견달산로225번길 21-91 가동 1층,4,070-4251-6990,031-905-6990
공동생활가정,평화,경기도 고양시 일산동구 견달산로225번길 21-91 나동,4,031-904-6990,031-904-6994
,,,,,
,,,,,
