연번,신고번호,신고일자,영업소명,영업소주소(도로명),영업소전화번호
1,제2호,2004-04-21,(주)신한이에스,경기도 고양시 덕양구 마상로134번길 72 (주교동),031-964-0640
2,제3호,2012-07-05,백십자환경개발(주),경기도 고양시 일산동구 하늘마을로93번길 18-8 (중산동),031-908-4488
3,제8호,2013-02-25,연흥산업,경기도 고양시 일산동구 경의로 513-30 (마두동),031-921-3991
4,제9호,1996-03-08,그린FRP다역,경기도 고양시 일산동구 장항동 693-9번지,031-917-9487
5,제30호,2006-02-20,대명기업,경기도 고양시 덕양구 은빛로77번길 29 (화정동),031-968-2178
6,제40호,2000-03-03,(주)토탈홈서비스,경기도 고양시 일산동구 장백로 184 (장항동),031-907-0333
7,제47호,2018-01-12,(주)종합관리티엠코리아,경기도 고양시 일산서구 산현로 11  부건프라자 502호 (탄현동),031-924-3999
8,제49호,2013-07-16,대성환경개발,경기도 고양시 덕양구 원당로59번길 4-5 (주교동),031-965-2431
9,제50호,2017-03-23,(주)경암,경기도 고양시 일산동구 호수로 646-24 (장항동),031-902-9814
10,제53호,2010-03-03,주식회사 선우,경기도 고양시 일산동구 숲속마을2로 169  (풍동),031-938-7500
11,제54호,2005-06-01,크린코리아,경기도 고양시 일산서구 대산로 183 (대화동  주엽동(문촌마을 6단지 상가)),031-918-7904
12,제2006-3호,2017-08-03,우주환경,경기도 고양시 덕양구 고양시청로 13-6  108호 (주교동 성광빌딩),031-969-3322
13,제2006-4호,2014-07-24,(주)재원이엔씨,경기도 고양시 덕양구 화신로 273  702호 (화정동  명지프라자),031-970-2100
14,제2006-7호,2006-04-19,삼진방역공사,경기도 고양시 일산서구 고양대로 618  풍원리빙프라자동 117호 (일산동),031-914-0715
15,제2007-1호,2017-11-13,삼원산업,경기도 고양시 일산동구 일산로286번길 48-13 (마두동),031-924-1301
16,제2007-2호,2017-12-27,(주)동남,경기도 고양시 일산동구 고봉로 626 (성석동),031-907-4121
17,제2008-1호,2009-12-02,한마음이앤지(주),"경기도 고양시 일산동구 무궁화로 32-21, 메탈릭타워 206호(장항동)",031-902-9532
18,제2008-3호,2008-09-12,대흥환경,"경기도 고양시 덕양구 무원로6번길 12, 대흥프라자 710호(행신동)",031-970-8506
19,제2008-4호,2014-10-07,보성환경,경기도 고양시 덕양구 지도로42번길 5  1층 4호 (토당동  조화빌딩),031-979-5433
20,제2009-002호,2009-02-24,와이티산업(주),경기도 고양시 일산동구 백석로71번길 46  (백석동),031-903-2396
21,제2009-003호,2009-02-26,대성환경,경기도 고양시 덕양구 고양대로1384번길 53  103호 (성사동  (단지내상가)),031-979-5558
22,제2009-05호,2017-04-06,(주)좋은서비스,경기도 고양시 덕양구 무원로6번길 36  남정씨티프라자6차 6층 604호 (행신동),031-938-1616
23,제2009-6호,2009-11-12,(주)신세계환경,경기도 고양시 일산동구 일산로394번길 5-4 (정발산동),031-908-7482
24,제2009-07호,2011-02-17,대승종합관리(주),경기도 고양시 덕양구 중앙로 550  603호 (행신동 삼일프라자),031-938-9265~6
