"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
"고양시청",주차장 입구 전 우측,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,한국자동차환경협회,1661-9408,37.658415,126.831961,2019-06-19
"일산동구청",주차장 좌측,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 중앙로 1256,경기도 고양시 일산동구 마두동 815,한국자동차환경협회,1661-9408,37.6588817367,126.7749581348,2019-06-19
"롯데마트 주엽점",지하주차장 2층 210구역,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산서구 중앙로 1496,경기도 고양시 일산서구 주엽동 15,한국자동차환경협회,1661-9408,37.6731896579,126.7552416111,2019-06-19
"롯데마트 고양점",지상주차장 4층 422구역,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 충장로 150,경기도 고양시 덕양구 행신동 941,한국자동차환경협회,1661-9408,37.6251885101,126.836162,2019-06-19
"고양종합운동장 부설주차장",대형주차장 왼쪽도로변,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320,한국자동차환경협회,1661-9409,37.6764216950,126.7430655661,2019-06-19
"한국전력공사 고양지사",1층주차장,경기도,연중무휴,00:00,00:00,Y,Y,듀얼타입,7,2,N,경기도 고양시 일산동구 장백로 39,경기도 고양시 일산동구 백석동 1310,한국전력공사,1661-9408,37.6413832404,126.7877960843,2019-06-19
"롯데마트 화정점",2층주차장 입구 정면,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화중로 66,경기도 고양시 덕양구 화정동 982,한국자동차환경협회,1661-9408,37.6329479263,126.8311242823,2019-06-19
"덕양구청 주차장",입구 좌측,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화중로 104번길 13,경기도 고양시 덕양구 화정동 955,한국자동차환경협회,1661-9409,37.6374653264,126.8322923526,2019-06-19
"고양시 이마트(덕이점)",본관2층 C6구역,경기도,연중무휴,00:00,00:00,Y,N,듀얼타입,2,0,N,경기도 고양시 일산서구 경의로 798,경기도 고양시 일산서구 덕이동 205,포스코ICT,1600-4047,37.6885022441,126.7603067754,2019-06-19
"고양시 이마트(화정점)",본관4층 1구역,경기도,연중무휴,00:00,00:00,Y,N,듀얼타입,2,0,N,경기도 고양시 덕양구 백양로 79,경기도 고양시 덕양구 화정동 976,포스코ICT,1600-4047,37.632612,126.8333997389,2019-06-19
"고양시 이마트(타운킨텍스점)",지하2층,경기도,연중무휴,00:00,00:00,Y,N,듀얼타입,5,0,N,경기도 고양시 일산서구 킨텍스로 171,경기도 고양시 일산서구 대화동 2703,포스코ICT,1600-4047,37.6615829572,126.7440641897,2019-06-19
"고양시 원마운트",1주차장 입구,경기도,연중무휴,00:00,00:00,Y,N,듀얼타입,3,0,N,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동 2606,포스코ICT,1600-4047,37.6645531969,126.7545264716,2019-06-19
"고양시 이마트(일산점)",본관B2층 G6구역,경기도,연중무휴,00:00,00:00,Y,N,듀얼타입,2,0,N,경기도 고양시 일산동구 중앙로 1124,경기도 고양시 일산동구 백석동 1194,포스코ICT,1600-4047,37.6480872666,126.7822563744,2019-06-19
"고양시 이마트(풍산점)",본관6층 A구역,경기도,연중무휴,00:00,00:00,Y,N,듀얼타입,1,0,N,경기도 고양시 일산동구 무궁화로 237,경기도 고양시 일산동구 중산동 1809,포스코ICT,1600-4047,37.6738533952,126.7871414203,2019-06-19
"탄현제5공용주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,,경기도 고양시 일산서구 탄현동 1489,지엔텔,1544-4279,37.6943801442,126.7690174313,2019-06-19
"백석2공영주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 장백로 15-7,경기도 고양시 일산동구 백석동 1315,한국전기차충전서비스,1522-1782,37.6396237446,126.7893737030,2019-06-19
"킨텍스 공영주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,Y,Y,듀얼타입,2,1,N,경기도 고양시 일산서구 킨텍스로 237-18,경기도 고양시 일산서구 대화동 2600-4,한국전기차충전서비스,1522-1782,37.6671977129,126.7473409117,2019-06-19
"원당환승주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,Y,Y,듀얼타입,1,1,N,경기도 고양시 덕양구 호국로790번길 102,경기도 고양시 일산서구 성사동 394,한국전기차충전서비스,1522-1782,37.6540844328,126.8410986919,2019-06-19
"한국건설기술연구원",지상1층주차장,경기도,연중무휴,00:00,00:00,Y,Y,듀얼타입,2,1,N,경기도 고양시 일산서구 고양대로 315,경기도 고양시 일산서구 대화동 2311,한국전력공사,1661-9408,37.6721145179,126.7395484311,2019-06-19
"고양종합터미널환승주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 중앙로 1036,경기도 고양시 일산동구 백석동 1241,한국전력공사,1661-9408,37.6431777370,126.7896627969,2019-06-19
"능곡주민센터",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 토당로 83,경기도 고양시 덕양구 토당동 335-4,한국전력공사,1661-9408,37.6226932712,126.8180347582,2019-06-19
"여성회관(행신동)",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 용현로 48,경기도 고양시 덕양구 행신동 774,한국전력공사,1661-9408,37.6172599085,126.8362024106,2019-06-19
"화정환승공영주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화정로 지하 63,경기도 고양시 덕양구 화정동 963,한국전력공사,1661-9408,37.6349508467,126.8330457424,2019-06-19
"성사2공영주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,,경기도 고양시 덕양구 성사동 721,한국전기차충전서비스,1522-1782,37.6531982871,126.8386117952,2019-06-19
"주교1공영주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 고양대로 1330,경기도 고양시 덕양구 주교동 206-1,한국전기차충전서비스,1522-1782,37.6555995772,126.8317801418,2019-06-19
"백석1공영주차장",지상1층주차장,경기도,연중무휴,00:00,00:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 장백로 31-12,경기도 고양시 일산동구 백석동 1311,에스트래픽,080-805-0010,37.6405898737,126.7875173515,2019-06-19
