순번,업체명,운송사업 분류,주사무소,전화번호,팩스번호
,경기도전세버스협동조합,전세버스,"경기도 고양시 일산동구 고봉로 515-1, 1층",031-977-2103,031-976-6640
,(주)기승투어,전세버스,경기도 고양시 일산동구 산두로 167-8,031-911-7667,031-911-6410
,(주)뉴그랜드관광,전세버스,"경기도 고양시 일산동구 중앙로 1233, 433호(장항동)",031-902-0038,031-904-0019
,(주)대성투어,전세버스,경기도 고양시 일산동구 숲속마을로 50-38 에이동 505호,031-975-3674,031-977-9816
,(주)명진관광,전세버스,"경기도 고양시 일산동구 중앙로 1123, 207호(백석동)",031-932-1616,031-932-1618
,(주)미라클투어,전세버스,"경기도 고양시 덕양구 권율대로 890, 704호(신원동)",02-6925-3255,02-381-8486
,(주)버스랜드,전세버스,"경기도 고양시 일산동구 동국로 325-4, 2층",1566-7738,070-7614-2393
,(합)베스트투어,전세버스,경기도 고양시 일산동구 동국로 99-19(식사동) 1층,031-963-2212,02-333-2202
,(주)선인투어라인,전세버스,"경기도 고양시 일산동구 숲속마을1로 29-37, 304호(풍동, 서광 미르프라자)",02-739-8251,02-739-8250
,(주)신항공여행사,전세버스,경기도 고양시 일산동구 동국로 99-19(식사동),031-968-6442,031-968-6445
,신공항관광㈜,전세버스,경기도 고양시 일산동구 견달산로 287(식사동),031-968-6631,031-968-6630
,어울림관광협동조합,전세버스,"경기도 고양시 덕양구 마상로126번길 103, 302호(주교동)",031-966-8600,0505-380-8600
,(주)오이시여행사,전세버스,경기도 고양시 일산동구 견달산로225번길 93(식사동),031-966-8855,031-966-2050
,(주)오투투어,전세버스,경기도 고양시 덕양구 은빛로 53 코스미온빌 209호,031-963-8070,031-965-5515
,우주투어㈜,전세버스,"경기도 고양시 일산서구 고봉로 317, 202호(일산동)",031-932-2114,031-932-2225
,(주)전세계여행사,전세버스,"경기도 고양시 덕양구 화중로  96, 713호",031-968-8634,031-968-8635
,(주)풍광고속,전세버스,경기도 고양시 일산서구 덕산로243번길 26(덕이동),031-916-7388,031-916-7746
,(주)한라고속,전세버스,"경기도 고양시 일산동구 동국로 99,2층",02-739-8251,02-739-8250
,한성투어㈜,전세버스,"경기도 고양시 일산서구 송산로 399, 202호(가좌동)",031-917-0233,02-2666-0322
,(주)홍익관광복지재단,전세버스,경기도 고양시 덕양구 동선로 321-44(대자동),031-969-0984,02-3141-6448
,㈜호텔리무진서비스,전세버스,"경기도 고양시 일산동구 장백로 10, 101동 1019호(백석동, 백석역동문굿모닝힐1101동)",070-7621-3359,02-317-3359
,(주)수아관광,전세버스,"경기도 고양시 덕양구 대덕로 109, 201호(현천동)",02-909-0603,02-941-6421
,㈜비에스서울투어,전세버스,"경기도 고양시 일산서구 주엽동 150, 자유프라자 806호",,
,㈜하나관광,전세버스,"경기도 고양시 덕양구 고양대로 1384번길 19-15, 새롬프라자 4층 401호(가칭 411호)",031-818-0990,
,㈜둥지관광,전세버스,경기도 고양시 일산동구 식사동 770-18,031-967-0886,
,㈜신항공트래블,전세버스,"경기도 고양시 일산동구 동국로 99-19, 2층 201호(식사동)",031-968-6442,031-968-6445
,MK리무진,특수여객,"경기도 고양시 일산동구 무궁화로 11, B동 919호(장항동, 한라밀라트)",031-917-5222,031-916-4106
,금강특수,특수여객,경기도 고양시 일산동구 일산로 78 위브센티움 707호(장항동),031-922-2229,02-2603-3117
,(주)나래장의개발,특수여객,"경기도 고양시 일산동구 강석로 145, 2층3호(마두동,축협빌딩)",031-908-2522,031-908-2523
,(주)뉴대산특수,특수여객,경기도 고양시 덕양구 보광로 184(벽제동),031-965-9430,031-964-9431
