번호,농장명,대표자,주소,분양구좌수,면적(평)
1,도토리,박한복,덕양구 원흥동 74,200,"1,200"
2,한국상황버섯,김현수,일산서구 덕이동 538,450,"2,500"
3,대곡텃밭,윤덕선,덕양구 내곡동 104-2,130,800
4,방아깨비텃밭,신희곤,"일산동구 성석동1300,1304",200,"2,000"
5,에덴정원,정진훈,덕양구 고양동 430-1,20,"1,300"
6,원당텃밭,박종규,덕양구 성사동 471,40,"1,500"
7,찬우물,이상린,덕양구 대장동 563-6,150,"2,000"
8,원빈,고원준,덕양구 도내동 822-4,50,"1,500"
9,성사동농장,강신모,덕양구 성사1동 624-6,370,"2,000"
10,수역이농장,강신모,덕양구 성사동 616-9,150,800
11,돌풍,김한원,일산서구 덕이동 551,"1,000","10,000"
12,우보,이근이,덕양구 벽제동 219-1,50,500
13,소나무,김규원,일산서구 덕이동 914-2,60,"4,700"
14,백송,윤양숙,덕양구 주교동 389,50,900
15,도시농업네트워크,김명원,일산서구 강선로 30,30,"2,700"
16,늘푸른농장,윤현철,일산서구 곳산길 16-5,600,"3,500"
17,원흥역농장,박호철,"덕양구 원흥동 119-1, 2, 3",130,800
18,원당역농장,강덕희,덕양구 성사동 565-3,130,"1,000"
19,산울안민속농원,박창호,덕양구 서리골길 155-15,40,200
20,자연애뜰,정옥희,"일산동구 산황동 729-2, 729-6",60,340
21,영심,서득주,일산동구 식사동 525-11,80,400
