도 로 명,장 소,허용구간,허용시간,비 고
수역이길,성사동 수역이마을 앞 삼거리-송화산 산채보리밥(성사동579)앞 삼거리 (수역이 길),양측 총 462m," 시간제 주차 허용(21:00~07:00) [2005.12.17 시행, 주차 허용시간 ~09:00 변경]",주정차 단속 탄력적 허용 지역
호국로 742번길,성사동 732 성라초교길(성라초교 후문 옆 성용길과 만나는 지점~성라초교 정문 앞까지),"양측 학교측 195m, 아파트측 185m, ",폭5.5m~5.4m 시간제 주차 허용(18:00~익일 08:00),주정차 단속 탄력적 허용 지역
호국로,"주교동 614-9에서 621-3까지,원당 상가거리 주변",편측 400m,심야시간22:00-04:00 주차허용,주정차 단속 탄력적 허용 지역
서오릉로,용두동 2-83에서 432-247까지 서오능입구 주변,편측 400m,공휴일(토요일포함) 06:00-24:00 주차허용,주정차 단속 탄력적 허용 지역
백양로,"화정동 964-4에서 1000-9까지, 백양로 화로구이에서 우리농산물까지, 주간  1.5톤이하 택배차량 등 소형화물차 주차허용",편측 600m,10:00-17:00 소형화물차 주차허용,주정차 단속 탄력적 허용 지역
화신로,화정동 별빛9단지 성광교회 교회쪽일방 화정동 1014,편측 200m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
소원로,행신동 1101 임마누엘 교회앞 행신동 1126,양측 약150m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
백양로,화정동 1142 영화감리교회 화정동 1153,양측 약100m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
푸른마을로,고양동 성당앞 동 고양동 663,편측 80m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
충장로,행신동 하림교회 앞 행신동 1015,편측 180m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
호국로 ,화정동 14 화평교회 앞 화정동 1031,편측 190m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
용현로 5번길,행신2동 행신 성당 앞  행신동 848~행신동 850,편측 60m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
소원로181번길,행신동 800-24 홍익교회 앞 행신동 886,편측 50m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
원당로,관산동 290 쥬쥬동물원 앞 원당동 671-3~원당동 778-2,편측 530m,공휴일 주차허용,주정차 단속 탄력적 허용 지역
중앙로78번안길,화전동 화전마을 성당 앞 화전동 848-2~화전동 234-2,편측 250m ,공휴일 주차허용,주정차 단속 탄력적 허용 지역
능곡로,토당동 383 능곡시장앞(구 능곡역 삼거리- 중앙교회 앞)  토당동 346-1,편측 200m 시장쪽,5일장 주정차금지해제,주정차 단속 탄력적 허용 지역
중앙로,행신동 청소년수련원 앞 도로 행신동 644-100 행신동 1012,편측 각60m,탄력적 주정차금지구역지정,주정차 단속 탄력적 허용 지역
소원로266번길,행신동 소원로 266 단독택지내 도로 행신동 1114-8~행신동 1114-3,편측 각956m,탄력적 주정차금지구역지정,주정차 단속 탄력적 허용 지역
소원로,"행신2동 행신역앞, 가라뫼 사거리 인근 식당가 행신2동762-5~행신2동 761-44","편측각 280m, 50m",점심시간대 주정차금지해제,주정차 단속 탄력적 허용 지역
소원로,행신2동 무원5단지- 소만5단지 앞 도로 행신동 844~행신동 808,편측 아파트 방면650m,야간시간대 주정차 금지구역 해제,주정차 단속 탄력적 허용 지역
능곡로,토당동 능곡시장 앞 도로 토당동 346-1,편측 시장쪽 200m,평일주정차금지구역 해제,주정차 단속 탄력적 허용 지역
충장로123번길,행신1동 신능초교 앞 도로 행신동 1012,양방향 각 100m,탄력적 주정차금지구역지정,주정차 단속 탄력적 허용 지역
지도로13번길,토당동 863-7 청림유치원 앞 도로 토당동 890-6,편측 20m,탄력적 주정차금지구역지정,주정차 단속 탄력적 허용 지역
통일로726번길,"관산동 솔모텔-관산초 통일로 726,802번길",양측 500m ,주정차금지(08:00-17:00 탄력적,주정차 단속 탄력적 허용 지역
중앙로,화전동 덕은초교 앞 도로 화전동 572-18,양측240m,08:00～17:00 주정차금지구역 ,주정차 단속 탄력적 허용 지역
제2자유로,대덕동 상암주유소 앞 삼거리- 국방대 앞 도로 덕은동 520-212~덕은동 277-1,양측 3400m,탄력적 주정차금지구역지정,주정차 단속 탄력적 허용 지역
통일로726번길,통일로 768. 관산동178 더퍼스트프라임 관산동 180-28~관산동 180-18,편측 건물 쪽 146m,주정차 금지구역 지정(금지시간 08시-18시),주정차 단속 탄력적 허용 지역
지도로,지도로 토당육교<->능곡사거리 화정동1011~토당동 890-8,양측 3000m,"주정차허용 (공휴일,주말 24시간 평일 20:00~08:00)",주정차 단속 탄력적 허용 지역
행신로,"행신로 1.1km, 가람교3R→가라뫼4R(0.7), 행신동1061→가람교3R(0.4)",양측 1100m,"주정차허용 (공휴일,주말 24시간 평일 20:00~08:00)",주정차 단속 탄력적 허용 지역
행당로,한사랑교회(토당동 890-9 세븐편의점～890-15 진로마트) 〔행당로 0.25km〕,편측 250m,매주 일요일만 주정차금지 해제,주정차 단속 탄력적 허용 지역
