"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
218-1-000001,노상 1권역,공영,노상,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,97,3,요일제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,30,300,10,100,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,37.6584145,126.8319597,2019-12-17
218-1-000002,노상 3권역,공영,노상,경기도 고양시 덕양구 은빛로 39,경기도 고양시 덕양구 화정동 909,123,1,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,900,10,300,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,37.63819323,126.8322273,2019-12-17
218-1-000003,노상 4권역,공영,노상,경기도 고양시 덕양구 중앙로 555,경기도 고양시 덕양구 행신동 995,11,1,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,900,10,300,,,,신용카드+현금,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4847,37.62297865,126.8356824,2019-12-17
218-2-000001,주교제1,공영,노외,경기도 고양시 덕양구 고양대로 1330,경기도 고양시 덕양구 주교동 206-1,359,3,요일제,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.65559958,126.8317801,2019-12-17
218-2-000002,주교제2,공영,노외,경기도 고양시 덕양구 마상로126번길 91,경기도 고양시 덕양구 주교동 611-2,60,3,요일제,평일,09:00,20:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,11,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,,,2019-12-17
218-2-000003,화정환승,공영,노외,,경기도 고양시 덕양구 화정동 963,253,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.63495085,126.8330457,2019-12-17
218-2-000004,행신제1,공영,노외,경기도 고양시 덕양구 무원로 54번길 14,경기도 고양시 덕양구 행신동 728,40,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61751878,126.8331889,2019-12-17
218-2-000005,행신제2,공영,노외,경기도 고양시 덕양구 용현로 49-13,경기도 고양시 덕양구 행신동 748,44,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61712126,126.834984,2019-12-17
218-2-000006,행신제3,공영,노외,경기도 고양시 덕양구 무원로 16,경기도 고양시 덕양구 행신동 711,43,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61427789,126.8325302,2019-12-17
218-2-000007,행신제4,공영,노외,경기도 고양시 덕양구 무원로 14,경기도 고양시 덕양구 행신동 710,44,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.6140941,126.8325397,2019-12-17
218-2-000008,행신제5,공영,노외,경기도 고양시 덕양구 용현로 15-1,경기도 고양시 덕양구 행신동 759,49,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61427834,126.8354071,2019-12-17
218-2-000009,행신제6,공영,노외,경기도 고양시 덕양구 용현로 15,경기도 고양시 덕양구 행신동 764,46,3,요일제,평일,09:00,21:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,12,3000,60000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.61410536,126.8354165,2019-12-17
218-2-000010,고양제1,공영,노외,경기도 고양시 덕양구 벽제관로 8,경기도 고양시 덕양구 고양동 195-2,94,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,37.70381762,126.9036248,2019-12-17
218-2-000011,고양제2,공영,노외,경기도 고양시 덕양구 혜음로 103,경기도 고양시 덕양구 고양동 444-1,31,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경기도 고양도시관리공사,031-929-4843,37.70958575,126.9015579,2019-12-17
218-2-000012,성사제1,공영,노외,경기도 고양시 덕양구 고양대로1384번길 7-17,경기도 고양시 덕양구 성사동 720,22,2,요일제,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,11,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.65355843,126.8385705,2019-12-17
218-2-000013,성사제2,공영,노외,경기도 고양시 덕양구 고양대로1384번길 7-17,경기도 고양시 덕양구 성사동 721,33,2,요일제,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,200,10,100,11,3000,30000,신용카드,경차+장애인 차량 50퍼센트 할인,경기도 고양도시관리공사,031-929-4843,37.65355843,126.8385705,2019-12-17
