측정월,측정소,SO2(ppm),PM-10(㎍/㎥),PM-2.5(㎍/㎥),O3(ppm),NO2(ppm),CO(ppm),비고
2019년 1월,행신동,0.005,68,39,0.014,0.035,0.8,도시대기
2019년 1월,식사동,0.004,59,32,0.02,0.033,0.5,도시대기
2019년 1월,신원동,0.01,74,44,0.012,0.032,0.7,도시대기
2019년 1월,주엽역,0.005,71,39,0.015,0.03,0.7,도시대기
2019년 1월,백마로,0.005,82,42,0.012,0.039,0.8,도로변
2019년 2월,행신동,0.003,55,32,0.02,0.029,0.7,도시대기
2019년 2월,식사동,0.004,50,29,0.027,0.023,0.5,도시대기
2019년 2월,신원동,0.007,57,40,0.018,0.027,0.5,도시대기
2019년 2월,주엽역,0.004,57,35,0.025,0.027,0.5,도시대기
2019년 2월,백마로,0.004,61,38,0.018,0.035,0.7,도로변
2019년 3월,행신동,0.005,79,52,0.028,0.028,0.6,도시대기
2019년 3월,식사동,0.004,76,60,0.036,0.036,0.5,도시대기
2019년 3월,신원동,0.01,96,69,0.021,0.021,0.7,도시대기
2019년 3월,주엽역,0.003,103,71,0.033,0.033,0.8,도시대기
2019년 3월,백마로,0.004,106,74,0.029,0.026,0.8,도로변
2019년 4월,행신동,0.003,41,18,0.033,0.023,0.5,도시대기
2019년 4월,식사동,0.003,43,15,0.043,0.015,0.4,도시대기
2019년 4월,신원동,0.004,43,23,0.033,0.022,0.4,도시대기
2019년 4월,주엽역,0.003,48,25,0.033,0.022,0.4,도시대기
2019년 4월,백마로,0.004,53,26,0.029,0.032,0.5,도로변
2019년 5월,행신동,0.004,56,26,0.048,0.02,0.5,도시대기
2019년 5월,식사동,0.004,52,24,0.051,0.011,0.5,도시대기
2019년 5월,신원동,0.004,55,30,0.046,0.021,0.4,도시대기
2019년 5월,주엽역,0.004,62,38,0.048,0.021,0.5,도시대기
2019년 5월,백마로,0.005,72,38,0.041,0.033,0.5,도로변
2019년 6월,행신동,0.003,29,18,0.044,0.013,0.4,도시대기
2019년 6월,식사동,0.003,0,16,0.045,0.008,0.4,도시대기
2019년 6월,신원동,0.003,32,18,0.04,0.016,0.3,도시대기
2019년 6월,주엽역,0.003,34,26,0.046,0.013,0.4,도시대기
2019년 6월,백마로,0.003,44,28,0.037,0.024,0.5,도로변
2019년 7월,행신동,0.003,27,17,0.048,0.009,0.4,도시대기
2019년 7월,식사동,0.003,27,16,0.037,0.008,0.4,도시대기
2019년 7월,신원동,0.002,30,19,0.033,0.014,0.3,도시대기
2019년 7월,주엽역,0.003,33,27,0.037,0.013,0.4,도시대기
2019년 7월,백마로,0.004,41,25,0.031,0.026,0.5,도로변
2019년 8월,행신동,0.002,22,16,0.024,0.013,0.3,도시대기
2019년 8월,식사동,0.003,29,13,0.044,0.007,0.4,도시대기
2019년 8월,신원동,0.002,24,15,0.031,0.014,0.3,도시대기
2019년 8월,주엽역,0.003,29,20,0.036,0.013,0.4,도시대기
2019년 8월,백마로,0.003,35,20,0.032,0.026,0.5,도로변
2019년 9월,행신동,0.003,26,10,0.03,0.017,0.3,도시대기
2019년 9월,식사동,0.003,29,10,0.031,0.008,0.4,도시대기
2019년 9월,신원동,0.002,22,10,0.024,0.018,0.3,도시대기
2019년 9월,주엽역,0.003,29,14,0.025,0.018,0.4,도시대기
2019년 9월,백마로,0.003,30,16,0.023,0.029,0.5,도로변
2019년 10월,행신동,0.003,36,14,0.028,0.02,0.4,도시대기
2019년 10월,식사동,0.003,38,14,0.026,0.011,0.3,도시대기
2019년 10월,신원동,0.002,34,15,0.022,0.022,0.3,도시대기
2019년 10월,주엽역,0.003,42,19,0.024,0.021,0.4,도시대기
2019년 10월,백마로,0.003,42,20,0.021,0.031,0.5,도로변
2019년 11월,행신동,0.003,44,18,0.016,0.029,0.6,도시대기
2019년 11월,식사동,0.003,46,19,0.017,0.015,0.4,도시대기
2019년 11월,신원동,0.004,46,23,0.015,0.028,0.4,도시대기
2019년 11월,주엽역,0.003,51,23,0.015,0.027,0.5,도시대기
2019년 11월,백마로,0.004,51,24,0.014,0.036,0.6,도로변
2019년 12월,행신동,0.004,43,26,0.016,0.029,0.7,도시대기
2019년 12월,식사동,0.003,39,25,0.017,0.015,0.4,도시대기
2019년 12월,신원동,0.005,47,30,0.015,0.029,0.4,도시대기
2019년 12월,주엽역,0.003,47,29,0.014,0.027,0.6,도시대기
2019년 12월,백마로,0.004,49,29,0.012,0.038,0.7,도로변
2020년 1월,행신동,0.003,44,26,0.018,0.028,0.7,도시대기
2020년 1월,식사동,0.004,46,25,0.021,0.013,0.5,도시대기
2020년 1월,신원동,0.007,50,29,0.015,0.028,0.7,도시대기
2020년 1월,주엽역,0.003,46,28,0.019,0.025,0.7,도시대기
2020년 1월,백마로,0.004,49,27,0.013,0.034,0.7,도로변
2020년 2월,행신동,0.003,39,23,0.024,0.025,0.6,도시대기
2020년 2월,식사동,0.004,44,22,0.024,0.013,0.4,도시대기
2020년 2월,신원동,0.005,43,26,0.022,0.026,0.5,도시대기
2020년 2월,주엽역,0.003,41,26,0.025,0.024,0.6,도시대기
2020년 2월,백마로,0.003,41,24,0.019,0.03,0.6,도로변
2020년 3월,행신동,0.004,47,21,0.033,0.021,0.6,도시대기
2020년 3월,식사동,0.004,49,19,0.029,0.012,0.4,도시대기
2020년 3월,신원동,0.005,49,23,0.032,0.023,0.5,도시대기
2020년 3월,주엽역,0.003,50,26,0.032,0.02,0.5,도시대기
2020년 3월,백마로,0.003,53,22,0.029,0.029,0.6,도로변
