연번, 업    소    명,(도로명) 소재지,전화번호,사업장 규모별 구분(물환경보전법 시행령 제44조 제2항),업종
1,㈜보광섬유,고양시 덕양구 통일로 1161-97(내유동),031-964-4873,3,섬유염색가공
2,의료법인명지의료재단,고양시 덕양구 화수로14번길 55 (화정동),031-810-5292,4,병원(종합 병원)
3,서울교통공사,고양시 덕양구 삼송로 300 (지축동),02-381-5680,4,도시철도운송업
4,명성운수㈜,고양시 일산서구 원일로 101(일산동),031-913-8751,5,시내버스 운송업
5,신촌교통㈜,고양시 덕양구 덕은로 112 (덕은동),02-3158-3221,5,시내버스 운송업
6,㈜뉴덕흥기업,고양시 일산동구 공릉천로 126 (사리현동),031-964-0898,3,산업용 세탁업
7,대흥세차장 ,고양시 일산서구 일중로 57 (일산동),031-977-2147,5,자동차 세차업
8,원일석유능곡세차장㈜,고양시 덕양구 토당로 104 (토당동),031-972-7311,5,차량용 주유소 운영업
9,달인세차장,고양시 덕양구 원당로59번길 11-15 (주교동),,5,자동차 세차업
10,국군고양병원,고양시 덕양구 혜음로 215 (벽제동),031-962-5402,5,병원(국방 행정(병원시설))
11,행신세차장,고양시 덕양구 지도로 61 (토당동),031-938-5200,5,자동차 세차업
12,육군3697부대,고양시 덕양구 백운길 27-42 (지축동),,5,국방 행정(세차시설)
13,고려세차장,고양시 덕양구 고양대로1315번길 8 (주교동),031-965-9651,5,자동차 세차업
14,세일세차장,고양시 덕양구 통일로 741 (관산동),031-962-2588,5,자동차 세차업
15,대한송유관공사,고양시 덕양구 중앙로 323 (강매동),031-973-0642,5,파이프라인 운송업
16,천성세차장,고양시 일산서구 일중로 37 (일산동),031-977-7956,5,세차
17,싱글벙글주유소,고양시 일산동구 장항로 122-8 (백석동),031-902-5151,5,세차(주유소)
18,수정세차장,고양시 일산서구 경의로 823 (덕이동),031-918-9120,5,세차
19,광명세차장,고양시 일산서구 고양대로 710 (일산동),031-975-9694,5,세차
20,고일주유소,고양시 일산동구 백마로 455 (풍동),031-902-6096,5,세차(주유소)
21,신성콘크리트공업㈜,고양시 일산동구 동국로 230 (식사동),031-904-2299,5,비금속
22,(주)금성강철,고양시 일산동구 견달산로225번길 74 (식사동),031-965-2547,5,금속
23,명성운수㈜,고양시 일산서구 대화로 97 (대화동),031-913-8751,5,세차(운송)
24,고양시상하수도사업소,고양시 덕양구 고양시청로 11 고양시티타운(1층),031-8075-4543,5,기타(공공 행정)
25,명진세차장,고양시 일산동구 백마로 483 (풍동),031-902-5221,5,세차
26, 신우에너지㈜ 풍동충전소,고양시 일산동구 식사동 1129,031-964-1984,5,세차(충전소)
27,드림셀프세차장,고양시 일산서구 덕이로 36 (덕이동),,5,세차(주유소)
28,경민세차장,고양시 덕양구 원당로 115 (주교동),031-965-5189,5,세차(국방)
29,㈜케이엘페트로고양통일로지점,고양시 덕양구 통일로 1020 (관산동),031-964-7666,5,세차
30,원일자동차공업사,고양시 일산동구 장항로 384-10 (장항동),031-905-5100,5,세차(주유소)
31,오토파워주유소,고양시 덕양구 고양대로 1464 (성사동),031-968-5131,5,세차(주유소)
32,경일석유㈜ 신신주유소,고양시 일산동구 백마로 32 (장항동),031-903-5633,5,세차
33,한일세차장,고양시 일산서구 덕이로 42 (덕이동),031-916-8511,5,세차
34,일산오토,고양시 일산서구 경의로 822 (덕이동),,5,세차
35,스피드세차장,고양시 일산동구 중산로157번길 64 (중산동),031-975-0407,5,세차
36,농촌진흥원선인장시험연구소,고양시 일산서구 송산로 464-52 (덕이동),031-923-8336,5,기타(연구 및 개발업)
37,한솔주유소,고양시 덕양구 통일로 1015 (관산동),031-962-5182,5,세차(주유소)
38,정상에너지㈜,고양시 덕양구 중앙로 312 (도내동),031-970-2066,5,세차(주유소)
39,KH에너지㈜직영KH기쁨주유소,고양시 일산동구 고양대로 1064 (식사동),031-969-0019,5,세차(주유소)
40,화인카세차장,고양시 덕양구 지도로 60-1 (토당동),031-978-7878,5,세차
41,명성운수㈜,고양시 덕양구 유산길 46 (내유동),031-912-7031,5,세차(운송)
42,SK네트윅스㈜직영오미산주유소,고양시 일산동구 성현로 7 (성석동),,5,세차
43,하이카프라자,고양시 덕양구 중앙로 661 (토당동),031-979-5151,5,세차
