구분,하천명,시점,종점,유로연장,고시연장,개수연장(양안),자료 제공부서
 국가하천,한강,경기도 고양시 덕양구 덕은동,경기도 고양시 일산서구 구산동,19.914,19.914,19.914,고양시 생태하천과
지방하천,벽제천,경기도 고양시 덕양구 벽제동679-58,경기도 고양시 덕양구 선유동,9.5,7.4,14.61,고양시 생태하천과
지방하천,대장천,경기도 고양시 덕양구 주교동653,경기도 고양시 덕양구 토당동798-356,8.02,5.4,10.834,고양시 생태하천과
지방하천,성사천,경기도 고양시 덕양구 성사동652-9,경기도 고양시 덕양구 강매동,6.87,5,9.65,고양시 생태하천과
지방하천,장월평천,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 구산동,11.5,8.77,17.53,고양시 생태하천과
지방하천,향동천,경기도 고양시 덕양구 향동동370-3,경기도 고양시 덕양구 덕은동,5.84,4.1,5.22,고양시 생태하천과
지방하천,행신천,경기도 고양시 덕양구 행주내동440-14,경기도 고양시 덕양구 토당동798-583,5.89,2.6,5.2,고양시 생태하천과
지방하천,도촌천,경기도 고양시 일산동구 식사동1430-1,경기도 고양시 덕양구 토당동556-24,9.12,5.5,10.89,고양시 생태하천과
지방하천,오금천,경기도 고양시 덕양구 오금동 산4-1,경기도 고양시 덕양구 오금동,5,4.75,6.88,고양시 생태하천과
지방하천,대자천,경기도 고양시 덕양구 벽제동121-41,경기도 고양시 덕양구 대자동,3.35,2.5,4.92,고양시 생태하천과
지방하천,창릉천,경기도 고양시 덕양구 효자동224,경기도 고양시 덕양구 현천동,22,17.6,32.54,고양시 생태하천과
지방하천,공릉천,경기도 고양시 덕양구 선유동,경기도 고양시 일산동구 지영동,13.8,13.8,24.37,고양시 생태하천과
지방하천,선유천,경기도 고양시 덕양구 선유동498,경기도 고양시 덕양구 선유동,4,2.5,4.54,고양시 생태하천과
지방하천,순창천,경기도 고양시 덕양구 용두동933,경기도 고양시 덕양구 용두동,3.75,2,3.8,고양시 생태하천과
지방하천,가좌천,경기도 고양시 일산서구 가좌동,경기도 고양시 일산서구 가좌동,4.25,2.6,10.32,고양시 생태하천과
지방하천,원당천,경기도 고양시 덕양구 원당동258-6,경기도 고양시 일산동구 사리현동,4.5,2.5,6.56,고양시 생태하천과
지방하천,장진천,경기도 고양시 일산동구 성석동1919,경기도 고양시 일산동구 설문동,5.67,5,10,고양시 생태하천과
지방하천,문봉천,경기도 고양시 일산동구 문봉동289-2,경기도 고양시 일산동구 성석동,2,1.75,2.43,고양시 생태하천과
지방하천,북한천,경기도 고양시 덕양구 북한동 ,경기도 고양시 덕양구 효자동59-2,5.3,4.5,9,고양시 생태하천과
소하천,향동소천,경기도 고양시 덕양구 향동동110-5,경기도 고양시 덕양구 향동동189-2,1.36,0.631,1.262,고양시 생태하천과
소하천,중고개천,경기도 고양시 덕양구 지축동 산60-6,경기도 고양시 덕양구 지축동320-1,1.97,1.464,1.344,고양시 생태하천과
소하천,지정천,경기도 고양시 덕양구 지축동590,경기도 고양시 덕양구 지축동818-9,1.016,0.782,1.376,고양시 생태하천과
소하천,샛말천,경기도 고양시 덕양구 동산동 산2-69,경기도 고양시 덕양구 삼송동10-2,2.47,1.501,2.72,고양시 생태하천과
소하천,가시골천,경기도 고양시 덕양구 원흥동527-2,경기도 고양시 덕양구 삼송동288,2.044,1.569,3.32,고양시 생태하천과
소하천,솔개천,경기도 고양시 덕양구 원흥동 산7,경기도 고양시 덕양구 삼송동288,1.95,1.281,3.041,고양시 생태하천과
소하천,원흥천,경기도 고양시 덕양구 원흥동417,경기도 고양시 덕양구 도내동892-1,2.292,1.405,2.792,고양시 생태하천과
소하천,응달천,경기도 고양시 덕양구 동산동221-4,경기도 고양시 덕양구 용두동689-5,1.88,1.825,3.508,고양시 생태하천과
소하천,홍릉천,경기도 고양시 덕양구 용두동 산30-62,경기도 고양시 덕양구 용두동424-24,2.7,1.013,1.956,고양시 생태하천과
소하천,동산천,경기도 고양시 덕양구 동산동178-3,경기도 고양시 덕양구 용두동634-5,3.197,2.366,4.632,고양시 생태하천과
소하천,용두안골천,경기도 고양시 덕양구 용두동299,경기도 고양시 덕양구 용두동837,2.06,1.275,2.55,고양시 생태하천과
소하천,용두천,경기도 고양시 덕양구 용두동51,경기도 고양시 덕양구 용두동842-1,3.04,2.758,4.193,고양시 생태하천과
소하천,중모루천,경기도 고양시 덕양구 도내동333,경기도 고양시 덕양구 도내동916-1,3.122,2.113,3.844,고양시 생태하천과
소하천,화현천,경기도 고양시 덕양구 화전동453-2,경기도 고양시 덕양구 현천동536-2,3.65,3.119,5.471,고양시 생태하천과
소하천,양지천,경기도 고양시 덕양구 화전동622,경기도 고양시 덕양구 화전동695-1,2.55,0.811,0.966,고양시 생태하천과
소하천,새말천,경기도 고양시 덕양구 현천동773-8,경기도 고양시 덕양구 현천동474-4,2.054,0.78,1.106,고양시 생태하천과
소하천,난점천,경기도 고양시 덕양구 현천동364-1,경기도 고양시 덕양구 현천동536-2,2.023,0.948,0.747,고양시 생태하천과
소하천,별아산천,경기도 고양시 덕양구 성사동281-1,경기도 고양시 덕양구 성사동186-6,1.49,0.699,1.389,고양시 생태하천과
소하천,은못이천,경기도 고양시 덕양구 도내동454-2,경기도 고양시 덕양구 성사동112,2.64,2.223,4.446,고양시 생태하천과
소하천,도내천,경기도 고양시 덕양구 도내동470-2,경기도 고양시 덕양구 도내동911,2.37,1.887,3.53,고양시 생태하천과
소하천,수역이천,경기도 고양시 덕양구 성사동577-1,경기도 고양시 덕양구 성사동549-8,0.98,0.541,0.973,고양시 생태하천과
소하천,사근절천,경기도 고양시 덕양구 성사동472,경기도 고양시 덕양구 성사동411-3,0.86,0.58,0.994,고양시 생태하천과
소하천,박재궁천,경기도 고양시 덕양구 주교동 산42-1,경기도 고양시 덕양구 주교동807,3.46,3.133,5.576,고양시 생태하천과
소하천,독곶천,경기도 고양시 덕양구 주교동888-1,경기도 고양시 덕양구 주교동807,1.81,1.22,1.893,고양시 생태하천과
소하천,견달산천,경기도 고양시 일산동구 식사동 산1-7,경기도 고양시 일산동구 식사동959-15,3.666,3.008,5.24,고양시 생태하천과
소하천,진논천,경기도 고양시 일산동구 식사동35,경기도 고양시 일산동구 식사동143-3,1.27,0.875,1.07,고양시 생태하천과
소하천,풍동천,경기도 고양시 일산동구 풍동708,경기도 고양시 일산동구 산황동788-1,4.67,3.987,7.238,고양시 생태하천과
소하천,풍삼천,경기도 고양시 일산동구 풍동885-1,경기도 고양시 일산동구 풍동490-2,3.151,0.369,0.564,고양시 생태하천과
소하천,소개울천,경기도 고양시 일산동구 중산동 산96-1,경기도 고양시 일산동구 중산동195-3,1.838,0.836,2.695,고양시 생태하천과
소하천,한산천,경기도 고양시 일산서구 덕이동238-1,경기도 고양시 일산서구 대화동51-6,3.342,0.848,1.385,고양시 생태하천과
소하천,선유소천,경기도 고양시 덕양구 선유동164-9,경기도 고양시 덕양구 선유동135,2.453,0.587,1.165,고양시 생태하천과
소하천,한우물천,경기도 고양시 덕양구 신원동11-2,경기도 고양시 덕양구 대자동1187-8,1.859,1.418,2.836,고양시 생태하천과
소하천,능골천,경기도 고양시 덕양구 신원동429-10,경기도 고양시 덕양구 대자동491,1.723,1.227,2.316,고양시 생태하천과
소하천,안터천,경기도 고양시 덕양구 신원동232,경기도 고양시 덕양구 신원동474,1.419,0.717,1.434,고양시 생태하천과
