시군명,상호명,신고일자,소재지우편번호,소재지지번주소,소재지도로명주소
고양시,우리행정사 사무소,2019-08-08,[10497],"경기도 고양시 덕양구 화정동 965-1 한화꿈에그린아파트, 상가 207호 ","경기도 고양시 덕양구 화정로 69, 상가 207호 (화정동, 한화꿈에그린아파트)"
고양시,국제행정 MK 행정사 사무소,2019-04-17,[10496],"경기도 고양시 덕양구 화정동 936 은빛마을6단지아파트, 617동 903호 ","경기도 고양시 덕양구 화정로 27, 617동 903호 (화정동, 은빛마을6단지아파트)"
고양시,법사인행정사사무소,2018-05-15,[10497],경기도 고양시 덕양구 화정동 968-4 우정프라자 5층 502-1호,"경기도 고양시 덕양구 화중로 96, 우정프라자 5층 502-1호 (화정동)"
고양시,자유로행정사,2018-09-17,[10439],"경기도 고양시 덕양구 행주내동 494-9, 1층 ","경기도 고양시 덕양구 행주로99번길 3, 1층 (행주내동)"
고양시,원흥행정사사무소,2005-05-20,[10551],"경기도 고양시 덕양구 도내동 1006 원흥 호반베르디움 더퍼스트, 509동 1701호 ","경기도 고양시 덕양구 도래울로 17, 509동 1701호 (도내동, 원흥 호반베르디움 더퍼스트)"
고양시,다온행정사사무소,2016-03-16,[10558],"경기도 고양시 덕양구 원흥동 670 삼송마을 15단지 계룡리슈빌, 1501동 1403호","경기도 고양시 덕양구 동세로 125, 1501동 1403호 (원흥동, 삼송마을 15단지 계룡리슈빌)"
고양시,다솔행정사,2018-07-13,[10497],경기도 고양시 덕양구 화정동 967-3 글로리아빌딩 319호,"경기도 고양시 덕양구 화정로 53-1, 글로리아빌딩 319호 (화정동)"
고양시,일반행정사 김재진사무소,2007-09-19,[10560],"경기도 고양시 덕양구 원흥동 643-1, 101호 ","경기도 고양시 덕양구 솔밭1길 44-3, 101호 (원흥동)"
고양시,이병호행정사무소,2001-12-27,[10486],경기도 고양시 덕양구 행신동 1074 서정마을1단지 제상가동 102호,"경기도 고양시 덕양구 서정마을2로 2, 서정마을1단지 제상가동 102호 (행신동)"
고양시,전덕철행정사무소,2012-12-03,[10476],경기도 고양시 덕양구 화정동 929-1,경기도 고양시 덕양구 은빛로29번길 10 (화정동)
고양시,박명석행정사,2011-06-13,[10462],경기도 고양시 덕양구 주교동 622-2 화성빌딩 ,경기도 고양시 덕양구 마상로140번길 2 (주교동)
고양시,KnSc행정사,2011-03-03,[10590],경기도 고양시 덕양구 삼송동 135-66 ,경기도 고양시 덕양구 삼송로 164 (삼송동)
고양시,호수행정사 사무소,2015-01-27,[10519],"경기도 고양시 덕양구 행신동 973 샘터마을1단지아파트, 110동 1802호","경기도 고양시 덕양구 화신로 76, 110동 1802호 (행신동)"
고양시,전시영행정사사무소,2016-03-23,[10497],"경기도 고양시 덕양구 화정동 967-3 글로리아빌딩, 318호 ","경기도 고양시 덕양구 화정로 53-1, 318호 (화정동, 글로리아빌딩)"
고양시,LHC창업행정사,2011-04-21,[10503],경기도 고양시 덕양구 화정동 1146 청한프라자 ,"경기도 고양시 덕양구 성신로 14 (화정동, 청한프라자)"
고양시,박부억행정사사무소,2017-08-29,[10498],"경기도 고양시 덕양구 화정동 961 은빛마을11단지, 303호  ","경기도 고양시 덕양구 백양로 108, 303호 (화정동, 은빛마을11단지)"
고양시,장흥현대사회행정사 사무소,2017-07-25,[10528],경기도 고양시 덕양구 행신동 773 무원마을1단지 상가 ,"경기도 고양시 덕양구 화신로 47 (행신동, 무원마을1단지상가)"
고양시,씨랜드행정사사무소,2017-05-23,[10494],"경기도 고양시 덕양구 행신동 953 햇빛마을23단지아파트, 2308동 403호","경기도 고양시 덕양구 화신로 105, 2308동 403호 (행신동, 햇빛마을23단지아파트)"
고양시,한세상 행정사무소,2017-04-04,[10475],"경기도 고양시 덕양구 화정동 868 달빛마을4단지아파트, 404동 1301호","경기도 고양시 덕양구 화중로 171, 404동 1301호 (화정동, 달빛마을4단지아파트)"
고양시,경청 한금석 행정사무소,2017-03-29,[10494],"경기도 고양시 덕양구 행신동 938 햇빛마을18단지아파트, 1818동 1404호 ","경기도 고양시 덕양구 중앙로558번길 57, 1818동 1404호 (행신동, 햇빛마을18단지아파트)"
고양시,행정사이도균사무소,2010-12-31,[10503],경기도 고양시 덕양구 화정동 1002-7 예일세띠앙오피스텔 ,"경기도 고양시 덕양구 화중로 32-17 (화정동, 예일세띠앙오피스텔)"
고양시,JK행정사 이권학사무소,2016-07-14,[10497],"경기도 고양시 덕양구 화정동 967-3 글로리아빌딩, 218호 ","경기도 고양시 덕양구 화정로 53-1, 218호 (화정동, 글로리아빌딩)"
고양시,우현행정사 사무소,2016-03-24,[10463],"경기도 고양시 덕양구 성사동 696 삼성홈타워오피스텔, 419호 ","경기도 고양시 덕양구 호국로 798, 419호 (성사동, 삼성홈타워오피스텔)"
고양시,JK행정사 정대영사무소,2015-07-07,[10497],"경기도 고양시 덕양구 화정동 969-1 새롬프라자, 218호  ","경기도 고양시 덕양구 화정로 53, 218호 (화정동, 글로리아)"
고양시,손도익 행정사무소,2012-10-05,[10500],"경기도 고양시 덕양구 화정동 984-7 우경싸이트빌, 311호","경기도 고양시 덕양구 화신로272번길 11, 311호 (화정동, 우경싸이트빌)"
고양시,손도익 행정사무소,2012-10-05,[10500],"경기도 고양시 덕양구 화정동 984-7 우경싸이트빌, 311호","경기도 고양시 덕양구 화신로272번길 11, 311호 (화정동, 우경싸이트빌)"
고양시,주종국 행정사,2015-06-17,[10461],경기도 고양시 덕양구 주교동 609-3 코스모프라자빌딩 ,경기도 고양시 덕양구 호국로 773 (주교동)
고양시,김황순행정사사무소,2001-07-06,[10463],경기도 고양시 덕양구 성사동 367-7 ,경기도 고양시 덕양구 호국로790번길 31 (성사동)
고양시,김황순행정사사무소,2011-07-06,[10463],경기도 고양시 덕양구 성사동 367-7 ,경기도 고양시 덕양구 호국로790번길 31 (성사동)
고양시,덕양사,2001-06-07,[10497],경기도 고양시 덕양구 화정동 967 송화빌딩 ,경기도 고양시 덕양구 화중로104번길 24 (화정동)
고양시,강희준 사무소,2008-03-13,[10569],"경기도 고양시 덕양구 신원동 658 신원마을 호반베르디움 9단지, 근린생활시설동 102호  ","경기도 고양시 덕양구 권율대로 831, 근린생활시설동 102호 (신원동, 신원마을 호반베르디움9단지)"
고양시,행정사 김길도사무소,2011-06-17,[10459],경기도 고양시 덕양구 주교동 583-8 ,경기도 고양시 덕양구 원당로69번길 20 (주교동)
고양시,행정사장창규사무소,2012-12-28,[10462],경기도 고양시 덕양구 주교동 615 대동피렌체 ,경기도 고양시 덕양구 호국로 797 (주교동)
고양시,서용수행정사사무소,2005-11-10,[10497],경기도 고양시 덕양구 화정동 968-3 광성빌딩 ,경기도 고양시 덕양구 화중로 98 (화정동)
