행정구역(동읍면)별,항목,,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
주교동,총인구수 (명),,15534,242,404,536,767,1084,1129,702,812,893,1419,1614,1666,1445,829,701,582,417,203,64,19,6
주교동,남자인구수 (명),,8008,124,225,309,409,592,630,402,435,492,722,862,893,743,396,329,220,142,62,15,4,2
주교동,여자인구수 (명),,7526,118,179,227,358,492,499,300,377,401,697,752,773,702,433,372,362,275,141,49,15,4
원신동,총인구수 (명),,23898,1451,1822,1110,765,1056,1337,1681,2578,2335,1929,1588,1772,1581,1048,704,555,341,174,51,15,5
원신동,남자인구수 (명),,11543,743,919,519,399,544,660,746,1240,1202,986,766,792,731,512,340,243,137,44,13,6,1
원신동,여자인구수 (명),,12355,708,903,591,366,512,677,935,1338,1133,943,822,980,850,536,364,312,204,130,38,9,4
흥도동,총인구수 (명),,44551,2498,3130,2084,1637,2265,2763,3273,4710,4475,3693,3138,3048,2631,1755,1369,998,628,321,104,26,5
흥도동,남자인구수 (명),,21664,1234,1560,1066,806,1135,1344,1510,2266,2332,1935,1469,1469,1253,832,633,458,243,95,21,3,0
흥도동,여자인구수 (명),,22887,1264,1570,1018,831,1130,1419,1763,2444,2143,1758,1669,1579,1378,923,736,540,385,226,83,23,5
성사1동,총인구수 (명),,21946,521,838,879,1075,1448,1544,1142,1382,1612,2037,2210,2084,1672,1064,846,720,505,242,98,15,12
성사1동,남자인구수 (명),,10875,275,424,454,578,744,825,610,657,818,1066,1110,1031,827,509,366,282,197,78,19,4,1
성사1동,여자인구수 (명),,11071,246,414,425,497,704,719,532,725,794,971,1100,1053,845,555,480,438,308,164,79,11,11
성사2동,총인구수 (명),,11667,303,394,504,631,711,735,624,740,769,1071,1063,1066,934,592,472,487,356,156,46,8,5
성사2동,남자인구수 (명),,5652,142,208,244,342,382,388,328,370,369,503,533,488,459,299,217,180,135,51,11,2,1
성사2동,여자인구수 (명),,6015,161,186,260,289,329,347,296,370,400,568,530,578,475,293,255,307,221,105,35,6,4
효자동,총인구수 (명),,10257,736,676,379,358,518,872,1037,1172,911,747,694,659,506,297,236,201,141,59,27,13,18
효자동,남자인구수 (명),,5043,357,352,171,174,269,349,494,602,504,366,340,356,260,147,115,86,55,18,11,8,9
효자동,여자인구수 (명),,5214,379,324,208,184,249,523,543,570,407,381,354,303,246,150,121,115,86,41,16,5,9
삼송동,총인구수 (명),,22117,1138,1066,746,677,1141,1579,1951,2319,1825,1688,1527,1714,1538,1013,875,635,401,197,57,15,15
삼송동,남자인구수 (명),,10728,547,534,401,327,556,767,962,1180,956,837,708,801,756,468,391,299,157,63,9,4,5
삼송동,여자인구수 (명),,11389,591,532,345,350,585,812,989,1139,869,851,819,913,782,545,484,336,244,134,48,11,10
창릉동,총인구수 (명),,20149,1277,1201,761,728,925,1376,2097,2406,1901,1595,1275,1250,1147,784,549,430,259,109,55,12,12
창릉동,남자인구수 (명),,10100,664,629,385,371,438,653,1023,1232,1011,826,634,625,584,390,264,205,102,42,19,2,1
창릉동,여자인구수 (명),,10049,613,572,376,357,487,723,1074,1174,890,769,641,625,563,394,285,225,157,67,36,10,11
고양동,총인구수 (명),,30947,955,1510,1605,1684,1851,1716,1456,2098,2443,3052,2675,2379,2235,1706,1331,1063,723,311,115,26,13
고양동,남자인구수 (명),,15575,494,772,839,877,976,937,782,1044,1235,1567,1408,1264,1068,801,620,442,275,128,32,9,5
고양동,여자인구수 (명),,15372,461,738,766,807,875,779,674,1054,1208,1485,1267,1115,1167,905,711,621,448,183,83,17,8
관산동,총인구수 (명),,36503,981,1297,1310,1585,2134,2246,1841,2454,2564,3208,3351,3575,3310,2132,1658,1369,875,366,157,52,38
관산동,남자인구수 (명),,18570,516,646,657,857,1148,1258,959,1311,1388,1721,1711,1827,1657,1041,771,594,352,100,35,11,10
관산동,여자인구수 (명),,17933,465,651,653,728,986,988,882,1143,1176,1487,1640,1748,1653,1091,887,775,523,266,122,41,28
능곡동,총인구수 (명),,15932,415,550,577,724,1035,1133,855,972,1047,1355,1581,1663,1342,842,660,550,377,163,63,16,12
능곡동,남자인구수 (명),,8150,223,299,311,391,569,626,447,494,517,705,773,878,707,422,326,241,160,44,12,3,2
능곡동,여자인구수 (명),,7782,192,251,266,333,466,507,408,478,530,650,808,785,635,420,334,309,217,119,51,13,10
화정1동,총인구수 (명),,38567,927,1281,1664,2218,3064,3233,2211,2113,2550,3701,3941,3674,2374,1437,1282,1249,1004,457,139,33,15
화정1동,남자인구수 (명),,18736,480,642,867,1168,1515,1606,1156,1056,1180,1740,1858,1905,1224,682,507,487,422,180,48,9,4
화정1동,여자인구수 (명),,19831,447,639,797,1050,1549,1627,1055,1057,1370,1961,2083,1769,1150,755,775,762,582,277,91,24,11
화정2동,총인구수 (명),,33826,1166,1697,1853,2116,2334,2342,1917,2403,2893,3671,3186,2587,1817,1045,845,864,664,309,99,15,3
화정2동,남자인구수 (명),,16400,582,844,939,1094,1231,1158,953,1173,1271,1794,1565,1269,960,507,329,345,233,121,30,1,1
화정2동,여자인구수 (명),,17426,584,853,914,1022,1103,1184,964,1230,1622,1877,1621,1318,857,538,516,519,431,188,69,14,2
행주동,총인구수 (명),,19720,356,464,536,795,1381,1607,1164,1181,1222,1719,2032,2152,1751,1057,806,668,494,228,87,13,7
행주동,남자인구수 (명),,10244,181,248,288,409,767,861,658,669,701,894,1077,1156,933,498,368,261,196,61,17,0,1
행주동,여자인구수 (명),,9476,175,216,248,386,614,746,506,512,521,825,955,996,818,559,438,407,298,167,70,13,6
행신1동,총인구수 (명),,22553,715,862,961,1259,1567,1633,1326,1475,1625,2132,2152,2127,1649,911,736,639,469,221,71,18,5
행신1동,남자인구수 (명),,10989,368,452,473,634,786,837,678,772,780,1025,1020,1040,872,440,298,239,183,69,13,9,1
